_model	model.x	model.y	foc_length	foc_minimum_features	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_part_of_speech	soc_window	tokens	type	stress
staal.foc5.all.ppmi_weight.bound.min1.soc4.all.10000	-0.07560887568203427	0.18401091942305628	545	1	all	bound	ppmi_weight	5_5	10000	1e4	all	4_4	320	staal	0.22743468494017488
staal.foc5.all.ppmi_weight.bound.min1.soc4.all.foc	-0.17831210902479028	0.14728245999149905	545	1	all	bound	ppmi_weight	5_5	foc	545	all	4_4	320	staal	0.22624364695817933
staal.foc5.all.ppmi_weight.bound.min1.soc10.all.5000	-0.08531103832308806	0.087084089096719	545	1	all	bound	ppmi_weight	5_5	5000	5e3	all	10_10	320	staal	0.21513790273123534
staal.foc5.all.ppmi_weight.bound.min1.soc10.all.10000	-0.09264814205873033	0.06637300806668311	545	1	all	bound	ppmi_weight	5_5	10000	1e4	all	10_10	320	staal	0.2147839175034461
staal.foc5.all.ppmi_weight.bound.min1.soc10.all.foc	-0.1987292198894797	0.1080707891730982	545	1	all	bound	ppmi_weight	5_5	foc	545	all	10_10	320	staal	0.21537660259256722
staal.foc5.all.ppmi_sel.bound.min1.soc4.nav.5000	0.5293750055477427	0.14196106528573288	545	1	all	bound	ppmi_sel	5_5	5000	5e3	nav	4_4	320	staal	0.24684905156997905
staal.foc5.all.ppmi_sel.bound.min1.soc4.nav.10000	0.6027890887857916	0.13484901020870133	545	1	all	bound	ppmi_sel	5_5	10000	1e4	nav	4_4	320	staal	0.24138812907305557
staal.foc5.all.ppmi_sel.bound.min1.soc4.nav.foc	0.08315848711799274	0.14676971299212951	545	1	all	bound	ppmi_sel	5_5	foc	545	nav	4_4	320	staal	0.22577345252734402
staal.foc5.all.ppmi_sel.bound.min1.soc10.nav.5000	0.16836957563807284	0.06209769180200682	545	1	all	bound	ppmi_sel	5_5	5000	5e3	nav	10_10	320	staal	0.2260646564618269
staal.foc5.all.ppmi_sel.bound.min1.soc10.nav.10000	0.18196089277305538	0.06280497791112544	545	1	all	bound	ppmi_sel	5_5	10000	1e4	nav	10_10	320	staal	0.22479865826649753
staal.foc5.all.ppmi_sel.bound.min1.soc10.nav.foc	0.021796971938363236	0.06490201035436481	545	1	all	bound	ppmi_sel	5_5	foc	545	nav	10_10	320	staal	0.2123518717016534
staal.foc5.all.ppmi_sel.bound.min1.soc4.all.5000	0.43759095707684326	0.022763622214715267	545	1	all	bound	ppmi_sel	5_5	5000	5e3	all	4_4	320	staal	0.2514861611731402
staal.foc5.all.ppmi_sel.bound.min1.soc4.all.10000	0.634534442868444	0.14780841136708994	545	1	all	bound	ppmi_sel	5_5	10000	1e4	all	4_4	320	staal	0.24746918494574696
staal.foc5.all.ppmi_sel.bound.min1.soc4.all.foc	0.0831584871179914	0.14676971299213543	545	1	all	bound	ppmi_sel	5_5	foc	545	all	4_4	320	staal	0.22577345252734402
staal.foc5.all.ppmi_sel.bound.min1.soc10.all.5000	0.16941054183446477	0.07440186027571054	545	1	all	bound	ppmi_sel	5_5	5000	5e3	all	10_10	320	staal	0.23117955586590377
staal.foc5.all.ppmi_sel.bound.min1.soc10.all.10000	0.18936778825603906	0.060484300276081114	545	1	all	bound	ppmi_sel	5_5	10000	1e4	all	10_10	320	staal	0.23071582979046082
staal.foc5.all.ppmi_sel.bound.min1.soc10.all.foc	0.021796971938363236	0.06490201035436481	545	1	all	bound	ppmi_sel	5_5	foc	545	all	10_10	320	staal	0.2123518717016534
staal.foc5.all.no_ppmi.bound.min1.soc4.nav.5000	0.5742390743988004	0.19061449222474727	753	1	all	bound	no_ppmi	5_5	5000	5e3	nav	4_4	320	staal	0.23672245245252307
staal.foc5.all.no_ppmi.bound.min1.soc4.nav.10000	0.6141810845129699	0.19559916891939189	753	1	all	bound	no_ppmi	5_5	10000	1e4	nav	4_4	320	staal	0.22936242025276873
staal.foc5.all.no_ppmi.bound.min1.soc4.nav.foc	0.18393111924788208	0.15368437373614574	753	1	all	bound	no_ppmi	5_5	foc	753	nav	4_4	320	staal	0.22206529696851898
staal.foc5.all.no_ppmi.bound.min1.soc10.nav.5000	0.11358324274082529	0.0455386400747135	753	1	all	bound	no_ppmi	5_5	5000	5e3	nav	10_10	320	staal	0.2173323905480063
staal.foc5.all.no_ppmi.bound.min1.soc10.nav.10000	0.13444169072916412	0.051126689395887125	753	1	all	bound	no_ppmi	5_5	10000	1e4	nav	10_10	320	staal	0.2143142721217384
