_model	model.x	model.y	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
geldig.foc5.nav.no.bound.min1.soc4.all.10000	-0.08297575190864247	0.24100054193258333	bound	426	nav	5_5	1	no	10000	10000	all	4_4	236	geldig	0.26598534476485264
geldig.foc5.nav.no.bound.min1.soc4.all.FOC	-0.05910168593484164	0.07914222284544045	bound	426	nav	5_5	1	no	FOC	426	all	4_4	236	geldig	0.2714076002237837
geldig.foc5.nav.no.bound.min1.soc10.all.5000	-0.054809830030335425	0.1252511259592056	bound	426	nav	5_5	1	no	5000	5000	all	10_10	236	geldig	0.2773231027463343
geldig.foc5.nav.no.bound.min1.soc10.all.10000	-0.07173216820517758	0.14356700537706615	bound	426	nav	5_5	1	no	10000	10000	all	10_10	236	geldig	0.2756573495650421
geldig.foc5.nav.no.bound.min1.soc10.all.FOC	-0.07341016547472293	0.03840566104448809	bound	426	nav	5_5	1	no	FOC	426	all	10_10	236	geldig	0.2562796163201392
geldig.foc5.all.weight.bound.min1.soc4.nav.5000	-0.21744085320554365	0.13863846530382737	bound	394	all	5_5	1	weight	5000	5000	nav	4_4	239	geldig	0.24622196490937934
geldig.foc5.all.weight.bound.min1.soc4.nav.10000	-0.2523486446459978	0.17298218634433865	bound	394	all	5_5	1	weight	10000	10000	nav	4_4	239	geldig	0.241645974425672
geldig.foc5.all.weight.bound.min1.soc4.nav.FOC	-0.17908553009521153	0.047826476416352404	bound	394	all	5_5	1	weight	FOC	394	nav	4_4	239	geldig	0.25124424943085544
geldig.foc5.all.weight.bound.min1.soc10.nav.5000	-0.21877238362924062	0.06657797679987319	bound	394	all	5_5	1	weight	5000	5000	nav	10_10	239	geldig	0.24758393232232329
geldig.foc5.all.weight.bound.min1.soc10.nav.10000	-0.2561790062020265	0.09688219772172847	bound	394	all	5_5	1	weight	10000	10000	nav	10_10	239	geldig	0.24148725484632852
geldig.foc5.all.weight.bound.min1.soc10.nav.FOC	-0.20800302924011732	1.3699580970093407e-4	bound	394	all	5_5	1	weight	FOC	394	nav	10_10	239	geldig	0.2379136869562597
geldig.foc5.all.weight.bound.min1.soc4.all.5000	-0.18573491221921698	0.11181529952594833	bound	394	all	5_5	1	weight	5000	5000	all	4_4	239	geldig	0.2517988633471479
geldig.foc5.all.weight.bound.min1.soc4.all.10000	-0.20789501759375226	0.13770235162630878	bound	394	all	5_5	1	weight	10000	10000	all	4_4	239	geldig	0.2486416851190908
geldig.foc5.all.weight.bound.min1.soc4.all.FOC	-0.17908553009521153	0.047826476416352404	bound	394	all	5_5	1	weight	FOC	394	all	4_4	239	geldig	0.25124424943085544
geldig.foc5.all.weight.bound.min1.soc10.all.5000	-0.18422163297506522	0.05654543142757115	bound	394	all	5_5	1	weight	5000	5000	all	10_10	239	geldig	0.255593863978306
geldig.foc5.all.weight.bound.min1.soc10.all.10000	-0.2108094960301313	0.06988395019054996	bound	394	all	5_5	1	weight	10000	10000	all	10_10	239	geldig	0.2499089233693322
geldig.foc5.all.weight.bound.min1.soc10.all.FOC	-0.20800302924011732	1.3699580970093493e-4	bound	394	all	5_5	1	weight	FOC	394	all	10_10	239	geldig	0.2379136869562597
geldig.foc5.all.selection.bound.min1.soc4.nav.5000	0.1786778874395335	0.3211979750461801	bound	394	all	5_5	1	selection	5000	5000	nav	4_4	239	geldig	0.25684408593797264
geldig.foc5.all.selection.bound.min1.soc4.nav.10000	0.19992333283152036	0.368310604229349	bound	394	all	5_5	1	selection	10000	10000	nav	4_4	239	geldig	0.25301497470606177
geldig.foc5.all.selection.bound.min1.soc4.nav.FOC	0.15779269367984727	0.20190651272820948	bound	394	all	5_5	1	selection	FOC	394	nav	4_4	239	geldig	0.24111293054570687
geldig.foc5.all.selection.bound.min1.soc10.nav.5000	0.09466827803618709	0.18704687745286755	bound	394	all	5_5	1	selection	5000	5000	nav	10_10	239	geldig	0.26691031785065844
geldig.foc5.all.selection.bound.min1.soc10.nav.10000	0.09852964049419632	0.2315553136940258	bound	394	all	5_5	1	selection	10000	10000	nav	10_10	239	geldig	0.2661678551522095
geldig.foc5.all.selection.bound.min1.soc10.nav.FOC	0.08206514969502622	0.10710209173614005	bound	394	all	5_5	1	selection	FOC	394	nav	10_10	239	geldig	0.2358736252812835
geldig.foc5.all.selection.bound.min1.soc4.all.5000	0.18328725138864332	0.27291505749838285	bound	394	all	5_5	1	selection	5000	5000	all	4_4	239	geldig	0.25265734288688324
geldig.foc5.all.selection.bound.min1.soc4.all.10000	0.19148928242013918	0.303519529066872	bound	394	all	5_5	1	selection	10000	10000	all	4_4	239	geldig	0.25452797723081405
geldig.foc5.all.selection.bound.min1.soc4.all.FOC	0.15779269367984727	0.20190651272820948	bound	394	all	5_5	1	selection	FOC	394	all	4_4	239	geldig	0.24111293054570687
geldig.foc5.all.selection.bound.min1.soc10.all.5000	0.10710815573980204	0.15733494858703742	bound	394	all	5_5	1	selection	5000	5000	all	10_10	239	geldig	0.26715165591814216
geldig.foc5.all.selection.bound.min1.soc10.all.10000	0.10309117383661238	0.17617854591073165	bound	394	all	5_5	1	selection	10000	10000	all	10_10	239	geldig	0.2685711902782364
geldig.foc5.all.selection.bound.min1.soc10.all.FOC	0.08206514969502622	0.10710209173614005	bound	394	all	5_5	1	selection	FOC	394	all	10_10	239	geldig	0.2358736252812835
geldig.foc5.all.no.bound.min1.soc4.nav.5000	0.3078025223379679	0.2883509550435034	bound	542	all	5_5	1	no	5000	5000	nav	4_4	239	geldig	0.26843661310365186
geldig.foc5.all.no.bound.min1.soc4.nav.10000	0.33904117661690997	0.32947653940610316	bound	542	all	5_5	1	no	10000	10000	nav	4_4	239	geldig	0.269966604596287
geldig.foc5.all.no.bound.min1.soc4.nav.FOC	0.24233644257863135	0.17546066302594074	bound	542	all	5_5	1	no	FOC	542	nav	4_4	239	geldig	0.24594215403674424
geldig.foc5.all.no.bound.min1.soc10.nav.5000	0.19860339977289665	0.17656732248178553	bound	542	all	5_5	1	no	5000	5000	nav	10_10	239	geldig	0.2778488117286158
geldig.foc5.all.no.bound.min1.soc10.nav.10000	0.21586893328661633	0.2085405829894932	bound	542	all	5_5	1	no	10000	10000	nav	10_10	239	geldig	0.2802603667020433
geldig.foc5.all.no.bound.min1.soc10.nav.FOC	0.13999401947847928	0.10618562472697067	bound	542	all	5_5	1	no	FOC	542	nav	10_10	239	geldig	0.24560701884668773
geldig.foc5.all.no.bound.min1.soc4.all.5000	0.29775445019746327	0.24066918825284106	bound	542	all	5_5	1	no	5000	5000	all	4_4	239	geldig	0.2582813560296746
geldig.foc5.all.no.bound.min1.soc4.all.10000	0.3155019656153276	0.2667269757332917	bound	542	all	5_5	1	no	10000	10000	all	4_4	239	geldig	0.26348591436704843
geldig.foc5.all.no.bound.min1.soc4.all.FOC	0.24233644257863135	0.17546066302594074	bound	542	all	5_5	1	no	FOC	542	all	4_4	239	geldig	0.24594215403674424
geldig.foc5.all.no.bound.min1.soc10.all.5000	0.20228247013917552	0.15314254362064705	bound	542	all	5_5	1	no	5000	5000	all	10_10	239	geldig	0.26797827183202216
geldig.foc5.all.no.bound.min1.soc10.all.10000	0.2059827739748633	0.16250122396699826	bound	542	all	5_5	1	no	10000	10000	all	10_10	239	geldig	0.27404036460163306
geldig.foc5.all.no.bound.min1.soc10.all.FOC	0.13999401947847928	0.10618562472697067	bound	542	all	5_5	1	no	FOC	542	all	10_10	239	geldig	0.24560701884668773
