_model	model.x	model.y	foc_length	foc_minimum_features	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_part_of_speech	soc_window	tokens	type	stress
blik.foc10.all.ppmi_weight.bound.min1.soc4.nav.5000	0.06437783941112446	-0.25281213249567386	745	1	all	bound	ppmi_weight	10_10	5000	5e3	nav	4_4	280	blik	0.26239744139458315
blik.foc10.all.ppmi_weight.bound.min1.soc4.nav.10000	0.07411744411841178	-0.31116854904070174	745	1	all	bound	ppmi_weight	10_10	10000	1e4	nav	4_4	280	blik	0.26354813614071954
blik.foc10.all.ppmi_weight.bound.min1.soc4.nav.foc	0.08516258682433775	-0.23446725251500694	745	1	all	bound	ppmi_weight	10_10	foc	745	nav	4_4	280	blik	0.2691265818957105
blik.foc10.all.ppmi_weight.bound.min1.soc10.nav.5000	-0.00364190222368985	-0.18529086509764658	745	1	all	bound	ppmi_weight	10_10	5000	5e3	nav	10_10	280	blik	0.25678161984594355
blik.foc10.all.ppmi_weight.bound.min1.soc10.nav.10000	-0.0013697050746230705	-0.24349744529784934	745	1	all	bound	ppmi_weight	10_10	10000	1e4	nav	10_10	280	blik	0.25682450170528903
blik.foc10.all.ppmi_weight.bound.min1.soc10.nav.foc	0.03412049466593156	-0.19079683134172654	745	1	all	bound	ppmi_weight	10_10	foc	745	nav	10_10	280	blik	0.2628960215118979
blik.foc10.all.ppmi_weight.bound.min1.soc4.all.5000	0.05012213564326289	-0.22883883983658534	745	1	all	bound	ppmi_weight	10_10	5000	5e3	all	4_4	280	blik	0.2621616855861134
blik.foc10.all.ppmi_weight.bound.min1.soc4.all.10000	0.06585446075091606	-0.2724329124963152	745	1	all	bound	ppmi_weight	10_10	10000	1e4	all	4_4	280	blik	0.26104576536973567
blik.foc10.all.ppmi_weight.bound.min1.soc4.all.foc	0.08516259623212741	-0.23446725424129647	745	1	all	bound	ppmi_weight	10_10	foc	745	all	4_4	280	blik	0.2692681105376471
blik.foc10.all.ppmi_weight.bound.min1.soc10.all.5000	-0.004712273970677188	-0.1650905166291434	745	1	all	bound	ppmi_weight	10_10	5000	5e3	all	10_10	280	blik	0.2556329777330032
blik.foc10.all.ppmi_weight.bound.min1.soc10.all.10000	-0.005040655799302546	-0.21201658992847758	745	1	all	bound	ppmi_weight	10_10	10000	1e4	all	10_10	280	blik	0.2591124155055122
blik.foc10.all.ppmi_weight.bound.min1.soc10.all.foc	0.03412049326263748	-0.1907968307266918	745	1	all	bound	ppmi_weight	10_10	foc	745	all	10_10	280	blik	0.2628960215118979
blik.foc10.all.ppmi_sel.bound.min1.soc4.nav.5000	0.3647920094894535	0.13290275732800017	745	1	all	bound	ppmi_sel	10_10	5000	5e3	nav	4_4	280	blik	0.24563182627877017
blik.foc10.all.ppmi_sel.bound.min1.soc4.nav.10000	0.3899462027373131	0.1207086704197332	745	1	all	bound	ppmi_sel	10_10	10000	1e4	nav	4_4	280	blik	0.23464195607131563
blik.foc10.all.ppmi_sel.bound.min1.soc4.nav.foc	0.3243770632560775	0.11000031958486117	745	1	all	bound	ppmi_sel	10_10	foc	745	nav	4_4	280	blik	0.23678277672117418
blik.foc10.all.ppmi_sel.bound.min1.soc10.nav.5000	0.23793165169361974	0.14587098004336843	745	1	all	bound	ppmi_sel	10_10	5000	5e3	nav	10_10	280	blik	0.24426858399670784
blik.foc10.all.ppmi_sel.bound.min1.soc10.nav.10000	0.24724845097727513	0.11527724834336407	745	1	all	bound	ppmi_sel	10_10	10000	1e4	nav	10_10	280	blik	0.24138130442267908
blik.foc10.all.ppmi_sel.bound.min1.soc10.nav.foc	0.23454732686328925	0.12308231126504283	745	1	all	bound	ppmi_sel	10_10	foc	745	nav	10_10	280	blik	0.2378219067885359
blik.foc10.all.ppmi_sel.bound.min1.soc4.all.5000	0.35169024797782744	0.13927396586401114	745	1	all	bound	ppmi_sel	10_10	5000	5e3	all	4_4	280	blik	0.24788015114928386
blik.foc10.all.ppmi_sel.bound.min1.soc4.all.10000	0.36891199638063227	0.12642906852026495	745	1	all	bound	ppmi_sel	10_10	10000	1e4	all	4_4	280	blik	0.24167414640829096
blik.foc10.all.ppmi_sel.bound.min1.soc4.all.foc	0.32437684116272203	0.11000023210625197	745	1	all	bound	ppmi_sel	10_10	foc	745	all	4_4	280	blik	0.23680809939344605
blik.foc10.all.ppmi_sel.bound.min1.soc10.all.5000	0.24190443782318427	0.1610485993940393	745	1	all	bound	ppmi_sel	10_10	5000	5e3	all	10_10	280	blik	0.24251991650191806
blik.foc10.all.ppmi_sel.bound.min1.soc10.all.10000	0.23647202086127744	0.1337549442263325	745	1	all	bound	ppmi_sel	10_10	10000	1e4	all	10_10	280	blik	0.2433208490792774
blik.foc10.all.ppmi_sel.bound.min1.soc10.all.foc	0.23454737727253883	0.1230823215799826	745	1	all	bound	ppmi_sel	10_10	foc	745	all	10_10	280	blik	0.2378219067885359
blik.foc10.all.no_ppmi.bound.min1.soc4.nav.5000	0.38030307970188604	0.26557781092164895	1101	1	all	bound	no_ppmi	10_10	5000	5e3	nav	4_4	280	blik	0.22484343793246
blik.foc10.all.no_ppmi.bound.min1.soc4.nav.10000	0.3949418546411044	0.2554061828198299	1101	1	all	bound	no_ppmi	10_10	10000	1e4	nav	4_4	280	blik	0.19077886672360653
blik.foc10.all.no_ppmi.bound.min1.soc4.nav.foc	0.34325590784962273	0.24272009967941463	1101	1	all	bound	no_ppmi	10_10	foc	1101	nav	4_4	280	blik	0.218268535666283
blik.foc10.all.no_ppmi.bound.min1.soc10.nav.5000	0.2645443180402105	0.28760379063061853	1101	1	all	bound	no_ppmi	10_10	5000	5e3	nav	10_10	280	blik	0.2276964200403271
blik.foc10.all.no_ppmi.bound.min1.soc10.nav.10000	0.2760320654558739	0.2612273204905053	1101	1	all	bound	no_ppmi	10_10	10000	1e4	nav	10_10	280	blik	0.22084913877011964
blik.foc10.all.no_ppmi.bound.min1.soc10.nav.foc	0.2437822941966575	0.24484911493698505	1101	1	all	bound	no_ppmi	10_10	foc	1101	nav	10_10	280	blik	0.22255978469717078
blik.foc10.all.no_ppmi.bound.min1.soc4.all.5000	0.3695838672788336	0.2813074673027082	1101	1	all	bound	no_ppmi	10_10	5000	5e3	all	4_4	280	blik	0.22857362553243368
blik.foc10.all.no_ppmi.bound.min1.soc4.all.10000	0.3850071663847481	0.2586432214278818	1101	1	all	bound	no_ppmi	10_10	10000	1e4	all	4_4	280	blik	0.21903505666719364
