_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
heffen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.049246543755131586	-0.02298224308790474	NA	NA	bound	433	lex	5_5	1	no	FOC	315	nav	4_4	218	heffen	0.18911095200033595	BOW
heffen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.0360774222762511	-0.021725936651329207	NA	NA	bound	433	lex	5_5	1	no	FOC	433	all	4_4	218	heffen	0.19531569054412617	BOW
heffen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.04275773921068493	-0.031076581454873853	NA	NA	bound	361	all	5_5	1	weight	5000	5000	nav	4_4	217	heffen	0.16791300509291854	BOW
heffen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	0.146116376368251	-0.04261983628354591	NA	NA	bound	361	all	5_5	1	weight	5000	5000	all	4_4	217	heffen	0.20553083986219778	BOW
heffen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.06031875172056658	-0.025468643422474842	NA	NA	bound	361	all	5_5	1	weight	FOC	194	nav	4_4	217	heffen	0.14246460197370442	BOW
heffen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.050805455770329806	-0.02362893064015299	NA	NA	bound	361	all	5_5	1	weight	FOC	361	all	4_4	217	heffen	0.15362704826643456	BOW
heffen.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	-0.16650468014277411	-0.04520162759054685	NA	NA	bound	361	all	5_5	1	selection	5000	5000	nav	4_4	217	heffen	0.2226277011947689	BOW
heffen.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	0.21194164010159325	-0.02286091895010714	NA	NA	bound	361	all	5_5	1	selection	5000	5000	all	4_4	217	heffen	0.23635378016389272	BOW
heffen.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.07402986068853072	-0.011444054143658072	NA	NA	bound	361	all	5_5	1	selection	FOC	194	nav	4_4	217	heffen	0.16207586328123513	BOW
heffen.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	-0.05740448369299596	-0.005679102091105908	NA	NA	bound	361	all	5_5	1	selection	FOC	361	all	4_4	217	heffen	0.17728602955941736	BOW
heffen.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	-0.20924736835209526	-0.025147291573832962	NA	NA	bound	580	all	5_5	1	no	5000	5000	nav	4_4	218	heffen	0.22953174921622632	BOW
heffen.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	0.38137489721419793	-0.02371194863053538	NA	NA	bound	580	all	5_5	1	no	5000	5000	all	4_4	218	heffen	0.2421112192528934	BOW
heffen.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	-0.09170569928647641	0.0028121573877304576	NA	NA	bound	580	all	5_5	1	no	FOC	315	nav	4_4	218	heffen	0.19351166634340577	BOW
heffen.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	-0.09200501238248265	0.01534359103208831	NA	NA	bound	580	all	5_5	1	no	FOC	580	all	4_4	218	heffen	0.19659093720502546	BOW
heffen.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.051928746460786504	-0.13842575829981127	NA	NA	bound	202	lex	3_3	1	weight	5000	5000	nav	4_4	204	heffen	0.17511668648883208	BOW
heffen.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	0.18052973587729412	-0.2818481691525324	NA	NA	bound	202	lex	3_3	1	weight	5000	5000	all	4_4	204	heffen	0.22766870936247594	BOW
heffen.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.05612084106683799	-0.0891845799471693	NA	NA	bound	202	lex	3_3	1	weight	FOC	136	nav	4_4	204	heffen	0.1785063012508275	BOW
heffen.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.04390184157755022	-0.08613706463776585	NA	NA	bound	202	lex	3_3	1	weight	FOC	202	all	4_4	204	heffen	0.18540364404492907	BOW
heffen.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.02029463601664387	-0.15807893591133368	NA	NA	bound	202	lex	3_3	1	selection	5000	5000	nav	4_4	204	heffen	0.19500614928404333	BOW
heffen.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	0.21871497106844762	-0.2769953088612482	NA	NA	bound	202	lex	3_3	1	selection	5000	5000	all	4_4	204	heffen	0.22947211827392658	BOW
