_model	model.x	model.y	foc_context_words	foc_minimum_features	foc_foc_pos	foc_boundaries	foc_ppmi	foc_foc_win	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
horde.foc5.nav.ppmi_sel.bound.min1.soc10.nav.foc	-0.17900714615959382	0.04939645355279293	399	1	nav	bound	selection	5_5	FOC	399	nav	10_10	262	horde	0.22627412112555056
horde.foc5.nav.ppmi_sel.bound.min1.soc4.all.5000	-0.18204460366643116	0.08361797280172241	399	1	nav	bound	selection	5_5	5000	5000	all	4_4	262	horde	0.2282586102006176
horde.foc5.nav.ppmi_sel.bound.min1.soc4.all.10000	-0.1899305255770474	0.08132879702501851	399	1	nav	bound	selection	5_5	10000	10000	all	4_4	262	horde	0.23074702739452774
horde.foc5.nav.ppmi_sel.bound.min1.soc4.all.foc	-0.20617252039146794	0.06369599244483813	399	1	nav	bound	selection	5_5	FOC	399	all	4_4	262	horde	0.23961957366166786
horde.foc5.nav.ppmi_sel.bound.min1.soc10.all.5000	-0.172110936282077	0.09487054949475451	399	1	nav	bound	selection	5_5	5000	5000	all	10_10	262	horde	0.22420823427671838
horde.foc5.nav.ppmi_sel.bound.min1.soc10.all.10000	-0.16601118289301878	0.07549421329570088	399	1	nav	bound	selection	5_5	10000	10000	all	10_10	262	horde	0.22251463269932228
horde.foc5.nav.ppmi_sel.bound.min1.soc10.all.foc	-0.1790071461595925	0.04939645355279165	399	1	nav	bound	selection	5_5	FOC	399	all	10_10	262	horde	0.22627412112555056
horde.foc5.nav.no_ppmi.bound.min1.soc4.nav.5000	-0.10258561457970515	0.25338829085194625	538	1	nav	bound	no	5_5	5000	5000	nav	4_4	273	horde	0.2258801236476348
horde.foc5.nav.no_ppmi.bound.min1.soc4.nav.10000	-0.11781035974330704	0.2694145816668482	538	1	nav	bound	no	5_5	10000	10000	nav	4_4	273	horde	0.22835835884538896
horde.foc5.nav.no_ppmi.bound.min1.soc4.nav.foc	-0.14483813498734602	0.1831570694938262	538	1	nav	bound	no	5_5	FOC	538	nav	4_4	273	horde	0.23122653135130863
horde.foc5.nav.no_ppmi.bound.min1.soc10.nav.5000	-0.09438084064107907	0.2262639954683056	538	1	nav	bound	no	5_5	5000	5000	nav	10_10	273	horde	0.2223103956669025
horde.foc5.nav.no_ppmi.bound.min1.soc10.nav.10000	-0.10006350647652335	0.22319186941331823	538	1	nav	bound	no	5_5	10000	10000	nav	10_10	273	horde	0.2197535978516257
horde.foc5.nav.no_ppmi.bound.min1.soc10.nav.foc	-0.13102753769682138	0.1634547954755428	538	1	nav	bound	no	5_5	FOC	538	nav	10_10	273	horde	0.22017661301113917
horde.foc5.nav.no_ppmi.bound.min1.soc4.all.5000	-0.0914015648225976	0.26350846563485064	538	1	nav	bound	no	5_5	5000	5000	all	4_4	273	horde	0.22515493255870211
horde.foc5.nav.no_ppmi.bound.min1.soc4.all.10000	-0.10515678789249089	0.2627419086503789	538	1	nav	bound	no	5_5	10000	10000	all	4_4	273	horde	0.22840997365510068
horde.foc5.nav.no_ppmi.bound.min1.soc4.all.foc	-0.1448381349873466	0.18315706949382618	538	1	nav	bound	no	5_5	FOC	538	all	4_4	273	horde	0.23122653135130863
horde.foc5.nav.no_ppmi.bound.min1.soc10.all.5000	-0.08544362164078831	0.2406250920340286	538	1	nav	bound	no	5_5	5000	5000	all	10_10	273	horde	0.22330776129840918
horde.foc5.nav.no_ppmi.bound.min1.soc10.all.10000	-0.09313910450999727	0.2247987824889645	538	1	nav	bound	no	5_5	10000	10000	all	10_10	273	horde	0.21896695237843317
horde.foc5.nav.no_ppmi.bound.min1.soc10.all.foc	-0.13102753769682204	0.1634547954755426	538	1	nav	bound	no	5_5	FOC	538	all	10_10	273	horde	0.22017661301113917
horde.foc5.all.ppmi_weight.bound.min1.soc4.nav.5000	-0.21092831789518884	-0.17658123983011692	472	1	all	bound	weight	5_5	5000	5000	nav	4_4	279	horde	0.21709683472541963
horde.foc5.all.ppmi_weight.bound.min1.soc4.nav.10000	-0.22675178568671006	-0.20450508548094748	472	1	all	bound	weight	5_5	10000	10000	nav	4_4	279	horde	0.2266622202605912
