_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
harden.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	-0.3182764775577248	0.23569530542757758	NA	NA	BOW	bound	504	all	5_5	1	no	5000	5000	all	4_4	279	harden	0.26322709570690667
harden.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	-0.025575248982694605	-0.06539895592001693	NA	NA	BOW	bound	504	all	5_5	1	no	FOC	254	nav	4_4	279	harden	0.22132356319138766
harden.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	0.022288211485072224	-0.026478612330413723	NA	NA	BOW	bound	504	all	5_5	1	no	FOC	504	all	4_4	279	harden	0.2078750701478671
harden.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	0.11772015556364833	0.12095996912054402	NA	NA	BOW	bound	176	lex	3_3	1	weight	5000	5000	nav	4_4	271	harden	0.213232809286381
harden.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	0.05958789046499279	0.2469119758738058	NA	NA	BOW	bound	176	lex	3_3	1	weight	5000	5000	all	4_4	271	harden	0.24944980851292534
harden.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	0.14127430744469807	0.11219171665241504	NA	NA	BOW	bound	176	lex	3_3	1	weight	FOC	116	nav	4_4	271	harden	0.21870135962072113
harden.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	0.14675727854773885	0.09311718758643735	NA	NA	BOW	bound	176	lex	3_3	1	weight	FOC	176	all	4_4	271	harden	0.20334086971928128
harden.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	0.11380656047702702	0.1246041226115365	NA	NA	BOW	bound	176	lex	3_3	1	selection	5000	5000	nav	4_4	271	harden	0.20754551289992368
harden.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	0.04702813310352455	0.2600731618215007	NA	NA	BOW	bound	176	lex	3_3	1	selection	5000	5000	all	4_4	271	harden	0.24951237901661322
harden.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.13202087987191236	0.10088895046306312	NA	NA	BOW	bound	176	lex	3_3	1	selection	FOC	116	nav	4_4	271	harden	0.21668191052547991
harden.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	0.14617796882792913	0.08312105976332237	NA	NA	BOW	bound	176	lex	3_3	1	selection	FOC	176	all	4_4	271	harden	0.1908315797893514
harden.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	0.11379514977630888	0.1312745636582972	NA	NA	BOW	bound	204	lex	3_3	1	no	5000	5000	nav	4_4	275	harden	0.2164361871548973
harden.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	0.04012853891383283	0.2749327068507388	NA	NA	BOW	bound	204	lex	3_3	1	no	5000	5000	all	4_4	275	harden	0.2573609274209585
harden.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	0.13752377026541013	0.1012562288692289	NA	NA	BOW	bound	204	lex	3_3	1	no	FOC	139	nav	4_4	275	harden	0.2198633349788329
harden.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	0.1498527882706765	0.08922110852286605	NA	NA	BOW	bound	204	lex	3_3	1	no	FOC	204	all	4_4	275	harden	0.19648895891765128
harden.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	0.16003363843571014	0.04705219129368641	NA	NA	BOW	bound	232	all	3_3	1	weight	5000	5000	nav	4_4	279	harden	0.19382342083388368
harden.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	0.0692963027360432	0.22575353147542995	NA	NA	BOW	bound	232	all	3_3	1	weight	5000	5000	all	4_4	279	harden	0.2468413541355288
