_model	foc_length	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_window	tokens	type	stress
church.foc10.nav.noweight.nobound.soc10.focc	1450	nav	nobound	noweight	10_10	focc	1450	10_10	300	church	0.20885227470406334
church.foc10.all.weight.nobound.soc10.5000	808	all	nobound	weight	10_10	5000	5e3	10_10	300	church	0.20834653185426696
church.foc10.all.weight.nobound.soc10.10000	808	all	nobound	weight	10_10	10000	1e4	10_10	300	church	0.20821355202035643
church.foc10.all.weight.nobound.soc10.focc	808	all	nobound	weight	10_10	focc	808	10_10	300	church	0.20742020213532691
church.foc10.all.selection.nobound.soc10.5000	808	all	nobound	selection	10_10	5000	5e3	10_10	300	church	0.2127631952064357
church.foc10.all.selection.nobound.soc10.10000	808	all	nobound	selection	10_10	10000	1e4	10_10	300	church	0.21390422952797264
church.foc10.all.selection.nobound.soc10.focc	808	all	nobound	selection	10_10	focc	808	10_10	300	church	0.20481673267417289
church.foc10.all.noweight.nobound.soc10.5000	1700	all	nobound	noweight	10_10	5000	5e3	10_10	300	church	0.23344033890293936
church.foc10.all.noweight.nobound.soc10.10000	1700	all	nobound	noweight	10_10	10000	1e4	10_10	300	church	0.23299905576411056
church.foc10.all.noweight.nobound.soc10.focc	1700	all	nobound	noweight	10_10	focc	1700	10_10	300	church	0.22239654193762567
church.foc5.nav.weight.nobound.soc10.5000	466	nav	nobound	weight	5_5	5000	5e3	10_10	284	church	0.2290784585645547
church.foc5.nav.weight.nobound.soc10.10000	466	nav	nobound	weight	5_5	10000	1e4	10_10	284	church	0.2259324854396924
church.foc5.nav.weight.nobound.soc10.focc	466	nav	nobound	weight	5_5	focc	466	10_10	284	church	0.22422398969469387
church.foc5.nav.selection.nobound.soc10.5000	466	nav	nobound	selection	5_5	5000	5e3	10_10	284	church	0.23037033682356609
church.foc5.nav.selection.nobound.soc10.10000	466	nav	nobound	selection	5_5	10000	1e4	10_10	284	church	0.2294240480011264
church.foc5.nav.selection.nobound.soc10.focc	466	nav	nobound	selection	5_5	focc	466	10_10	284	church	0.21796485878774902
church.foc5.nav.noweight.nobound.soc10.5000	799	nav	nobound	noweight	5_5	5000	5e3	10_10	300	church	0.24857289010387237
church.foc5.nav.noweight.nobound.soc10.10000	799	nav	nobound	noweight	5_5	10000	1e4	10_10	300	church	0.2437019409225348
church.foc5.nav.noweight.nobound.soc10.focc	799	nav	nobound	noweight	5_5	focc	799	10_10	300	church	0.2326847051228962
church.foc5.all.weight.nobound.soc10.5000	524	all	nobound	weight	5_5	5000	5e3	10_10	296	church	0.22483478804647056
church.foc5.all.weight.nobound.soc10.10000	524	all	nobound	weight	5_5	10000	1e4	10_10	296	church	0.22277098176887952
church.foc5.all.weight.nobound.soc10.focc	524	all	nobound	weight	5_5	focc	524	10_10	296	church	0.23088714735539592
church.foc5.all.selection.nobound.soc10.5000	524	all	nobound	selection	5_5	5000	5e3	10_10	296	church	0.22907653865002
church.foc5.all.selection.nobound.soc10.10000	524	all	nobound	selection	5_5	10000	1e4	10_10	296	church	0.22919151353904893
church.foc5.all.selection.nobound.soc10.focc	524	all	nobound	selection	5_5	focc	524	10_10	296	church	0.22487057807691566
church.foc5.all.noweight.nobound.soc10.5000	970	all	nobound	noweight	5_5	5000	5e3	10_10	300	church	0.2418008387034503
church.foc5.all.noweight.nobound.soc10.10000	970	all	nobound	noweight	5_5	10000	1e4	10_10	300	church	0.241708360739765
church.foc5.all.noweight.nobound.soc10.focc	970	all	nobound	noweight	5_5	focc	970	10_10	300	church	0.22534151727165108
church.foc10.nav.weight.bound.soc10.5000	685	nav	bound	weight	10_10	5000	5e3	10_10	294	church	0.20943466762611956
church.foc10.nav.weight.bound.soc10.10000	685	nav	bound	weight	10_10	10000	1e4	10_10	294	church	0.20559352236342934
church.foc10.nav.weight.bound.soc10.focc	685	nav	bound	weight	10_10	focc	685	10_10	294	church	0.2000988553391303
church.foc10.nav.selection.bound.soc10.5000	685	nav	bound	selection	10_10	5000	5e3	10_10	294	church	0.2029907728405961
church.foc10.nav.selection.bound.soc10.10000	685	nav	bound	selection	10_10	10000	1e4	10_10	294	church	0.20163210831325398
church.foc10.nav.selection.bound.soc10.focc	685	nav	bound	selection	10_10	focc	685	10_10	294	church	0.18900301540164335
church.foc10.nav.noweight.bound.soc10.5000	1349	nav	bound	noweight	10_10	5000	5e3	10_10	300	church	0.23202865810327955
church.foc10.nav.noweight.bound.soc10.10000	1349	nav	bound	noweight	10_10	10000	1e4	10_10	300	church	0.22763302161756527
church.foc10.nav.noweight.bound.soc10.focc	1349	nav	bound	noweight	10_10	focc	1349	10_10	300	church	0.20950520529042324
church.foc10.all.weight.bound.soc10.5000	764	all	bound	weight	10_10	5000	5e3	10_10	300	church	0.20664293122698887
church.foc10.all.weight.bound.soc10.10000	764	all	bound	weight	10_10	10000	1e4	10_10	300	church	0.20626348599607888
church.foc10.all.weight.bound.soc10.focc	764	all	bound	weight	10_10	focc	764	10_10	300	church	0.21146872823235782
church.foc10.all.selection.bound.soc10.5000	764	all	bound	selection	10_10	5000	5e3	10_10	300	church	0.20818690052683242
church.foc10.all.selection.bound.soc10.10000	764	all	bound	selection	10_10	10000	1e4	10_10	300	church	0.20943965769672676
church.foc10.all.selection.bound.soc10.focc	764	all	bound	selection	10_10	focc	764	10_10	300	church	0.20673415979713142
church.foc10.all.noweight.bound.soc10.5000	1587	all	bound	noweight	10_10	5000	5e3	10_10	300	church	0.23270146822382778
church.foc10.all.noweight.bound.soc10.10000	1587	all	bound	noweight	10_10	10000	1e4	10_10	300	church	0.2312779874111073
church.foc10.all.noweight.bound.soc10.focc	1587	all	bound	noweight	10_10	focc	1587	10_10	300	church	0.223782311234283
church.foc5.nav.weight.bound.soc10.5000	454	nav	bound	weight	5_5	5000	5e3	10_10	281	church	0.2290161371044284
church.foc5.nav.weight.bound.soc10.10000	454	nav	bound	weight	5_5	10000	1e4	10_10	281	church	0.2261992534501904
church.foc5.nav.weight.bound.soc10.focc	454	nav	bound	weight	5_5	focc	454	10_10	281	church	0.2248187849828151
church.foc5.nav.selection.bound.soc10.5000	454	nav	bound	selection	5_5	5000	5e3	10_10	281	church	0.23380713708448092
church.foc5.nav.selection.bound.soc10.10000	454	nav	bound	selection	5_5	10000	1e4	10_10	281	church	0.2334319988819877
church.foc5.nav.selection.bound.soc10.focc	454	nav	bound	selection	5_5	focc	454	10_10	281	church	0.22134272348568845
church.foc5.nav.noweight.bound.soc10.5000	772	nav	bound	noweight	5_5	5000	5e3	10_10	299	church	0.24848411868770157
church.foc5.nav.noweight.bound.soc10.10000	772	nav	bound	noweight	5_5	10000	1e4	10_10	299	church	0.24445813094817423
church.foc5.nav.noweight.bound.soc10.focc	772	nav	bound	noweight	5_5	focc	772	10_10	299	church	0.23427666078176038
church.foc5.all.weight.bound.soc10.5000	511	all	bound	weight	5_5	5000	5e3	10_10	296	church	0.22643824844747693
church.foc5.all.weight.bound.soc10.10000	511	all	bound	weight	5_5	10000	1e4	10_10	296	church	0.224592869738284
church.foc5.all.weight.bound.soc10.focc	511	all	bound	weight	5_5	focc	511	10_10	296	church	0.23442162545439538
church.foc5.all.selection.bound.soc10.5000	511	all	bound	selection	5_5	5000	5e3	10_10	296	church	0.22954182270043733
church.foc5.all.selection.bound.soc10.10000	511	all	bound	selection	5_5	10000	1e4	10_10	296	church	0.23042465713017346
church.foc5.all.selection.bound.soc10.focc	511	all	bound	selection	5_5	focc	511	10_10	296	church	0.22906965774235225
church.foc5.all.noweight.bound.soc10.5000	940	all	bound	noweight	5_5	5000	5e3	10_10	300	church	0.24428181156033243
church.foc5.all.noweight.bound.soc10.10000	940	all	bound	noweight	5_5	10000	1e4	10_10	300	church	0.24540917277971125
church.foc5.all.noweight.bound.soc10.focc	940	all	bound	noweight	5_5	focc	940	10_10	300	church	0.2310226878715346
