cw_index	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co	ann_2	ann_1	ann_3	ann_4	votes
heet/adj/nrc_handelsblad_20000127_102/240/R13	heet/adj/nrc_handelsblad_20000127_102/240	R13	dag	noun	dag/noun	dag	False	R	14	0.77779925	388220	342	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/R14	heet/adj/nrc_handelsblad_20000127_102/240	R14	zomaar	adv	zomaar/adv	zomaar	False	R	15	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/R15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/L0	heet/adj/nrc_handelsblad_20020831_99/100	L0	ander	adj	ander/adj	andere	True	L	1	-0.03429488	663512	261	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/L1	heet/adj/nrc_handelsblad_20020831_99/100	L1	en	vg	en/vg	en	True	L	2	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/L2	heet/adj/nrc_handelsblad_20020831_99/100	L2	koningshuis	noun	koningshuis/noun	koningshuis	True	L	3	0.24458271	3870	2	TRUE	FALSE	FALSE	FALSE	1
heet/adj/nrc_handelsblad_20020831_99/100/L3	heet/adj/nrc_handelsblad_20020831_99/100	L3	,	punct	,/punct	,	True	L	4	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/L4	heet/adj/nrc_handelsblad_20020831_99/100	L4	seks	noun	seks/noun	seks	True	L	5	1.1726165000000002	16859	22	TRUE	FALSE	FALSE	FALSE	1
heet/adj/nrc_handelsblad_20020831_99/100/L5	heet/adj/nrc_handelsblad_20020831_99/100	L5	,	punct	,/punct	,	True	L	6	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/L6	heet/adj/nrc_handelsblad_20020831_99/100	L6	god	noun	god/noun	God	True	L	7	-0.20282179	27215	9	TRUE	FALSE	FALSE	FALSE	1
heet/adj/nrc_handelsblad_20020831_99/100/L7	heet/adj/nrc_handelsblad_20020831_99/100	L7	op	prep	op/prep	op	True	L	8	0.07248061	4502370	1959	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/L8	heet/adj/nrc_handelsblad_20020831_99/100	L8	reageer	verb	reageer/verb	gereageerd	True	L	9	-0.9174216999999999	80482	13	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/L9	heet/adj/nrc_handelsblad_20020831_99/100	L9	heb	verb	heb/verb	hebben	True	L	10	-0.36773524	4034811	1129	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/L10	heet/adj/nrc_handelsblad_20020831_99/100	L10	nu	adv	nu/adv	nu	True	L	11	-0.02681381	803160	318	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/L11	heet/adj/nrc_handelsblad_20020831_99/100	L11	en	vg	en/vg	en	True	L	12	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/L12	heet/adj/nrc_handelsblad_20020831_99/100	L12	vroeg	adj	vroeg/adj	vroeger	True	L	13	0.06409339	143189	62	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/L13	heet/adj/nrc_handelsblad_20020831_99/100	L13	van	prep	van/prep	van	True	L	14	-0.10328236	12638933	4621	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/L14	heet/adj/nrc_handelsblad_20020831_99/100	L14	cabaretier	noun	cabaretier/noun	cabaretiers	True	L	15	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/L15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/R0	heet/adj/nrc_handelsblad_20020831_99/100	R0	hang_ijzer	noun	hang_ijzer/noun	hangijzers	True	R	1	7.7424603	845	789	TRUE	TRUE	TRUE	FALSE	3
heet/adj/nrc_handelsblad_20020831_99/100/R1	heet/adj/nrc_handelsblad_20020831_99/100	R1	van	prep	van/prep	van	True	R	2	-0.10328236	12638933	4621	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/R2	heet/adj/nrc_handelsblad_20020831_99/100	R2	de	det	de/det	de	True	R	3	0.14649855	28074105	13172	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/R3	heet/adj/nrc_handelsblad_20020831_99/100	R3	laat	adj	laat/adj	laatste	True	R	4	-0.3837428	520541	144	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/R4	heet/adj/nrc_handelsblad_20020831_99/100	R4	zeventig	num	zeventig/num	zeventig	True	R	5	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/R5	heet/adj/nrc_handelsblad_20020831_99/100	R5	jaar	noun	jaar/noun	jaar	True	R	6	-0.4147625	1574348	421	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/R6	heet/adj/nrc_handelsblad_20020831_99/100	R6	.	punct	./punct	.	True	R	7	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/R7	heet/adj/nrc_handelsblad_20020831_99/100	R7	sentence_delimiter	none	none	</sentence>	none	R	8	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/R8	heet/adj/nrc_handelsblad_20020831_99/100	R8	sentence_delimiter	none	none	<sentence>	none	R	9	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/R9	heet/adj/nrc_handelsblad_20020831_99/100	R9	van	prep	van/prep	Van	False	R	10	-0.10328236	12638933	4621	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/R10	heet/adj/nrc_handelsblad_20020831_99/100	R10	het	det	het/det	het	False	R	11	0.21922335	11650779	5881	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/R11	heet/adj/nrc_handelsblad_20020831_99/100	R11	echtpaar	noun	echtpaar/noun	echtpaar	False	R	12	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/R12	heet/adj/nrc_handelsblad_20020831_99/100	R12	Speenhoff	name	Speenhoff/name	Speenhoff	False	R	13	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/R13	heet/adj/nrc_handelsblad_20020831_99/100	R13	(	punct	(/punct	(	False	R	14	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/R14	heet/adj/nrc_handelsblad_20020831_99/100	R14	1933	noun	1933/noun	1933	False	R	15	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20020831_99/100/R15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/L0	heet/adj/nrc_handelsblad_20030804_45/275	L0	de	det	de/det	de	True	L	1	0.14649855	28074105	13172	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/L1	heet/adj/nrc_handelsblad_20030804_45/275	L1	vers	noun	vers/noun	verzen	True	L	2	0.5775026	2775	2	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/L2	heet/adj/nrc_handelsblad_20030804_45/275	L2	vrij	adj	vrij/adj	vrije	True	L	3	-1.4285364999999999	113103	11	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/L3	heet/adj/nrc_handelsblad_20030804_45/275	L3	in	prep	in/prep	in	True	L	4	0.24172923	9492181	4889	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/L4	heet/adj/nrc_handelsblad_20030804_45/275	L4	roep_op	verb	roep_op/verb	riep	True	L	5	-0.7708416	42651	8	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/L5	heet/adj/nrc_handelsblad_20030804_45/275	L5	Pfeijffer	name	Pfeijffer/name	Pfeijffer	True	L	6	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/L6	heet/adj/nrc_handelsblad_20030804_45/275	L6	Leonard	name	Leonard/name	Leonard	True	L	7	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/L7	heet/adj/nrc_handelsblad_20030804_45/275	L7	Ilja	name	Ilja/name	Ilja	True	L	8	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/L8	heet/adj/nrc_handelsblad_20030804_45/275	L8	sentence_delimiter	none	none	<sentence>	none	L	9	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/L9	heet/adj/nrc_handelsblad_20030804_45/275	L9	sentence_delimiter	none	none	</sentence>	none	L	10	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/L10	heet/adj/nrc_handelsblad_20030804_45/275	L10	.	punct	./punct	.	False	L	11	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/L11	heet/adj/nrc_handelsblad_20030804_45/275	L11	Zutphen	name	Zutphen/name	Zutphen	False	L	12	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/L12	heet/adj/nrc_handelsblad_20030804_45/275	L12	naar	prep	naar/prep	naar	False	L	13	-0.030210095	1512452	594	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/L13	heet/adj/nrc_handelsblad_20030804_45/275	L13	Deventer	name	Deventer/name	Deventer	False	L	14	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/L14	heet/adj/nrc_handelsblad_20030804_45/275	L14	van	prep	van/prep	van	False	L	15	-0.10328236	12638933	4621	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/L15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/R0	heet/adj/nrc_handelsblad_20030804_45/275	R0	Venetiaans	adj	Venetiaans/adj	Venetiaanse	True	R	1	1.738291	865	2	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/R1	heet/adj/nrc_handelsblad_20030804_45/275	R1	zomer	noun	zomer/noun	zomer	True	R	2	3.3420712999999997	51730	589	TRUE	TRUE	TRUE	FALSE	3
heet/adj/nrc_handelsblad_20030804_45/275/R2	heet/adj/nrc_handelsblad_20030804_45/275	R2	op	part	op/part	op	True	R	3	0.16416934	540823	258	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/R3	heet/adj/nrc_handelsblad_20030804_45/275	R3	(	punct	(/punct	(	True	R	4	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/R4	heet/adj/nrc_handelsblad_20030804_45/275	R4	""""	punct	"""/punct"	""""	True	R	5	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/R5	heet/adj/nrc_handelsblad_20030804_45/275	R5	duizenden	noun	duizenden/noun	duizenden	True	R	6	0.41889107	31114	19	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/R6	heet/adj/nrc_handelsblad_20030804_45/275	R6	drom_af	verb	drom_af/verb	drommen	True	R	7	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/R7	heet/adj/nrc_handelsblad_20030804_45/275	R7	hun	det	hun/det	hun	True	R	8	-0.091934755	902917	335	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/R8	heet/adj/nrc_handelsblad_20030804_45/275	R8	middag	noun	middag/noun	middagen	True	R	9	1.5322536	15451	29	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/R9	heet/adj/nrc_handelsblad_20030804_45/275	R9	af	part	af/part	af	True	R	10	0.006146469	321541	131	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/R10	heet/adj/nrc_handelsblad_20030804_45/275	R10	(	punct	(/punct	(	True	R	11	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/R11	heet/adj/nrc_handelsblad_20030804_45/275	R11	...	punct	.../punct	...	True	R	12	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/R12	heet/adj/nrc_handelsblad_20030804_45/275	R12	)	punct	)/punct	)	True	R	13	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/R13	heet/adj/nrc_handelsblad_20030804_45/275	R13	in	prep	in/prep	in	True	R	14	0.24172923	9492181	4889	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/R14	heet/adj/nrc_handelsblad_20030804_45/275	R14	de	det	de/det	de	True	R	15	0.14649855	28074105	13172	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20030804_45/275/R15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/L0	heet/adj/nrc_handelsblad_20001028_152/636	L0	'	punct	'/punct	'	True	L	1	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/L1	heet/adj/nrc_handelsblad_20001028_152/636	L1	natuur	noun	natuur/noun	natuur	True	L	2	-0.6624151	23961	5	FALSE	TRUE	FALSE	FALSE	1
heet/adj/nrc_handelsblad_20001028_152/636/L2	heet/adj/nrc_handelsblad_20001028_152/636	L2	`	punct	`/punct	`	True	L	3	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/L3	heet/adj/nrc_handelsblad_20001028_152/636	L3	wat	noun	wat/noun	wat	True	L	4	-0.64013827	9360	2	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/L4	heet/adj/nrc_handelsblad_20001028_152/636	L4	veel	adj	veel/adj	veel	True	L	5	-0.06542281	425020	162	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/L5	heet/adj/nrc_handelsblad_20001028_152/636	L5	ben	verb	ben/verb	is	True	L	6	0.16841711	9938754	4769	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/L6	heet/adj/nrc_handelsblad_20001028_152/636	L6	reeds	adv	reeds/adv	reeds	True	L	7	-1.4210296999999998	20346	2	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/L7	heet/adj/nrc_handelsblad_20001028_152/636	L7	nu	adv	nu/adv	Nu	True	L	8	-0.02681381	803160	318	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/L8	heet/adj/nrc_handelsblad_20001028_152/636	L8	sentence_delimiter	none	none	<sentence>	none	L	9	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/L9	heet/adj/nrc_handelsblad_20001028_152/636	L9	sentence_delimiter	none	none	</sentence>	none	L	10	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/L10	heet/adj/nrc_handelsblad_20001028_152/636	L10	.	punct	./punct	.	False	L	11	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/L11	heet/adj/nrc_handelsblad_20001028_152/636	L11	hart	noun	hart/noun	hart	False	L	12	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/L12	heet/adj/nrc_handelsblad_20001028_152/636	L12	groen	adj	groen/adj	groen	False	L	13	0.913596	41750	42	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/L13	heet/adj/nrc_handelsblad_20001028_152/636	L13	een	det	een/det	een	False	L	14	0.21254325	11075723	5562	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/L14	heet/adj/nrc_handelsblad_20001028_152/636	L14	daar	adv	daar/adv	daar	False	L	15	0.19419645	274838	136	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/L15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/R0	heet/adj/nrc_handelsblad_20001028_152/636	R0	te	comp	te/comp	te	True	R	1	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	1
heet/adj/nrc_handelsblad_20001028_152/636/R1	heet/adj/nrc_handelsblad_20001028_152/636	R1	ben	verb	ben/verb	zijn	True	R	2	0.16841711	9938754	4769	TRUE	FALSE	FALSE	FALSE	1
heet/adj/nrc_handelsblad_20001028_152/636/R2	heet/adj/nrc_handelsblad_20001028_152/636	R2	niet	adv	niet/adv	niet	True	R	3	0.044620637000000005	3455007	1466	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/R3	heet/adj/nrc_handelsblad_20001028_152/636	R3	meer	det	meer/det	meer	True	R	4	-0.35496843	264661	75	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/R4	heet/adj/nrc_handelsblad_20001028_152/636	R4	dan	comparative	dan/comparative	dan	True	R	5	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/R5	heet/adj/nrc_handelsblad_20001028_152/636	R5	een	det	een/det	een	True	R	6	0.21254325	11075723	5562	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/R6	heet/adj/nrc_handelsblad_20001028_152/636	R6	enorm	adj	enorm/adj	enorm	True	R	7	-0.473386	71016	18	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/R7	heet/adj/nrc_handelsblad_20001028_152/636	R7	groen	adj	groen/adj	groen	True	R	8	0.913596	41750	42	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/R8	heet/adj/nrc_handelsblad_20001028_152/636	R8	industrieterrein	noun	industrieterrein/noun	industrieterrein	True	R	9	0.765753	3460	3	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/R9	heet/adj/nrc_handelsblad_20001028_152/636	R9	,	punct	,/punct	,	True	R	10	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/R10	heet/adj/nrc_handelsblad_20001028_152/636	R10	met	prep	met/prep	met	True	R	11	0.10158957	4230163	1900	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/R11	heet/adj/nrc_handelsblad_20001028_152/636	R11	gemillimeterd	adj	gemillimeterd/adj	gemillimeterd	True	R	12	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/R12	heet/adj/nrc_handelsblad_20001028_152/636	R12	gras	noun	gras/noun	gras	True	R	13	0.111684375	11019	5	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/R13	heet/adj/nrc_handelsblad_20001028_152/636	R13	van	prep	van/prep	van	True	R	14	-0.10328236	12638933	4621	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/R14	heet/adj/nrc_handelsblad_20001028_152/636	R14	dezelfde	det	dezelfde/det	dezelfde	True	R	15	-0.42627072	97788	26	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20001028_152/636/R15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
