_id	popular	pop_agree	batch	pop_conf
dof/adj/volkskrant_20010804_83/13	dof_2	1	dof_3	0.6669936778696253
dof/adj/volkskrant_19990923_70/852	dof_2	1	dof_3	0.19850809858542087
dof/adj/volkskrant_20001223_167/36	dof_3	1	dof_3	0.6669936778696253
dof/adj/volkskrant_20001215_124/481	dof_1	1	dof_3	-0.18109892581732823
dof/adj/volkskrant_20000928_71/381	dof_1	0.67	dof_3	-0.6817969361888789
dof/adj/volkskrant_20020227_78/683	dof_2	1	dof_3	0.9012364675117274
dof/adj/volkskrant_20020307_53/789	dof_2	1	dof_3	0.6669936778696253
dof/adj/volkskrant_19990728_57/263	dof_1	1	dof_3	0.19850809858542087
dof/adj/volkskrant_20020126_131/16	no_agreement	0.33	dof_3	-0.8954769791318463
dof/adj/volkskrant_20011013_137/1301	dof_3	0.67	dof_3	-1.0616678218383069
dof/adj/volkskrant_20001028_48/277	dof_2	1	dof_3	0.1461701255358014
dof/adj/volkskrant_19990701_37/109	dof_2	1	dof_3	0.1461701255358014
dof/adj/volkskrant_20010530_135/351	dof_1	1	dof_3	0.6669936778696253
dof/adj/volkskrant_20020215_151/22	dof_3	1	dof_3	-0.5565582433905051
dof/adj/volkskrant_20030411_125/27	dof_1	1	dof_3	0.1461701255358014
dof/adj/volkskrant_20001202_199/1615	dof_3	0.67	dof_4	-1.4826026980282647
dof/adj/volkskrant_19990204_19/363	dof_1	1	dof_4	-0.2919173167270272
dof/adj/parool_20001009_55/186	dof_2	1	dof_4	0.42632568941575166
dof/adj/parool_20020426_27/689	dof_1	1	dof_4	0.42632568941575166
dof/adj/parool_20020813_13/318	dof_1	0.67	dof_4	0.7770686505324377
dof/adj/parool_20010928_30/2040	dof_3	0.67	dof_4	0.1859152308591706
dof/adj/parool_19990130_113/4436	dof_2	1	dof_4	-0.2919173167270272
dof/adj/parool_20000609_90/137	dof_2	1	dof_4	0.0322234096335736
dof/adj/parool_20011212_128/32	dof_2	1	dof_4	0.0322234096335736
dof/adj/parool_20010420_12/709	dof_2	1	dof_4	0.0322234096335736
dof/adj/parool_19990129_122/321	dof_3	1	dof_4	0.2321974124493932
dof/adj/parool_20001218_8/533	dof_1	1	dof_4	0.0322234096335736
dof/adj/parool_19991002_98/286	dof_1	1	dof_4	0.556338138809994
dof/adj/parool_20010615_51/549	dof_2	1	dof_4	0.16223585902781598
dof/adj/parool_19990701_4/127	dof_2	1	dof_4	0.556338138809994
dof/adj/parool_20010929_115/322	dof_2	1	dof_4	0.42632568941575166
dof/adj/parool_20020601_119/873	dof_1	1	dof_4	0.556338138809994
dof/adj/parool_20040304_105/64	dof_2	1	dof_4	0.556338138809994
dof/adj/parool_20000930_109/459	dof_2	1	dof_4	0.0322234096335736
dof/adj/parool_20020420_153/190	dof_3	1	dof_4	0.556338138809994
dof/adj/parool_19990308_6/666	dof_1	1	dof_4	-0.49189131954284687
dof/adj/parool_20011102_57/151	dof_2	1	dof_4	0.9504404185921721
dof/adj/parool_20000815_11/330	dof_1	1	dof_4	-0.3618788701486044
dof/adj/parool_20010228_10/310	dof_3	1	dof_4	0.556338138809994
dof/adj/parool_20020227_56/481	dof_1	1	dof_4	0.0322234096335736
dof/adj/parool_20000519_9/173	dof_1	0.67	dof_4	0.07789278543402364
dof/adj/parool_19991028_33/105	dof_2	1	dof_4	0.0322234096335736
dof/adj/parool_20011212_83/293	dof_2	1	dof_4	0.42632568941575166
dof/adj/parool_20040621_11/143	dof_1	1	dof_4	0.0322234096335736
dof/adj/parool_19990306_135/501	dof_3	0.67	dof_4	-2.0737561177015316
dof/adj/parool_19991116_19/61	dof_2	1	dof_4	0.0322234096335736
dof/adj/parool_20010209_19/243	dof_2	1	dof_4	0.42632568941575166
dof/adj/parool_19990224_95/481	dof_1	1	dof_4	0.42632568941575166
dof/adj/parool_20031011_171/34	dof_3	1	dof_4	-1.798364882434162
dof/adj/parool_20010116_111/524	dof_2	0.67	dof_4	-2.0737561177015316
dof/adj/parool_19990610_102/234	dof_1	1	dof_4	0.9504404185921721
dof/adj/parool_20040422_58/171	dof_1	1	dof_4	0.0322234096335736
dof/adj/parool_20010822_26/324	dof_3	1	dof_4	-0.7559811499307825
dof/adj/parool_19990621_2/434	dof_2	0.67	dof_4	0.1859152308591706
dof/adj/parool_20040529_107/60	dof_3	1	dof_4	0.556338138809994
dof/adj/algemeen_dagblad_20031227_84/16	dof_3	0.67	dof_5	-0.11053321679681867
dof/adj/algemeen_dagblad_20020511_173/1766	dof_1	1	dof_5	0.6062948366920456
dof/adj/algemeen_dagblad_20020911_103/53	dof_3	0.67	dof_5	-0.11053321679681867
dof/adj/algemeen_dagblad_20010426_52/28	dof_2	1	dof_5	0.1360944162603433
dof/adj/algemeen_dagblad_20001124_175/299	dof_3	1	dof_5	0.1360944162603433
dof/adj/algemeen_dagblad_20010512_1/701	dof_2	1	dof_5	-0.2617689793705602
dof/adj/algemeen_dagblad_20010721_124/73	dof_2	1	dof_5	0.6062948366920456
dof/adj/algemeen_dagblad_20030812_57/251	other_sense	0.67	dof_5	-3.13945480457231
dof/adj/algemeen_dagblad_19990915_124/610	dof_1	1	dof_5	0.1360944162603433
dof/adj/algemeen_dagblad_20020810_87/6	dof_1	1	dof_5	0.6062948366920456
dof/adj/algemeen_dagblad_20010914_89/683	dof_2	1	dof_5	0.6062948366920456
dof/adj/algemeen_dagblad_20010414_69/628	dof_3	0.67	dof_5	-0.8741559396610107
dof/adj/algemeen_dagblad_19990911_38/405	dof_1	1	dof_5	-0.18943195456976133
dof/adj/algemeen_dagblad_20001223_103/123	dof_1	1	dof_5	0.20843144106114214
dof/adj/algemeen_dagblad_20041006_25/67	dof_1	0.67	dof_5	0.5364453216340964
dof/adj/algemeen_dagblad_20020819_94/685	dof_1	1	dof_5	0.6062948366920456
dof/adj/algemeen_dagblad_20001222_65/260	dof_1	1	dof_5	0.1360944162603433
dof/adj/algemeen_dagblad_20001027_150/180	dof_1	1	dof_5	-0.2617689793705602
dof/adj/algemeen_dagblad_19990910_44/268	dof_3	1	dof_5	-0.7319693998022626
dof/adj/algemeen_dagblad_20010316_107/3	dof_2	1	dof_5	0.6062948366920456
dof/adj/algemeen_dagblad_20000707_73/85	dof_3	1	dof_5	0.20843144106114214
dof/adj/algemeen_dagblad_20031007_89/194	dof_2	1	dof_5	0.1360944162603433
dof/adj/algemeen_dagblad_19990807_194/61	dof_1	0.67	dof_5	-0.8741559396610107
dof/adj/algemeen_dagblad_20000522_131/654	dof_1	1	dof_5	0.20843144106114214
dof/adj/algemeen_dagblad_20030920_138/32	dof_1	1	dof_5	0.1360944162603433
dof/adj/algemeen_dagblad_20001202_153/58	dof_2	1	dof_5	0.6062948366920456
dof/adj/algemeen_dagblad_20000515_40/288	dof_1	1	dof_5	0.6062948366920456
dof/adj/algemeen_dagblad_20000802_2/254	dof_1	1	dof_5	0.1360944162603433
dof/adj/algemeen_dagblad_20000824_15/582	dof_1	1	dof_5	0.1360944162603433
dof/adj/algemeen_dagblad_20011206_124/838	dof_3	1	dof_5	0.6062948366920456
dof/adj/algemeen_dagblad_20000225_93/730	dof_2	1	dof_5	-0.6596323750014637
dof/adj/algemeen_dagblad_20010126_53/775	dof_1	1	dof_5	0.20843144106114214
dof/adj/algemeen_dagblad_20040618_62/287	dof_1	1	dof_5	0.1360944162603433
dof/adj/algemeen_dagblad_20020322_130/782	dof_3	1	dof_5	0.6062948366920456
dof/adj/algemeen_dagblad_20010728_135/124	dof_1	0.67	dof_5	-1.1027135057477602
dof/adj/algemeen_dagblad_20030415_90/317	dof_2	1	dof_5	0.6062948366920456
dof/adj/de_morgen_19991030_01_120/1365	dof_2	1	dof_5	-0.3341060041713591
dof/adj/de_morgen_20000705_01_5/1228	dof_3	1	dof_5	-0.2617689793705602
dof/adj/de_morgen_20030806_01_17/4523	dof_1	1	dof_5	0.20843144106114214
dof/adj/de_morgen_20000724_01_79/67	dof_1	0.67	dof_5	0.5364453216340964
dof/adj/de_morgen_20040310_01_18/991	dof_3	1	dof_6	0.16769989431247295
dof/adj/de_morgen_19990206_01_106/1246	dof_2	1	dof_6	0.16769989431247295
dof/adj/de_morgen_20010519_01_125/718	dof_2	1	dof_6	0.4718498718386419
dof/adj/de_morgen_19990430_01_108/1354	dof_3	1	dof_6	0.16769989431247295
dof/adj/de_morgen_19991215_01_2/1164	dof_2	1	dof_6	0.4718498718386419
dof/adj/de_morgen_20020921_01_118/439	dof_2	1	dof_6	0.4718498718386419
dof/adj/de_morgen_20010905_01_69/58	dof_3	1	dof_6	-0.4785745696197822
dof/adj/de_morgen_19990212_01_38/57	dof_3	1	dof_6	0.16769989431247295
dof/adj/de_morgen_20041022_01_93/46	dof_1	1	dof_6	0.16769989431247295
dof/adj/de_morgen_20010807_01_71/669	dof_2	1	dof_6	0.4718498718386419
dof/adj/de_morgen_19991201_01_85/2978	dof_1	1	dof_6	-0.44060006073986485
dof/adj/de_morgen_19990325_01_8/1071	dof_1	1	dof_6	-0.7447500382660338
dof/adj/de_morgen_20000410_01_97/382	dof_2	1	dof_6	0.4718498718386419
dof/adj/de_morgen_20010319_01_65/349	dof_2	1	dof_6	0.4718498718386419
dof/adj/de_morgen_20010217_01_194/613	dof_2	1	dof_6	-0.17442459209361327
dof/adj/de_morgen_20010703_01_25/116	dof_3	1	dof_6	0.16769989431247295
dof/adj/de_morgen_20000630_01_4/98	dof_3	1	dof_6	-0.13645008321369595
dof/adj/de_morgen_20020511_01_100/427	dof_2	1	dof_6	0.16769989431247295
dof/adj/de_morgen_19990327_01_97/2471	dof_2	0.67	dof_6	-0.32585158680784176
dof/adj/de_morgen_20010630_01_168/4065	dof_1	1	dof_6	-0.13645008321369595
dof/adj/de_morgen_20010602_01_176/4897	dof_1	1	dof_6	0.4718498718386419
dof/adj/de_morgen_20010124_01_36/1691	dof_2	1	dof_6	0.16769989431247295
dof/adj/de_morgen_20020125_01_115/588	dof_4	0.67	dof_6	-0.7820765530970951
dof/adj/de_morgen_20030131_01_52/116	dof_3	1	dof_6	0.16769989431247295
dof/adj/de_morgen_20040224_01_96/368	dof_1	0.67	dof_6	-2.591150451719141
dof/adj/de_morgen_20040716_01_123/908	dof_2	1	dof_6	0.4718498718386419
dof/adj/de_morgen_19990401_01_118/307	dof_2	1	dof_6	0.4718498718386419
dof/adj/de_morgen_20010516_01_228/428	dof_2	1	dof_6	0.4718498718386419
dof/adj/de_morgen_20040326_01_106/478	dof_3	1	dof_6	-0.44060006073986485
dof/adj/de_morgen_19990220_01_93/5791	dof_1	0.67	dof_6	-3.5036003842976475
dof/adj/de_morgen_20031211_01_73/31	dof_3	1	dof_6	0.16769989431247295
dof/adj/de_standaard_20000506_01_81/343	dof_1	1	dof_6	0.16769989431247295
dof/adj/de_standaard_20020807_01_102/35	dof_3	1	dof_6	0.16769989431247295
dof/adj/de_standaard_19991029_01_5/715	dof_3	1	dof_6	0.16769989431247295
dof/adj/de_standaard_20010317_01_109/84	dof_3	1	dof_6	0.16769989431247295
dof/adj/de_standaard_20020307_01_109/258	dof_2	1	dof_6	0.4718498718386419
dof/adj/de_standaard_20020913_01_114/763	dof_2	1	dof_6	0.4718498718386419
dof/adj/de_standaard_20020920_01_116/849	dof_3	1	dof_6	-0.44060006073986485
dof/adj/de_standaard_19990503_01_1/817	dof_3	0.5	dof_7	-1.734853379058975
dof/adj/de_standaard_20020712_01_108/437	dof_1	0.75	dof_7	0.13302959339203677
dof/adj/de_standaard_20021123_01_101/1322	dof_2	1	dof_7	0.4053576933458895
dof/adj/de_standaard_19990903_01_3/1046	dof_1	0.75	dof_7	0.13302959339203677
dof/adj/de_standaard_20031025_01_200/850	dof_3	1	dof_7	0.03151377628287601
dof/adj/de_standaard_20030307_01_73/34	dof_3	1	dof_7	0.04504269578120314
dof/adj/de_standaard_20020126_01_116/25	dof_1	0.5	dof_7	0.14549714045335224
dof/adj/de_standaard_20000610_01_37/514	dof_1	0.75	dof_7	-0.7871920657761867
dof/adj/de_standaard_20020525_01_159/2243	dof_3	1	dof_7	0.2116712750652192
dof/adj/de_standaard_20020219_01_24/129	dof_1	0.5	dof_7	-1.9442756359439897
dof/adj/de_standaard_20030830_01_41/113	dof_2	0.5	dof_7	-1.4316440977033174
dof/adj/de_standaard_20010822_01_56/100	dof_2	1	dof_7	0.5855151921282327
dof/adj/de_standaard_20010914_01_13/216	dof_1	1	dof_7	0.4053576933458895
dof/adj/de_standaard_20031218_01_46/990	dof_2	1	dof_7	0.004455937286221803
dof/adj/de_standaard_20030920_01_96/735	dof_2	1	dof_7	0.01798485678454891
dof/adj/de_standaard_20020312_01_53/80	dof_2	1	dof_7	0.004455937286221803
dof/adj/de_standaard_20040327_01_14/100	dof_1	0.75	dof_7	0.13302959339203677
dof/adj/de_standaard_20010313_01_103/344	dof_3	1	dof_7	0.2116712750652192
dof/adj/de_standaard_20000829_01_25/787	dof_2	1	dof_7	0.5855151921282327
dof/adj/de_standaard_19990428_01_15/591	unclear	0.5	dof_7	-3.3604089151440117
dof/adj/de_standaard_20030517_01_173/330	dof_2	1	dof_7	0.3918287738475624
dof/adj/de_standaard_19990809_01_11/41	dof_3	1	dof_7	-0.17570156149612137
dof/adj/de_standaard_20010727_01_23/774	dof_3	0.75	dof_7	0.24619686699715698
dof/adj/de_standaard_20040820_01_54/149	dof_3	0.75	dof_7	-1.0003746352037854
dof/adj/de_standaard_19990410_01_111/408	dof_2	1	dof_7	0.5855151921282327
dof/adj/de_standaard_20041016_01_24/142	dof_1	0.75	dof_7	-0.8052306251072895
dof/adj/de_standaard_20030922_01_61/157	dof_3	1	dof_7	0.5855151921282327
dof/adj/de_standaard_20020516_01_77/27	dof_1	1	dof_7	0.4053576933458895
dof/adj/de_standaard_20020802_01_34/289	dof_3	1	dof_7	0.5855151921282327
dof/adj/het_laatste_nieuws_20010220_01_495/26	dof_3	1	dof_7	0.5855151921282327
dof/adj/het_laatste_nieuws_20030220_01_426/681	dof_1	1	dof_7	0.5855151921282327
dof/adj/het_laatste_nieuws_20010901_01_263/156	dof_2	1	dof_7	0.5855151921282327
dof/adj/het_laatste_nieuws_20010725_01_404/66	dof_3	1	dof_7	0.5855151921282327
dof/adj/het_laatste_nieuws_20011121_01_368/283	dof_3	0.75	dof_7	-0.08914184565331797
dof/adj/het_laatste_nieuws_20031007_01_477/154	dof_2	1	dof_7	0.5855151921282327
dof/adj/het_laatste_nieuws_20021203_01_466/201	dof_3	1	dof_7	0.5855151921282327
dof/adj/het_laatste_nieuws_20020814_01_16/216	dof_2	1	dof_7	0.5855151921282327
dof/adj/het_laatste_nieuws_20040528_01_574/334	dof_2	1	dof_7	0.5855151921282327
dof/adj/het_laatste_nieuws_20010918_01_373/236	dof_3	1	dof_7	0.5855151921282327
dof/adj/het_laatste_nieuws_20030306_01_292/23	dof_2	1	dof_7	0.5855151921282327
dof/adj/het_laatste_nieuws_20020507_01_452/420	dof_3	1	dof_8	0.6411985942537943
dof/adj/het_laatste_nieuws_20030527_01_575/434	dof_3	1	dof_8	0.31912670597908593
dof/adj/het_laatste_nieuws_20020724_01_226/152	dof_1	0.67	dof_8	-1.7464210580154933
dof/adj/het_laatste_nieuws_20030701_01_388/16	dof_3	1	dof_8	-0.12070551311403706
dof/adj/het_laatste_nieuws_20011008_01_433/201	dof_3	1	dof_8	0.6411985942537943
dof/adj/het_laatste_nieuws_20040430_01_136/103	dof_2	1	dof_8	0.20136637516067127
dof/adj/het_laatste_nieuws_20040313_01_731/138	dof_2	1	dof_8	-0.3250170705703308
dof/adj/het_laatste_nieuws_20000121_01_92/294	dof_2	0.67	dof_8	0.6840108877437554
dof/adj/het_laatste_nieuws_20040708_01_391/1463	dof_1	1	dof_8	-0.09942493139945881
dof/adj/het_laatste_nieuws_20031218_01_436/38	dof_2	1	dof_8	0.31912670597908593
dof/adj/het_laatste_nieuws_20040228_01_349/78	dof_3	1	dof_8	0.6411985942537943
dof/adj/het_laatste_nieuws_20001121_01_652/537	dof_2	1	dof_8	0.20136637516067127
dof/adj/het_laatste_nieuws_20020821_01_419/161	dof_3	0.67	dof_8	-2.5433925567952174
dof/adj/het_laatste_nieuws_20010519_01_419/928	dof_1	1	dof_8	-0.0029451822956224247
dof/adj/het_laatste_nieuws_20011106_01_387/282	dof_2	1	dof_8	0.6411985942537943
dof/adj/het_laatste_nieuws_20040426_01_141/333	dof_3	1	dof_8	-0.9095689133192084
dof/adj/het_laatste_nieuws_20030128_01_603/95	dof_3	1	dof_8	0.20136637516067127
dof/adj/het_laatste_nieuws_20040727_01_11/51	dof_2	1	dof_8	0.6411985942537943
dof/adj/het_nieuwsblad_20000915_01_146/65	dof_2	1	dof_8	0.6411985942537943
dof/adj/het_nieuwsblad_19990830_01_13/101	dof_2	1	dof_8	0.20136637516067127
dof/adj/het_nieuwsblad_19990205_01_219/332	dof_3	1	dof_8	0.6411985942537943
