_model	model.x	model.y	foc_BOUNDARIES	foc_FOC-POS	foc_FOC-WIN	foc_PPMI	foc_context_words	foc_minimum_features	soc_LENGTH	soc_LENGTH_num	soc_SOC-POS	soc_SOC-WIN	tokens	type	stress
geestig.foc5.nav.weight.bound.min1.soc10.nav.5000	-0.19953475873526674	0.12597434614202102	bound	nav	5_5	weight	448	1	5000	5000	nav	10_10	266	geestig	0.24605748868311836
geestig.foc5.nav.weight.bound.min1.soc10.nav.10000	-0.1904267062820633	0.18124454913270086	bound	nav	5_5	weight	448	1	10000	10000	nav	10_10	266	geestig	0.24501424559429394
geestig.foc5.nav.weight.bound.min1.soc10.nav.FOC	-0.22356001994437816	0.22398270960346675	bound	nav	5_5	weight	448	1	FOC	448	nav	10_10	266	geestig	0.24532505305142607
geestig.foc5.nav.weight.bound.min1.soc4.all.5000	-0.2017330449226895	0.14940947604248703	bound	nav	5_5	weight	448	1	5000	5000	all	4_4	266	geestig	0.25724076717665634
geestig.foc5.nav.weight.bound.min1.soc4.all.10000	-0.20311012491940947	0.18626325441862535	bound	nav	5_5	weight	448	1	10000	10000	all	4_4	266	geestig	0.24948218801760907
geestig.foc5.nav.weight.bound.min1.soc4.all.FOC	-0.23132741006720423	0.24998780069608811	bound	nav	5_5	weight	448	1	FOC	448	all	4_4	266	geestig	0.2595871298424029
geestig.foc5.nav.weight.bound.min1.soc10.all.5000	-0.20413905350656944	0.12419615130269782	bound	nav	5_5	weight	448	1	5000	5000	all	10_10	266	geestig	0.24575775411269932
geestig.foc5.nav.weight.bound.min1.soc10.all.10000	-0.18787654556332736	0.15609845463721742	bound	nav	5_5	weight	448	1	10000	10000	all	10_10	266	geestig	0.24819758838439623
geestig.foc5.nav.weight.bound.min1.soc10.all.FOC	-0.22356001958755412	0.22398271142264384	bound	nav	5_5	weight	448	1	FOC	448	all	10_10	266	geestig	0.24532505305142607
geestig.foc5.nav.selection.bound.min1.soc4.nav.5000	-0.27324944900146586	0.09760759055720185	bound	nav	5_5	selection	448	1	5000	5000	nav	4_4	266	geestig	0.2483675689388896
geestig.foc5.nav.selection.bound.min1.soc4.nav.10000	-0.28775950461050714	0.13684816959518242	bound	nav	5_5	selection	448	1	10000	10000	nav	4_4	266	geestig	0.24262471997749402
geestig.foc5.nav.selection.bound.min1.soc4.nav.FOC	-0.26702058702134024	0.16132156971981387	bound	nav	5_5	selection	448	1	FOC	448	nav	4_4	266	geestig	0.24158830848903465
