_id	_cws.geestig.foc10.nav.weight.bound	_count.geestig.foc10.nav.weight.bound	_cws.geestig.foc10.nav.selection.bound	_count.geestig.foc10.nav.selection.bound	_cws.geestig.foc10.nav.no.bound	_count.geestig.foc10.nav.no.bound	_cws.geestig.foc10.all.weight.bound	_count.geestig.foc10.all.weight.bound	_cws.geestig.foc10.all.selection.bound	_count.geestig.foc10.all.selection.bound	_cws.geestig.foc10.all.no.bound	_count.geestig.foc10.all.no.bound	_cws.geestig.foc5.nav.weight.bound	_count.geestig.foc5.nav.weight.bound	_cws.geestig.foc5.nav.selection.bound	_count.geestig.foc5.nav.selection.bound	_cws.geestig.foc5.nav.no.bound	_count.geestig.foc5.nav.no.bound	_cws.geestig.foc5.all.weight.bound	_count.geestig.foc5.all.weight.bound	_cws.geestig.foc5.all.selection.bound	_count.geestig.foc5.all.selection.bound	_cws.geestig.foc5.all.no.bound	_count.geestig.foc5.all.no.bound
geestig/adj/volkskrant_19991216_18/614	ben/verb;dramatisch/adj;portret/noun;stoer/adj	4	ben/verb;dramatisch/adj;portret/noun;stoer/adj	4	ben/verb;dramatisch/adj;portret/noun;stoer/adj	4	ben/verb;dramatisch/adj;portret/noun;stoer/adj	4	ben/verb;dramatisch/adj;portret/noun;stoer/adj	4	ben/verb;dramatisch/adj;portret/noun;stoer/adj	4	ben/verb;dramatisch/adj;portret/noun	3	ben/verb;dramatisch/adj;portret/noun	3	ben/verb;dramatisch/adj;portret/noun	3	ben/verb;dramatisch/adj;portret/noun	3	ben/verb;dramatisch/adj;portret/noun	3	ben/verb;dramatisch/adj;portret/noun	3
geestig/adj/volkskrant_20011022_83/238	stereotiep/adj;variatie/noun	2	stereotiep/adj;variatie/noun	2	stereotiep/adj;variatie/noun	2	stereotiep/adj;variatie/noun	2	stereotiep/adj;variatie/noun	2	stereotiep/adj;variatie/noun	2	stereotiep/adj;variatie/noun	2	stereotiep/adj;variatie/noun	2	stereotiep/adj;variatie/noun	2	stereotiep/adj;variatie/noun	2	stereotiep/adj;variatie/noun	2	stereotiep/adj;variatie/noun	2
geestig/adj/volkskrant_20000121_112/1175	ben/verb;hoor/verb;terloops/adj;vaak/adj	4	ben/verb;hoor/verb;terloops/adj;vaak/adj	4	ben/verb;hoor/verb;terloops/adj;vaak/adj	4	ben/verb;haast/adv;hij/pron;hoor/verb;terloops/adj;vaak/adj;zeer/adv	7	ben/verb;haast/adv;hij/pron;hoor/verb;terloops/adj;vaak/adj;zeer/adv	7	ben/verb;haast/adv;hij/pron;hoor/verb;terloops/adj;vaak/adj;zeer/adv	7	ben/verb;terloops/adj;vaak/adj	3	ben/verb;terloops/adj;vaak/adj	3	ben/verb;terloops/adj;vaak/adj	3	ben/verb;haast/adv;hij/pron;terloops/adj;vaak/adj;zeer/adv	6	ben/verb;haast/adv;hij/pron;terloops/adj;vaak/adj;zeer/adv	6	ben/verb;haast/adv;hij/pron;terloops/adj;vaak/adj;zeer/adv	6
geestig/adj/volkskrant_20000226_50/960	bedoeld/adj;ben/verb;hoe/adj;kerst_diner/noun;maak/verb;toespraak/noun;vreselijk/adj	7	bedoeld/adj;ben/verb;hoe/adj;kerst_diner/noun;maak/verb;toespraak/noun;vreselijk/adj	7	bedoeld/adj;ben/verb;hoe/adj;kerst_diner/noun;maak/verb;toespraak/noun;vreselijk/adj	7	als/prep;bedoeld/adj;ben/verb;een/det;hij/pron;hoe/adj;kerst_diner/noun;maak/verb;toespraak/noun;vreselijk/adj	10	als/prep;bedoeld/adj;ben/verb;een/det;hij/pron;hoe/adj;kerst_diner/noun;maak/verb;toespraak/noun;vreselijk/adj	10	als/prep;bedoeld/adj;ben/verb;een/det;hij/pron;hoe/adj;kerst_diner/noun;maak/verb;toespraak/noun;vreselijk/adj	10	bedoeld/adj;maak/verb;toespraak/noun	3	bedoeld/adj;maak/verb;toespraak/noun	3	bedoeld/adj;maak/verb;toespraak/noun	3	bedoeld/adj;een/det;hij/pron;maak/verb;toespraak/noun	5	bedoeld/adj;een/det;hij/pron;maak/verb;toespraak/noun	5	bedoeld/adj;een/det;hij/pron;maak/verb;toespraak/noun	5
geestig/adj/volkskrant_19990308_8/788	beetje/noun;manier/noun	2	beetje/noun;manier/noun	2	beetje/noun;manier/noun	2	beetje/noun;een/det;manier/noun	3	beetje/noun;een/det;manier/noun	3	beetje/noun;een/det;manier/noun	3	beetje/noun;manier/noun	2	beetje/noun;manier/noun	2	beetje/noun;manier/noun	2	beetje/noun;een/det;manier/noun	3	beetje/noun;een/det;manier/noun	3	beetje/noun;een/det;manier/noun	3
geestig/adj/volkskrant_20020419_55/292	barst/verb;ben/verb;ijzersterk/adj;ken/verb;spel/noun	5	barst/verb;ben/verb;ijzersterk/adj;ken/verb;spel/noun	5	barst/verb;ben/verb;ijzersterk/adj;ken/verb;spel/noun	5	barst/verb;ben/verb;dankzij/prep;ijzersterk/adj;ken/verb;ook/adv;spel/noun	7	barst/verb;ben/verb;dankzij/prep;ijzersterk/adj;ken/verb;ook/adv;spel/noun	7	barst/verb;ben/verb;dankzij/prep;ijzersterk/adj;ken/verb;ook/adv;spel/noun	7	ben/verb;ijzersterk/adj;spel/noun	3	ben/verb;ijzersterk/adj;spel/noun	3	ben/verb;ijzersterk/adj;spel/noun	3	ben/verb;dankzij/prep;ijzersterk/adj;ook/adv;spel/noun	5	ben/verb;dankzij/prep;ijzersterk/adj;ook/adv;spel/noun	5	ben/verb;dankzij/prep;ijzersterk/adj;ook/adv;spel/noun	5
geestig/adj/volkskrant_20010201_96/88	ontbreek/verb;onverwacht/adj;saxofonist/noun;stuk/noun;vaak/adj;vriendelijk/adj;wending/noun	7	ontbreek/verb;onverwacht/adj;saxofonist/noun;stuk/noun;vaak/adj;vriendelijk/adj;wending/noun	7	ontbreek/verb;onverwacht/adj;saxofonist/noun;stuk/noun;vaak/adj;vriendelijk/adj;wending/noun	7	dankzij/prep;die/pron;met/prep;ontbreek/verb;onverwacht/adj;saxofonist/noun;stuk/noun;vaak/adj;vriendelijk/adj;wending/noun	10	dankzij/prep;die/pron;met/prep;ontbreek/verb;onverwacht/adj;saxofonist/noun;stuk/noun;vaak/adj;vriendelijk/adj;wending/noun	10	dankzij/prep;die/pron;met/prep;ontbreek/verb;onverwacht/adj;saxofonist/noun;stuk/noun;vaak/adj;vriendelijk/adj;wending/noun	10	onverwacht/adj;stuk/noun;vaak/adj;vriendelijk/adj;wending/noun	5	onverwacht/adj;stuk/noun;vaak/adj;vriendelijk/adj;wending/noun	5	onverwacht/adj;stuk/noun;vaak/adj;vriendelijk/adj;wending/noun	5	met/prep;onverwacht/adj;stuk/noun;vaak/adj;vriendelijk/adj;wending/noun	6	met/prep;onverwacht/adj;stuk/noun;vaak/adj;vriendelijk/adj;wending/noun	6	met/prep;onverwacht/adj;stuk/noun;vaak/adj;vriendelijk/adj;wending/noun	6
geestig/adj/volkskrant_20020513_66/12	ben/verb;slim/adj;zomer_hit/noun	3	ben/verb;slim/adj;zomer_hit/noun	3	ben/verb;slim/adj;zomer_hit/noun	3	ben/verb;slim/adj;zomer_hit/noun	3	ben/verb;slim/adj;zomer_hit/noun	3	ben/verb;slim/adj;zomer_hit/noun	3	slim/adj;zomer_hit/noun	2	slim/adj;zomer_hit/noun	2	slim/adj;zomer_hit/noun	2	slim/adj;zomer_hit/noun	2	slim/adj;zomer_hit/noun	2	slim/adj;zomer_hit/noun	2
geestig/adj/volkskrant_20010906_43/323	plaat/noun;pretentieus/adj;voltooi/verb	3	plaat/noun;pretentieus/adj;voltooi/verb	3	plaat/noun;pretentieus/adj;voltooi/verb	3	een/det;plaat/noun;pretentieus/adj;voltooi/verb	4	een/det;plaat/noun;pretentieus/adj;voltooi/verb	4	een/det;plaat/noun;pretentieus/adj;voltooi/verb	4	plaat/noun;pretentieus/adj;voltooi/verb	3	plaat/noun;pretentieus/adj;voltooi/verb	3	plaat/noun;pretentieus/adj;voltooi/verb	3	een/det;plaat/noun;pretentieus/adj;voltooi/verb	4	een/det;plaat/noun;pretentieus/adj;voltooi/verb	4	een/det;plaat/noun;pretentieus/adj;voltooi/verb	4
geestig/adj/volkskrant_20040603_82/106	gemaakt/adj;gezicht/noun;heel/adj;ironisch/adj;sterk/adj	5	gemaakt/adj;gezicht/noun;heel/adj;ironisch/adj;sterk/adj	5	gemaakt/adj;gezicht/noun;heel/adj;ironisch/adj;sterk/adj	5	een/det;gemaakt/adj;gezicht/noun;heel/adj;hij/pron;ironisch/adj;sterk/adj;zelfs/adv	8	een/det;gemaakt/adj;gezicht/noun;heel/adj;hij/pron;ironisch/adj;sterk/adj;zelfs/adv	8	een/det;gemaakt/adj;gezicht/noun;heel/adj;hij/pron;ironisch/adj;sterk/adj;zelfs/adv	8	gezicht/noun;heel/adj;ironisch/adj;sterk/adj	4	gezicht/noun;heel/adj;ironisch/adj;sterk/adj	4	gezicht/noun;heel/adj;ironisch/adj;sterk/adj	4	een/det;gezicht/noun;heel/adj;hij/pron;ironisch/adj;sterk/adj;zelfs/adv	7	een/det;gezicht/noun;heel/adj;hij/pron;ironisch/adj;sterk/adj;zelfs/adv	7	een/det;gezicht/noun;heel/adj;hij/pron;ironisch/adj;sterk/adj;zelfs/adv	7
