_model	model.x	model.y	token_window	tokpos	mincws	socccorpus	socclength	socc_window	stress	tokens	socclength_group
nocomp.5_5_nvj_nobound.noweight.2.s.10k_all.10_10	-0.05434147618911218	0.20897627074356945	5:5	NVJ	2	Semcor	10000	10:10	0.24997066320995	229	10000
nocomp.5_5_nvj_nobound.noweight.2.s.10k_all.5_5	-0.047241048390044796	0.23779514130828527	5:5	NVJ	2	Semcor	10000	5:5	0.251613822112617	229	10000
nocomp.5_5_nvj_nobound.noweight.2.s.5k_all.10_10	-0.06701748542885692	0.17989646595839337	5:5	NVJ	2	Semcor	5000	10:10	0.250256069673967	229	5000
nocomp.5_5_nvj_nobound.noweight.2.s.5k_all.5_5	-0.049582908432038796	0.19999113352073336	5:5	NVJ	2	Semcor	5000	5:5	0.25851877757089	229	5000
nocomp.10_10_nvj_nobound.noweight.1.c.1095_all.10_10	-0.30137689446014243	-0.21793999489977842	10:10	NVJ	1	COHA	1095	10:10	0.227546004598481	249	focc
nocomp.10_10_nvj_nobound.noweight.1.c.1095_all.5_5	-0.3254330576031957	-0.15499809284825336	10:10	NVJ	1	COHA	1095	5:5	0.239651074246776	249	focc
nocomp.10_10_nvj_nobound.noweight.1.s.1166_all.10_10	-0.3175755254703935	0.04293026886610284	10:10	NVJ	1	Semcor	1166	10:10	0.265508054455752	249	focc
nocomp.10_10_nvj_nobound.noweight.1.s.1166_all.5_5	-0.37150890567419387	0.04820003917597196	10:10	NVJ	1	Semcor	1166	5:5	0.276944747534713	249	focc
nocomp.5_5_nvj_nobound.noweight.1.c.626_all.10_10	-0.04378632736422625	-0.29309486278539904	5:5	NVJ	1	COHA	626	10:10	0.237185899745235	246	focc
nocomp.5_5_nvj_nobound.noweight.1.c.626_all.5_5	-0.038036506572489887	-0.28143996437431695	5:5	NVJ	1	COHA	626	5:5	0.257812534002201	246	focc
nocomp.5_5_nvj_nobound.noweight.1.s.659_all.10_10	-0.20712307848221506	0.19345222747456722	5:5	NVJ	1	Semcor	659	10:10	0.298040917983659	246	focc
nocomp.5_5_nvj_nobound.noweight.1.s.659_all.5_5	-0.09390482429366073	0.31234043679020557	5:5	NVJ	1	Semcor	659	5:5	0.308413565787037	246	focc
