_model	foc_length	foc_minimum_features	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_part_of_speech	soc_window	tokens	type
spoor.foc5.all.ppmi_sel.bound.min1.soc10.all.10000	402.0	1.0	all	bound	ppmi_sel	5_5	10000	10000.0	all	10_10	360	spoor
spoor.foc5.all.ppmi_sel.bound.min1.soc10.all.foc	402.0	1.0	all	bound	ppmi_sel	5_5	foc	402.0	all	10_10	360	spoor
spoor.foc5.all.no_ppmi.bound.min1.soc4.nav.5000	683.0	1.0	all	bound	no_ppmi	5_5	5000	5000.0	nav	4_4	360	spoor
spoor.foc5.all.no_ppmi.bound.min1.soc4.nav.10000	683.0	1.0	all	bound	no_ppmi	5_5	10000	10000.0	nav	4_4	360	spoor
spoor.foc5.all.no_ppmi.bound.min1.soc4.nav.foc	683.0	1.0	all	bound	no_ppmi	5_5	foc	683.0	nav	4_4	360	spoor
spoor.foc5.all.no_ppmi.bound.min1.soc10.nav.5000	683.0	1.0	all	bound	no_ppmi	5_5	5000	5000.0	nav	10_10	360	spoor
spoor.foc5.all.no_ppmi.bound.min1.soc10.nav.10000	683.0	1.0	all	bound	no_ppmi	5_5	10000	10000.0	nav	10_10	360	spoor
spoor.foc5.all.no_ppmi.bound.min1.soc10.nav.foc	683.0	1.0	all	bound	no_ppmi	5_5	foc	683.0	nav	10_10	360	spoor
spoor.foc5.all.no_ppmi.bound.min1.soc4.all.5000	683.0	1.0	all	bound	no_ppmi	5_5	5000	5000.0	all	4_4	360	spoor
spoor.foc5.all.no_ppmi.bound.min1.soc4.all.10000	683.0	1.0	all	bound	no_ppmi	5_5	10000	10000.0	all	4_4	360	spoor
spoor.foc5.all.no_ppmi.bound.min1.soc4.all.foc	683.0	1.0	all	bound	no_ppmi	5_5	foc	683.0	all	4_4	360	spoor
spoor.foc5.all.no_ppmi.bound.min1.soc10.all.5000	683.0	1.0	all	bound	no_ppmi	5_5	5000	5000.0	all	10_10	360	spoor
spoor.foc5.all.no_ppmi.bound.min1.soc10.all.10000	683.0	1.0	all	bound	no_ppmi	5_5	10000	10000.0	all	10_10	360	spoor
spoor.foc5.all.no_ppmi.bound.min1.soc10.all.foc	683.0	1.0	all	bound	no_ppmi	5_5	foc	683.0	all	10_10	360	spoor
