_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
herhalen.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	-0.1610998504453607	-0.048151538683976446	NA	NA	bound	221	lex	3_3	1	selection	5000	5000	all	4_4	267	herhalen	0.2656951182887189	BOW
herhalen.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.017348639117571143	-0.10112627103734559	NA	NA	bound	221	lex	3_3	1	selection	FOC	138	nav	4_4	267	herhalen	0.2898340066450506	BOW
herhalen.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.006300085752740298	-0.08389990507735114	NA	NA	bound	221	lex	3_3	1	selection	FOC	221	all	4_4	267	herhalen	0.28731727024422976	BOW
herhalen.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	-0.02066232350669063	-0.20832447441483232	NA	NA	bound	331	lex	3_3	1	no	5000	5000	nav	4_4	297	herhalen	0.2614547045673443	BOW
herhalen.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	-0.2610482927001564	-0.12884503822183324	NA	NA	bound	331	lex	3_3	1	no	5000	5000	all	4_4	297	herhalen	0.26813808682415663	BOW
herhalen.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	0.048409527792302856	-0.2185368115435908	NA	NA	bound	331	lex	3_3	1	no	FOC	228	nav	4_4	297	herhalen	0.2894714656476748	BOW
herhalen.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	0.06042090047868916	-0.21524812282127662	NA	NA	bound	331	lex	3_3	1	no	FOC	331	all	4_4	297	herhalen	0.28219795071304465	BOW
herhalen.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	-0.004497579183262502	0.13894316801954443	NA	NA	bound	358	all	3_3	1	weight	5000	5000	nav	4_4	308	herhalen	0.27006114026239597	BOW
herhalen.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	-0.19109934926146835	0.14100538189710998	NA	NA	bound	358	all	3_3	1	weight	5000	5000	all	4_4	308	herhalen	0.27712019248041153	BOW
herhalen.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	0.003838454246248621	0.06216053082120984	NA	NA	bound	358	all	3_3	1	weight	FOC	138	nav	4_4	308	herhalen	0.2942753725075014	BOW
herhalen.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	-0.003429302265043218	0.05062501853932509	NA	NA	bound	358	all	3_3	1	weight	FOC	358	all	4_4	308	herhalen	0.2780053576765566	BOW
herhalen.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.015777562620540298	0.15781624168621378	NA	NA	bound	358	all	3_3	1	selection	5000	5000	nav	4_4	308	herhalen	0.2540424341620415	BOW
herhalen.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	-0.22371440411439092	0.1379445368023311	NA	NA	bound	358	all	3_3	1	selection	5000	5000	all	4_4	308	herhalen	0.2732933344894903	BOW
herhalen.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.09134822565873527	0.004683832554521096	NA	NA	bound	358	all	3_3	1	selection	FOC	138	nav	4_4	308	herhalen	0.2811807164847413	BOW
herhalen.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.0864433667795902	-0.009254371187583203	NA	NA	bound	358	all	3_3	1	selection	FOC	358	all	4_4	308	herhalen	0.2558837387332942	BOW
herhalen.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	0.2304786524217428	0.08672339864077042	NA	NA	bound	536	all	3_3	1	no	5000	5000	nav	4_4	312	herhalen	0.25070267149478076	BOW
