pmi	raw_freq	raw_co	cw
2.05578	976	1	bakstenen/adj
-0.2831825	50751	5	bal/noun
0.090045884	56065	8	band/noun
0.35460225	37776	7	bang/adj
3.089352	348	1	basis_regel/noun
1.150772	14612	6	beantwoord/verb
0.37266845	47299	9	bedoeling/noun
-0.2710567	20358	2	bedreig/verb
0.50809187	101423	22	beeld/noun
0.41300926	91319	18	beetje/noun
0.04075272	280945	38	begin/verb
-0.29984644	61997	6	begrijp/verb
2.362297	1437	2	beheersing/noun
1.0394107	5411	2	bekendheid/noun
0.031774614	29860	4	belangstelling/noun
2.8383753	3151	7	belediging/noun
4.267476	324	3	belicht/adj
2.7220058	4560	9	belicht/verb
0.54674274	4448	1	bemachtig/verb
0.04941353	9938754	1360	ben/verb
0.2565388	11883	2	ben_uit/verb
0.72155446	3703	1	bene/adv
-0.22848175	48222	5	bepaal/verb
0.5974412	58714	14	bepaald/adj
0.14176816	33306	5	beperkt/adj
0.26493505	23594	4	beroemd/adj
3.324217	275	1	beroeps/noun
-0.23984437	19572	2	beschuldig/verb
3.7904928	345	2	bespot/verb
1.3599586	1962	1	best/adv
-0.091567926	151384	18	besta/verb
-1.087979	137583	6	betaal/verb
-0.15875666	17935	2	betekenis/noun
0.26005897	11837	2	betrokkenheid/noun
0.7313654	29453	8	bevat/verb
4.185651	233	2	beweegbare/adj
0.19179693	31601	5	beweging/noun
1.6145378	3060	2	bezie/verb
-1.1248132	71043	3	bezoeker/noun
0.07230096	7205	1	bezorgd/adj
-0.47794375	86654	7	bied/verb
-0.22069018	1803877	188	bij/prep
5.1829557	1210	28	bijtend/adj
-0.2029832	75089	8	bijzonder/adj
-0.057153743	40639	5	binnen/adv
-1.1172489	26133	1	bladzij/noun
1.4126937	18742	10	blauw/adj
-0.10972788	516893	60	blijf/verb
0.3346599	10988	2	blijf_achter/verb
1.9227959	1124	1	bloed/adj
-0.3152913	157857	15	boek/noun
1.9091836	1144	1	bom_vol/adj
-0.54775417	27001	2	bondscoach/noun
1.2570512	34900	16	boodschap/noun
0.21304789	31144	5	boom/noun
0.26346502	23519	4	bouw_op/verb
-0.11376054	145076	17	bovendien/adv
0.52591556	40663	9	breed/adj
0.03682052	59181	8	brief/noun
0.20299315	6294	1	briljant/adj
2.2952254	5413	7	buis/noun
-0.5309198	52661	4	buitenlands/adj
0.5604724	8738	2	bundel/noun
1.1219196	7497	3	buurland/noun
1.2388201	2231	1	cabaret/noun
3.071703	720	2	camera_toezicht/noun
3.6257873	204	1	camouflage_pak/noun
1.7767317	31203	24	campagne/noun
4.6953697	210	3	cartoonisten/noun
0.3679468	47812	9	centraal/adj
2.0437384	3977	4	charmant/adj
3.4804447	238	1	charme_zanger/noun
0.32368118	5547	1	christen-democraat/noun
4.3676257	291	3	clerus/noun
2.15363	6218	7	cliché/noun
-0.36486042	132758	12	club/noun
1.2267151	6789	3	code/noun
0.3954632	67006	13	collega/noun
0.72455615	25952	7	combinatie/noun
0.44278154	14750	3	combineer/verb
0.8014136	24780	7	commentaar/noun
1.0954267	33399	13	commercieel/adj
2.3037565	4589	6	conventie/noun
2.1491456	2707	3	cool/adj
2.3074698	764	1	cosmetische/adj
0.71844774	26108	7	creëer/verb
0.92925537	12083	4	criticus/noun
2.7076173	515	1	culpa/noun
0.93572104	36192	12	cultureel/adj
3.5314527	676	3	cynicus/noun
-0.48302397	272748	22	daar/noun
-0.3950026	388220	34	dag/noun
0.7125492	3765	1	daglicht/noun
1.8883655	3498	3	dam/noun
0.096138395	853168	123	dan/adv
-0.20540042	1849436	197	dat/det
0.50184554	83100	18	dat/noun
