model	compounds	tokleft	tokright	tokpos	sentbound	weight	mincws	socccorpus	socclength	soccleft	soccright	stress	tokens
nocomp.3_3_nvjid_nobound.noweight.1.c.5k_all.5_5	nocomp	3	3	nvjid	nobound	noweight	1	c	5k	5	5	0.172951222091394	245
nocomp.3_3_nvjid_nobound.noweight.1.s.10k_all.10_10	nocomp	3	3	nvjid	nobound	noweight	1	s	10k	10	10	0.186566490175527	245
nocomp.3_3_nvjid_nobound.noweight.1.s.10k_all.5_5	nocomp	3	3	nvjid	nobound	noweight	1	s	10k	5	5	0.176197849637058	245
nocomp.3_3_nvjid_nobound.noweight.1.s.5k_all.10_10	nocomp	3	3	nvjid	nobound	noweight	1	s	5k	10	10	0.19153438095548	245
nocomp.3_3_nvjid_nobound.noweight.1.s.5k_all.5_5	nocomp	3	3	nvjid	nobound	noweight	1	s	5k	5	5	0.18379434229131	245
nocomp.3_3_nvjid_nobound.noweight.2.c.10k_all.10_10	nocomp	3	3	nvjid	nobound	noweight	2	c	10k	10	10	0.181479706951777	227
nocomp.3_3_nvjid_nobound.noweight.2.c.10k_all.5_5	nocomp	3	3	nvjid	nobound	noweight	2	c	10k	5	5	0.18482499094185	227
nocomp.3_3_nvjid_nobound.noweight.2.c.5k_all.10_10	nocomp	3	3	nvjid	nobound	noweight	2	c	5k	10	10	0.176098501396129	227
nocomp.3_3_nvjid_nobound.noweight.2.c.5k_all.5_5	nocomp	3	3	nvjid	nobound	noweight	2	c	5k	5	5	0.183718892984956	227
nocomp.3_3_nvjid_nobound.noweight.2.s.10k_all.10_10	nocomp	3	3	nvjid	nobound	noweight	2	s	10k	10	10	0.185422328245993	227
nocomp.3_3_nvjid_nobound.noweight.2.s.10k_all.5_5	nocomp	3	3	nvjid	nobound	noweight	2	s	10k	5	5	0.176632205373634	227
nocomp.3_3_nvjid_nobound.noweight.2.s.5k_all.10_10	nocomp	3	3	nvjid	nobound	noweight	2	s	5k	10	10	0.190020466692073	227
nocomp.3_3_nvjid_nobound.noweight.2.s.5k_all.5_5	nocomp	3	3	nvjid	nobound	noweight	2	s	5k	5	5	0.182995708210652	227
nocomp.5_5_nvj_bound.noweight.1.c.10k_all.10_10	nocomp	5	5	nvj	bound	noweight	1	c	10k	10	10	0.170202554405228	246
nocomp.5_5_nvj_bound.noweight.1.c.10k_all.5_5	nocomp	5	5	nvj	bound	noweight	1	c	10k	5	5	0.18239433773847	246
nocomp.5_5_nvj_bound.noweight.1.c.5k_all.10_10	nocomp	5	5	nvj	bound	noweight	1	c	5k	10	10	0.163420671631415	246
nocomp.5_5_nvj_bound.noweight.1.c.5k_all.5_5	nocomp	5	5	nvj	bound	noweight	1	c	5k	5	5	0.178329254981524	246
nocomp.5_5_nvj_bound.noweight.1.s.10k_all.10_10	nocomp	5	5	nvj	bound	noweight	1	s	10k	10	10	0.19153435425182	246
nocomp.5_5_nvj_bound.noweight.1.s.10k_all.5_5	nocomp	5	5	nvj	bound	noweight	1	s	10k	5	5	0.193842722415675	246
