model	model.x	model.y	compounds	tokleft	tokright	tokpos	sentbound	weight	mincws	socccorpus	socclength	soccleft	soccright	stress	tokens	socclength_group
nocomp.5_5_nvj_bound.noweight.2.s.10k_all.5_5	-0.058818666969233144	0.22226647282799805	nocomp	5	5	nvj	bound	noweight	2	s	10k	5	5	0.251707744581393	229	10k
nocomp.5_5_nvj_bound.noweight.2.s.5k_all.10_10	-0.08809084480456175	0.16509698963231534	nocomp	5	5	nvj	bound	noweight	2	s	5k	10	10	0.25045072740985	229	5k
nocomp.5_5_nvj_bound.noweight.2.s.5k_all.5_5	-0.062479392959278575	0.18761176877448935	nocomp	5	5	nvj	bound	noweight	2	s	5k	5	5	0.25853154128739	229	5k
nocomp.5_5_nvj_nobound.noweight.1.c.10k_all.10_10	-0.07081731463371944	-0.05574474085454996	nocomp	5	5	nvj	nobound	noweight	1	c	10k	10	10	0.225280842723223	246	10k
nocomp.5_5_nvj_nobound.noweight.1.c.10k_all.5_5	-0.04253581942547065	0.07106525486110785	nocomp	5	5	nvj	nobound	noweight	1	c	10k	5	5	0.240869611699123	246	10k
nocomp.5_5_nvj_nobound.noweight.1.c.5k_all.10_10	-0.06947675508925671	-0.08240902762785966	nocomp	5	5	nvj	nobound	noweight	1	c	5k	10	10	0.220512686306903	246	5k
nocomp.5_5_nvj_nobound.noweight.1.c.5k_all.5_5	-0.08922094006296324	0.032289371762586574	nocomp	5	5	nvj	nobound	noweight	1	c	5k	5	5	0.237367138193616	246	5k
nocomp.5_5_nvj_nobound.noweight.1.s.10k_all.10_10	-0.06676897420080749	0.21140559119727573	nocomp	5	5	nvj	nobound	noweight	1	s	10k	10	10	0.247675018413001	246	10k
nocomp.5_5_nvj_nobound.noweight.1.s.10k_all.5_5	-0.045794876263673213	0.2264562079103588	nocomp	5	5	nvj	nobound	noweight	1	s	10k	5	5	0.248258272377036	246	10k
nocomp.5_5_nvj_nobound.noweight.1.s.5k_all.10_10	-0.06504988298619907	0.16777112257214669	nocomp	5	5	nvj	nobound	noweight	1	s	5k	10	10	0.249414279035236	246	5k
nocomp.5_5_nvj_nobound.noweight.1.s.5k_all.5_5	-0.0705989139941301	0.18978110979576943	nocomp	5	5	nvj	nobound	noweight	1	s	5k	5	5	0.25476360333638	246	5k
nocomp.5_5_nvj_nobound.noweight.2.c.10k_all.10_10	-0.04981214821816228	-0.01887099715418509	nocomp	5	5	nvj	nobound	noweight	2	c	10k	10	10	0.230325599168335	229	10k
nocomp.5_5_nvj_nobound.noweight.2.c.10k_all.5_5	-0.041852865549430164	0.06591199378774065	nocomp	5	5	nvj	nobound	noweight	2	c	10k	5	5	0.243857709911343	229	10k
nocomp.5_5_nvj_nobound.noweight.2.c.5k_all.10_10	-0.03863048069826666	-0.07559218176313134	nocomp	5	5	nvj	nobound	noweight	2	c	5k	10	10	0.224740200025435	229	5k
nocomp.5_5_nvj_nobound.noweight.2.c.5k_all.5_5	-0.06476858046471437	0.024673200366861124	nocomp	5	5	nvj	nobound	noweight	2	c	5k	5	5	0.240553442636957	229	5k
nocomp.5_5_nvj_nobound.noweight.2.s.10k_all.10_10	-0.0629310319269921	0.19614049845908993	nocomp	5	5	nvj	nobound	noweight	2	s	10k	10	10	0.24997066320995	229	10k
nocomp.5_5_nvj_nobound.noweight.2.s.10k_all.5_5	-0.05940625686404999	0.22284219448986217	nocomp	5	5	nvj	nobound	noweight	2	s	10k	5	5	0.251613822112617	229	10k
nocomp.5_5_nvj_nobound.noweight.2.s.5k_all.10_10	-0.07701840078281692	0.17183213741325384	nocomp	5	5	nvj	nobound	noweight	2	s	5k	10	10	0.250256069673967	229	5k
nocomp.5_5_nvj_nobound.noweight.2.s.5k_all.5_5	-0.06303821419284263	0.18668273580890743	nocomp	5	5	nvj	nobound	noweight	2	s	5k	5	5	0.25851877757089	229	5k
nocomp.10_10_nvj_nobound.noweight.1.c.1095_all.10_10	-0.2290120868773305	-0.28973618048659544	nocomp	10	10	nvj	nobound	noweight	1	c	1095	10	10	0.227546004598481	249	focc
nocomp.10_10_nvj_nobound.noweight.1.c.1095_all.5_5	-0.3302447801447794	-0.1429637005153123	nocomp	10	10	nvj	nobound	noweight	1	c	1095	5	5	0.239651074246776	249	focc
nocomp.10_10_nvj_nobound.noweight.1.s.1166_all.10_10	-0.3239687388579413	0.0347885282618277	nocomp	10	10	nvj	nobound	noweight	1	s	1166	10	10	0.265508054455752	249	focc
nocomp.10_10_nvj_nobound.noweight.1.s.1166_all.5_5	-0.3887944747237624	0.043424123655215335	nocomp	10	10	nvj	nobound	noweight	1	s	1166	5	5	0.276944747534713	249	focc
nocomp.5_5_nvj_nobound.noweight.1.c.626_all.10_10	-0.043924185135183855	-0.30404356198031157	nocomp	5	5	nvj	nobound	noweight	1	c	626	10	10	0.237185899745235	246	focc
nocomp.5_5_nvj_nobound.noweight.1.c.626_all.5_5	-0.03613298928860567	-0.29857424019802126	nocomp	5	5	nvj	nobound	noweight	1	c	626	5	5	0.257812534002201	246	focc
nocomp.5_5_nvj_nobound.noweight.1.s.659_all.10_10	-0.21048160046245165	0.20755036178093297	nocomp	5	5	nvj	nobound	noweight	1	s	659	10	10	0.298040917983659	246	focc
nocomp.5_5_nvj_nobound.noweight.1.s.659_all.5_5	-0.08799274105142259	0.31513574317665266	nocomp	5	5	nvj	nobound	noweight	1	s	659	5	5	0.308413565787037	246	focc
