filename	lemma	twcorpus	twppmi	twllr	twL	twR	socccorpus	soccppmi	soccllr	soccL	soccR	sample	tokenL	tokenR	stress
COHA.ppmi2.ll0.COHA.ppmi1.ll0	church	COHA	2	0	10	10	COHA	1	0	10	10	184	10	10	0.245659603792143
COHA.ppmi2.ll0.COHA.ppmi1.ll1	church	COHA	2	0	10	10	COHA	1	1	10	10	184	10	10	0.243541895225848
COHA.ppmi2.ll0.COHA.ppmi2.ll0	church	COHA	2	0	10	10	COHA	2	0	10	10	184	10	10	0.260499830672513
COHA.ppmi2.ll0.COHA.ppmi2.ll1	church	COHA	2	0	10	10	COHA	2	1	10	10	184	10	10	0.25931597924664
COHA.ppmi2.ll0.Semcor.ppmi0.ll0	church	COHA	2	0	10	10	Semcor	0	0	10	10	184	10	10	0.275847115225822
COHA.ppmi2.ll0.Semcor.ppmi0.ll1	church	COHA	2	0	10	10	Semcor	0	1	10	10	184	10	10	0.269637695424576
COHA.ppmi2.ll0.Semcor.ppmi1.ll0	church	COHA	2	0	10	10	Semcor	1	0	10	10	184	10	10	0.270572683978995
COHA.ppmi2.ll0.Semcor.ppmi1.ll1	church	COHA	2	0	10	10	Semcor	1	1	10	10	184	10	10	0.268177002787433
COHA.ppmi2.ll0.Semcor.ppmi2.ll0	church	COHA	2	0	10	10	Semcor	2	0	10	10	184	10	10	0.267762702359363
COHA.ppmi2.ll0.Semcor.ppmi2.ll1	church	COHA	2	0	10	10	Semcor	2	1	10	10	184	10	10	0.266468932540586
COHA.ppmi2.ll1.COHA.ppmi0.ll0	church	COHA	2	1	10	10	COHA	0	0	10	10	184	10	10	0.230551448620109
COHA.ppmi2.ll1.COHA.ppmi0.ll1	church	COHA	2	1	10	10	COHA	0	1	10	10	184	10	10	0.236404270129784
COHA.ppmi2.ll1.COHA.ppmi1.ll0	church	COHA	2	1	10	10	COHA	1	0	10	10	184	10	10	0.244934794417581
COHA.ppmi2.ll1.COHA.ppmi1.ll1	church	COHA	2	1	10	10	COHA	1	1	10	10	184	10	10	0.244724184932773
