cw_index	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co	ann_3	ann_2	ann_1	votes
hoekig/adj/nrc_handelsblad_20020812_7/163/L3	hoekig/adj/nrc_handelsblad_20020812_7/163	L3	met	prep	met/prep	met	True	L	4	0.64480525	4230163	383	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/L4	hoekig/adj/nrc_handelsblad_20020812_7/163	L4	overhand	noun	overhand/noun	overhand	True	L	5	2.695653	1420	1	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/L5	hoekig/adj/nrc_handelsblad_20020812_7/163	L5	de	det	de/det	de	True	L	6	-0.08141816	28074105	1228	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/L6	hoekig/adj/nrc_handelsblad_20020812_7/163	L6	toe	adv	toe/adv	toe	True	L	7	1.5080163	32467	7	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/L7	hoekig/adj/nrc_handelsblad_20020812_7/163	L7	en	adv	en/adv	en	True	L	8	1.0669132	50456	7	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/L8	hoekig/adj/nrc_handelsblad_20020812_7/163	L8	af	adv	af/adv	af	True	L	9	1.4907871000000001	28306	6	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/L9	hoekig/adj/nrc_handelsblad_20020812_7/163	L9	neem	verb	neem/verb	neemt	True	L	10	-0.6163831999999999	312837	8	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/L10	hoekig/adj/nrc_handelsblad_20020812_7/163	L10	Ruins-duo	name	Ruins-duo/name	Ruins-duo	True	L	11	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/L11	hoekig/adj/nrc_handelsblad_20020812_7/163	L11	het	det	het/det	Het	True	L	12	-0.1670006	11650779	468	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/L12	hoekig/adj/nrc_handelsblad_20020812_7/163	L12	sentence_delimiter	none	none	<sentence>	none	L	13	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/L13	hoekig/adj/nrc_handelsblad_20020812_7/163	L13	sentence_delimiter	none	none	</sentence>	none	L	14	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/L14	hoekig/adj/nrc_handelsblad_20020812_7/163	L14	.	punct	./punct	.	False	L	15	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/L15	hoekig/adj/nrc_handelsblad_20020812_7/163	L15	snijd	verb	snijd/verb	snijdt	False	L	16	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/R0	hoekig/adj/nrc_handelsblad_20020812_7/163	R0	klink	adj	klink/adj	klinkende	True	R	1	2.8330584	3726	3	TRUE	FALSE	TRUE	2
hoekig/adj/nrc_handelsblad_20020812_7/163/R1	hoekig/adj/nrc_handelsblad_20020812_7/163	R1	,	punct	,/punct	,	True	R	2	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/R2	hoekig/adj/nrc_handelsblad_20020812_7/163	R2	complex	adj	complex/adj	complexe	True	R	3	2.4485605	9061	5	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/R3	hoekig/adj/nrc_handelsblad_20020812_7/163	R3	ritme	noun	ritme/noun	ritmes	True	R	4	4.287045	10084	35	TRUE	TRUE	TRUE	3
hoekig/adj/nrc_handelsblad_20020812_7/163/R4	hoekig/adj/nrc_handelsblad_20020812_7/163	R4	,	punct	,/punct	,	True	R	5	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/R5	hoekig/adj/nrc_handelsblad_20020812_7/163	R5	waaraan	pp	waaraan/pp	waaraan	True	R	6	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/R6	hoekig/adj/nrc_handelsblad_20020812_7/163	R6	een	det	een/det	een	True	R	7	0.31287128	11075723	720	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/R7	hoekig/adj/nrc_handelsblad_20020812_7/163	R7	grondig	adj	grondig/adj	grondige	True	R	8	0.18576416	17483	1	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/R8	hoekig/adj/nrc_handelsblad_20020812_7/163	R8	studie	noun	studie/noun	studie	True	R	9	0.101793155	37972	2	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/R9	hoekig/adj/nrc_handelsblad_20020812_7/163	R9	van	prep	van/prep	van	True	R	10	-0.07070946	12638933	559	FALSE	FALSE	FALSE	0
