_model	model.x	model.y	foc_boundaries	foc_foc_pos	foc_foc_win	foc_ppmi	foc_context_words	foc_minimum_features	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
hoekig.foc10.all.weight.bound.min1.soc10.all.5000	0.1350154593833699	-0.1689358672327311	bound	all	10_10	weight	993	1	5000	5000	all	10_10	277	hoekig	0.2344371268725094
hoekig.foc10.all.weight.bound.min1.soc10.all.10000	0.12649039230510462	-0.14683977724239497	bound	all	10_10	weight	993	1	10000	10000	all	10_10	277	hoekig	0.2337528228237854
hoekig.foc10.all.weight.bound.min1.soc10.all.FOC	0.1206492477512498	-0.11097920975761626	bound	all	10_10	weight	993	1	FOC	993	all	10_10	277	hoekig	0.2187127386455179
hoekig.foc10.all.selection.bound.min1.soc4.nav.5000	0.3794061339863721	0.07281436421422556	bound	all	10_10	selection	993	1	5000	5000	nav	4_4	277	hoekig	0.2469690752690477
hoekig.foc10.all.selection.bound.min1.soc4.nav.10000	0.40530774749302517	0.10368143543049967	bound	all	10_10	selection	993	1	10000	10000	nav	4_4	277	hoekig	0.23915992993022236
hoekig.foc10.all.selection.bound.min1.soc4.nav.FOC	0.3483060601148644	0.0730488878017488	bound	all	10_10	selection	993	1	FOC	993	nav	4_4	277	hoekig	0.22243995138714157
hoekig.foc10.all.selection.bound.min1.soc10.nav.5000	0.2900679182025593	-0.018319167724649792	bound	all	10_10	selection	993	1	5000	5000	nav	10_10	277	hoekig	0.24088939841306442
hoekig.foc10.all.selection.bound.min1.soc10.nav.10000	0.3064757568774399	0.016322380157706443	bound	all	10_10	selection	993	1	10000	10000	nav	10_10	277	hoekig	0.2358000582919492
hoekig.foc10.all.selection.bound.min1.soc10.nav.FOC	0.2724919953275277	0.017444609964132166	bound	all	10_10	selection	993	1	FOC	993	nav	10_10	277	hoekig	0.21846009824242765
hoekig.foc10.all.selection.bound.min1.soc4.all.5000	0.381572513935393	0.06316309813153047	bound	all	10_10	selection	993	1	5000	5000	all	4_4	277	hoekig	0.2504761775901378
hoekig.foc10.all.selection.bound.min1.soc4.all.10000	0.3881022927131377	0.08438298534476488	bound	all	10_10	selection	993	1	10000	10000	all	4_4	277	hoekig	0.24446368281230058
hoekig.foc10.all.selection.bound.min1.soc4.all.FOC	0.3483060601124087	0.07304888780099869	bound	all	10_10	selection	993	1	FOC	993	all	4_4	277	hoekig	0.22243995138714157
hoekig.foc10.all.selection.bound.min1.soc10.all.5000	0.2979650625455827	-0.029296138555092614	bound	all	10_10	selection	993	1	5000	5000	all	10_10	277	hoekig	0.24563377585084864
hoekig.foc10.all.selection.bound.min1.soc10.all.10000	0.2887067865063151	-0.008911427705478758	bound	all	10_10	selection	993	1	10000	10000	all	10_10	277	hoekig	0.24174727770506949
hoekig.foc10.all.selection.bound.min1.soc10.all.FOC	0.27249199532578416	0.01744460996383977	bound	all	10_10	selection	993	1	FOC	993	all	10_10	277	hoekig	0.21846009824242765
hoekig.foc10.all.no.bound.min1.soc4.nav.5000	0.37940592967341075	0.07281430585472844	bound	all	10_10	no	993	1	5000	5000	nav	4_4	277	hoekig	0.2469690752690477
hoekig.foc10.all.no.bound.min1.soc4.nav.10000	0.405309232869885	0.10368194915102978	bound	all	10_10	no	993	1	10000	10000	nav	4_4	277	hoekig	0.23915992993022236
hoekig.foc10.all.no.bound.min1.soc4.nav.FOC	0.34830606011386356	0.0730488878014431	bound	all	10_10	no	993	1	FOC	993	nav	4_4	277	hoekig	0.22243995138714157
hoekig.foc10.all.no.bound.min1.soc10.nav.5000	0.290067918202558	-0.018319167724653536	bound	all	10_10	no	993	1	5000	5000	nav	10_10	277	hoekig	0.24088939841306442
hoekig.foc10.all.no.bound.min1.soc10.nav.10000	0.3064757567279619	0.016322380114352823	bound	all	10_10	no	993	1	10000	10000	nav	10_10	277	hoekig	0.2358000582919492
hoekig.foc10.all.no.bound.min1.soc10.nav.FOC	0.27249199532727453	0.01744460996408975	bound	all	10_10	no	993	1	FOC	993	nav	10_10	277	hoekig	0.21846009824242765
hoekig.foc10.all.no.bound.min1.soc4.all.5000	0.38157251393631386	0.06316309813175396	bound	all	10_10	no	993	1	5000	5000	all	4_4	277	hoekig	0.2504761775901378
hoekig.foc10.all.no.bound.min1.soc4.all.10000	0.38810105259568384	0.08438256772735866	bound	all	10_10	no	993	1	10000	10000	all	4_4	277	hoekig	0.24446368281230058
hoekig.foc10.all.no.bound.min1.soc4.all.FOC	0.3483060601126407	0.07304888780106952	bound	all	10_10	no	993	1	FOC	993	all	4_4	277	hoekig	0.22243995138714157
hoekig.foc10.all.no.bound.min1.soc10.all.5000	0.29796506254528915	-0.029296138555128456	bound	all	10_10	no	993	1	5000	5000	all	10_10	277	hoekig	0.24563377585084864
hoekig.foc10.all.no.bound.min1.soc10.all.10000	0.2887067865063336	-0.008911427705473162	bound	all	10_10	no	993	1	10000	10000	all	10_10	277	hoekig	0.24174727770506949
hoekig.foc10.all.no.bound.min1.soc10.all.FOC	0.27249199532565316	0.01744460996381778	bound	all	10_10	no	993	1	FOC	993	all	10_10	277	hoekig	0.21846009824242765
