_id	_cws.grijs.foc10.nav.weight.bound	_count.grijs.foc10.nav.weight.bound	_cws.grijs.foc10.nav.selection.bound	_count.grijs.foc10.nav.selection.bound	_cws.grijs.foc10.nav.no.bound	_count.grijs.foc10.nav.no.bound	_cws.grijs.foc10.all.weight.bound	_count.grijs.foc10.all.weight.bound	_cws.grijs.foc10.all.selection.bound	_count.grijs.foc10.all.selection.bound	_cws.grijs.foc10.all.no.bound	_count.grijs.foc10.all.no.bound	_cws.grijs.foc5.nav.weight.bound	_count.grijs.foc5.nav.weight.bound	_cws.grijs.foc5.nav.selection.bound	_count.grijs.foc5.nav.selection.bound	_cws.grijs.foc5.nav.no.bound	_count.grijs.foc5.nav.no.bound	_cws.grijs.foc5.all.weight.bound	_count.grijs.foc5.all.weight.bound	_cws.grijs.foc5.all.selection.bound	_count.grijs.foc5.all.selection.bound	_cws.grijs.foc5.all.no.bound	_count.grijs.foc5.all.no.bound
grijs/adj/het_laatste_nieuws_20040302_01_160/39	groen/adj;leefgemeenschap/noun;traag/adj	3	groen/adj;leefgemeenschap/noun;traag/adj	3	groen/adj;leefgemeenschap/noun;traag/adj	3	een/det;groen/adj;het/det;leefgemeenschap/noun;met/prep;traag/adj	6	een/det;groen/adj;het/det;leefgemeenschap/noun;met/prep;traag/adj	6	een/det;groen/adj;het/det;leefgemeenschap/noun;met/prep;traag/adj	6	groen/adj;leefgemeenschap/noun	2	groen/adj;leefgemeenschap/noun	2	groen/adj;leefgemeenschap/noun	2	een/det;groen/adj;het/det;leefgemeenschap/noun	4	een/det;groen/adj;het/det;leefgemeenschap/noun	4	een/det;groen/adj;het/det;leefgemeenschap/noun	4
grijs/adj/het_laatste_nieuws_20030627_01_780/433	echt/adj;imago/noun;vele/adj;weg_werk/noun	4	echt/adj;imago/noun;vele/adj;weg_werk/noun	4	echt/adj;imago/noun;vele/adj;weg_werk/noun	4	echt/adj;imago/noun;ons/det;vele/adj;weg_werk/noun	5	echt/adj;imago/noun;ons/det;vele/adj;weg_werk/noun	5	echt/adj;imago/noun;ons/det;vele/adj;weg_werk/noun	5	echt/adj;imago/noun;vele/adj;weg_werk/noun	4	echt/adj;imago/noun;vele/adj;weg_werk/noun	4	echt/adj;imago/noun;vele/adj;weg_werk/noun	4	echt/adj;imago/noun;ons/det;vele/adj;weg_werk/noun	5	echt/adj;imago/noun;ons/det;vele/adj;weg_werk/noun	5	echt/adj;imago/noun;ons/det;vele/adj;weg_werk/noun	5
grijs/adj/het_laatste_nieuws_19990113_01_210/139	bruin/adj;gekleed/adj;haar/noun;lok/noun;meter/noun;oog/noun	6	bruin/adj;gekleed/adj;haar/noun;lok/noun;meter/noun;oog/noun	6	bruin/adj;gekleed/adj;haar/noun;lok/noun;meter/noun;oog/noun	6	bruin/adj;een/det;gekleed/adj;haar/noun;in/prep;lok/noun;met/prep;meter/noun;oog/noun	9	bruin/adj;een/det;gekleed/adj;haar/noun;in/prep;lok/noun;met/prep;meter/noun;oog/noun	9	bruin/adj;een/det;gekleed/adj;haar/noun;in/prep;lok/noun;met/prep;meter/noun;oog/noun	9	bruin/adj;haar/noun;lok/noun;oog/noun	4	bruin/adj;haar/noun;lok/noun;oog/noun	4	bruin/adj;haar/noun;lok/noun;oog/noun	4	bruin/adj;haar/noun;lok/noun;met/prep;oog/noun	5	bruin/adj;haar/noun;lok/noun;met/prep;oog/noun	5	bruin/adj;haar/noun;lok/noun;met/prep;oog/noun	5
grijs/adj/het_laatste_nieuws_20040420_01_983/212	dobber/verb;middenmoot/noun;rand/noun	3	dobber/verb;middenmoot/noun;rand/noun	3	dobber/verb;middenmoot/noun;rand/noun	3	dobber/verb;middenmoot/noun;rand/noun	3	dobber/verb;middenmoot/noun;rand/noun	3	dobber/verb;middenmoot/noun;rand/noun	3	middenmoot/noun;rand/noun	2	middenmoot/noun;rand/noun	2	middenmoot/noun;rand/noun	2	middenmoot/noun;rand/noun	2	middenmoot/noun;rand/noun	2	middenmoot/noun;rand/noun	2
grijs/adj/het_laatste_nieuws_20041117_01_446/166	ben/verb;dag/noun;motregen/noun;typisch/adj	4	ben/verb;dag/noun;motregen/noun;typisch/adj	4	ben/verb;dag/noun;motregen/noun;typisch/adj	4	ben/verb;dag/noun;die/det;er/adv;het/det;motregen/noun;typisch/adj	7	ben/verb;dag/noun;die/det;er/adv;het/det;motregen/noun;typisch/adj	7	ben/verb;dag/noun;die/det;er/adv;het/det;motregen/noun;typisch/adj	7	ben/verb;dag/noun	2	ben/verb;dag/noun	2	ben/verb;dag/noun	2	ben/verb;dag/noun;die/det;er/adv	4	ben/verb;dag/noun;die/det;er/adv	4	ben/verb;dag/noun;die/det;er/adv	4
grijs/adj/het_laatste_nieuws_19990609_01_103/127	rood/adj	1	rood/adj	1	rood/adj	1	rood/adj	1	rood/adj	1	rood/adj	1	rood/adj	1	rood/adj	1	rood/adj	1	rood/adj	1	rood/adj	1	rood/adj	1
grijs/adj/het_laatste_nieuws_20021214_01_624/97	glijd_af/verb;middenmoot/noun	2	glijd_af/verb;middenmoot/noun	2	glijd_af/verb;middenmoot/noun	2	glijd_af/verb;middenmoot/noun	2	glijd_af/verb;middenmoot/noun	2	glijd_af/verb;middenmoot/noun	2	glijd_af/verb;middenmoot/noun	2	glijd_af/verb;middenmoot/noun	2	glijd_af/verb;middenmoot/noun	2	glijd_af/verb;middenmoot/noun	2	glijd_af/verb;middenmoot/noun	2	glijd_af/verb;middenmoot/noun	2
grijs/adj/het_laatste_nieuws_20000705_01_464/424	blijf/verb;seizoen/noun;tussenseizoen/noun	3	blijf/verb;seizoen/noun;tussenseizoen/noun	3	blijf/verb;seizoen/noun;tussenseizoen/noun	3	blijf/verb;een/det;het/det;in/prep;seizoen/noun;tussenseizoen/noun	6	blijf/verb;een/det;het/det;in/prep;seizoen/noun;tussenseizoen/noun	6	blijf/verb;een/det;het/det;in/prep;seizoen/noun;tussenseizoen/noun	6	blijf/verb;seizoen/noun	2	blijf/verb;seizoen/noun	2	blijf/verb;seizoen/noun	2	blijf/verb;een/det;in/prep;seizoen/noun	4	blijf/verb;een/det;in/prep;seizoen/noun	4	blijf/verb;een/det;in/prep;seizoen/noun	4
grijs/adj/het_laatste_nieuws_20040207_01_564/346	Noord_Afrikaan/noun;corpulent/adj;zie/verb	3	Noord_Afrikaan/noun;corpulent/adj;zie/verb	3	Noord_Afrikaan/noun;corpulent/adj;zie/verb	3	Noord_Afrikaan/noun;corpulent/adj;een/det;hij/pron;in/prep;zie/verb	6	Noord_Afrikaan/noun;corpulent/adj;een/det;hij/pron;in/prep;zie/verb	6	Noord_Afrikaan/noun;corpulent/adj;een/det;hij/pron;in/prep;zie/verb	6	Noord_Afrikaan/noun;zie/verb	2	Noord_Afrikaan/noun;zie/verb	2	Noord_Afrikaan/noun;zie/verb	2	Noord_Afrikaan/noun;een/det;in/prep;zie/verb	4	Noord_Afrikaan/noun;een/det;in/prep;zie/verb	4	Noord_Afrikaan/noun;een/det;in/prep;zie/verb	4
grijs/adj/het_laatste_nieuws_20001212_01_401/181	seizoen/noun	1	seizoen/noun	1	seizoen/noun	1	een/det;er/adv;seizoen/noun	3	een/det;er/adv;seizoen/noun	3	een/det;er/adv;seizoen/noun	3	seizoen/noun	1	seizoen/noun	1	seizoen/noun	1	een/det;er/adv;seizoen/noun	3	een/det;er/adv;seizoen/noun	3	een/det;er/adv;seizoen/noun	3
