_model	model.x	model.y	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
grijs.foc5.nav.no.bound.min1.soc4.nav.5000	-0.18844715962242484	0.23524666438530428	bound	663	nav	5_5	1	no	5000	5000	nav	4_4	317	grijs	0.2471851066188442
grijs.foc5.nav.no.bound.min1.soc4.nav.10000	-0.203854008904348	0.23866675394011286	bound	663	nav	5_5	1	no	10000	10000	nav	4_4	317	grijs	0.24321426142036282
grijs.foc5.nav.no.bound.min1.soc4.nav.FOC	-0.2176011535434742	0.06277268926716924	bound	663	nav	5_5	1	no	FOC	663	nav	4_4	317	grijs	0.255001349806268
grijs.foc5.nav.no.bound.min1.soc10.nav.5000	-0.17419798471381448	0.19988956027983296	bound	663	nav	5_5	1	no	5000	5000	nav	10_10	317	grijs	0.24622560506835386
grijs.foc5.nav.no.bound.min1.soc10.nav.10000	-0.17448141806378553	0.19419351143005725	bound	663	nav	5_5	1	no	10000	10000	nav	10_10	317	grijs	0.241606701804545
grijs.foc5.nav.no.bound.min1.soc10.nav.FOC	-0.21047215438241573	0.061847618045386195	bound	663	nav	5_5	1	no	FOC	663	nav	10_10	317	grijs	0.24590698273562156
grijs.foc5.nav.no.bound.min1.soc4.all.5000	-0.18739464624663044	0.2599548777325971	bound	663	nav	5_5	1	no	5000	5000	all	4_4	317	grijs	0.25092570585740503
grijs.foc5.nav.no.bound.min1.soc4.all.10000	-0.18530187694618772	0.24973681280058627	bound	663	nav	5_5	1	no	10000	10000	all	4_4	317	grijs	0.24734086471539418
grijs.foc5.nav.no.bound.min1.soc4.all.FOC	-0.2176011834145106	0.06277271537152172	bound	663	nav	5_5	1	no	FOC	663	all	4_4	317	grijs	0.255001349806268
grijs.foc5.nav.no.bound.min1.soc10.all.5000	-0.17161338410562205	0.22138146494939295	bound	663	nav	5_5	1	no	5000	5000	all	10_10	317	grijs	0.24962785716266025
grijs.foc5.nav.no.bound.min1.soc10.all.10000	-0.17210307725543617	0.20573287409728755	bound	663	nav	5_5	1	no	10000	10000	all	10_10	317	grijs	0.2476724896634937
grijs.foc5.nav.no.bound.min1.soc10.all.FOC	-0.21047215438244973	0.06184761804538768	bound	663	nav	5_5	1	no	FOC	663	all	10_10	317	grijs	0.24590698273562156
grijs.foc5.all.weight.bound.min1.soc4.nav.5000	-0.06705433577499925	-0.2129659313331006	bound	566	all	5_5	1	weight	5000	5000	nav	4_4	319	grijs	0.25659832757760836
grijs.foc5.all.weight.bound.min1.soc4.nav.10000	-0.06232620887443818	-0.2678911875016548	bound	566	all	5_5	1	weight	10000	10000	nav	4_4	319	grijs	0.25480614302315235
grijs.foc5.all.weight.bound.min1.soc4.nav.FOC	-0.10811126695934749	-0.276677128054568	bound	566	all	5_5	1	weight	FOC	566	nav	4_4	319	grijs	0.25965364952228437
grijs.foc5.all.weight.bound.min1.soc10.nav.5000	-0.10853306251708593	-0.15527508977994622	bound	566	all	5_5	1	weight	5000	5000	nav	10_10	319	grijs	0.2551254418108374
grijs.foc5.all.weight.bound.min1.soc10.nav.10000	-0.10070032988363092	-0.19292597447576162	bound	566	all	5_5	1	weight	10000	10000	nav	10_10	319	grijs	0.25092918710589973
grijs.foc5.all.weight.bound.min1.soc10.nav.FOC	-0.1429059979023868	-0.24133164741469634	bound	566	all	5_5	1	weight	FOC	566	nav	10_10	319	grijs	0.24677478877398984
grijs.foc5.all.weight.bound.min1.soc4.all.5000	-0.07105079242154069	-0.19678629462200103	bound	566	all	5_5	1	weight	5000	5000	all	4_4	319	grijs	0.25668641955401844
grijs.foc5.all.weight.bound.min1.soc4.all.10000	-0.06255624466681343	-0.23773892377607522	bound	566	all	5_5	1	weight	10000	10000	all	4_4	319	grijs	0.25422732563408706
grijs.foc5.all.weight.bound.min1.soc4.all.FOC	-0.10811126389834953	-0.2766771090379977	bound	566	all	5_5	1	weight	FOC	566	all	4_4	319	grijs	0.25965364952228437
