pmi	raw_freq	raw_co	cw
-0.16096805	49768	23	ernstig/adj
0.48807997	2267	2	ethiek/noun
1.4766011	11769	28	etnisch/adj
-0.70630646	357235	95	euro/noun
-0.44741145	172619	60	even/adj
0.22554919	32250	22	even/adv
-0.21149132	38485	17	eveneens/adv
1.1021892	13448	22	experiment/noun
1.089462	2462	4	expertise/noun
0.8566522	2352	3	explodeer/verb
-0.16797625	102779	47	extra/adj
0.19957978	1568	1	feest/part
-0.62128985	20442	6	figuur/noun
1.1152596	6690	11	fiscus/noun
0.27053314	47698	34	flink/adj
2.0239263	1469	6	floreer/verb
-0.90367085	9069	2	forceer/verb
1.817088	1798	6	fouilleer/verb
-0.7701209	43642	11	fout/noun
0.13009635	1609	1	fragiel/adj
0.16885191	6180	4	fragment/noun
2.6120846	12953	95	fraude/noun
5.063949	1394	118	fraudeer/verb
2.676941	6953	55	fruit/noun
1.5035565	418	1	fusie_bespreking/noun
-0.009332153	1085158	584	ga/verb
0.15632044	10938	7	ga_na/verb
3.4591746	1793	31	ga_rond/verb
1.3090727	495	1	gage/noun
0.09560197	11674	7	garantie/noun
0.8092912	11491	14	gas/noun
1.3797948	176014	381	gebeur/verb
0.8609641	59707	77	gebied/noun
0.14151062	1588	1	gebogen/adj
0.552846	66439	63	gebouw/noun
0.9042977	49055	66	gebruik/noun
1.6358801	21046	59	gebruik/part
1.2813485	135616	266	gebruik/verb
-0.2156665	11380	5	gebruikelijk/adj
0.8620697	2322	3	gedaante/noun
0.23896664	24554	17	gedrag/noun
0.61272293	34712	35	geef_aan/verb
-0.44620204	5789	2	geef_vrij/verb
-0.3367851	1048752	406	geen/det
2.1572545	1275	6	gehakt/adj
0.16217093	34353	22	geheel/adj
0.190844	21342	14	geheim/adj
-0.5871805	3309	1	geheimzinnig/adj
1.1779028	4520	8	gekleurd/adj
2.4217129	1466	9	gekookt/adj
2.207283	201	1	gekruisigd/adj
0.31596115	203976	152	geld/noun
-0.3470689	210505	81	geleden/adj
-0.2518795	68521	29	geloof/verb
0.63087064	13652	14	gemaakt/adj
-0.007387492	27738	15	gemeenschap/noun
0.17257789	137741	88	gemeente/noun
0.00469717	49323	27	gemiddeld/adj
