_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base
horde.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.4721034458352524	0.7918270366748843	1	FOC	894	276	horde	NA	NA	nobound	1238	lex	10_10	no	nav	4_4	0.17622991900850785	BOW
horde.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	-1.4865216692130887	0.7504893441097273	1	FOC	1238	276	horde	NA	NA	nobound	1238	lex	10_10	no	all	4_4	0.17584251912101365	BOW
horde.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.4101982574358052	-0.3527297750166913	1	5000	5000	277	horde	NA	NA	nobound	790	all	10_10	weight	nav	4_4	0.14618100956771815	BOW
horde.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.19610322396838603	-1.183845730654215	1	5000	5000	277	horde	NA	NA	nobound	790	all	10_10	weight	all	4_4	0.16620523428041367	BOW
horde.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.6604888059952796	0.47180736170162885	1	FOC	422	277	horde	NA	NA	nobound	790	all	10_10	weight	nav	4_4	0.14413338777337756	BOW
horde.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.6217020257385509	0.413191006036615	1	FOC	790	277	horde	NA	NA	nobound	790	all	10_10	weight	all	4_4	0.135308038359336	BOW
horde.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.03015100422880137	1.3179181150977315	1	5000	5000	277	horde	NA	NA	nobound	790	all	10_10	selection	nav	4_4	0.21667269742599207	BOW
horde.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	0.17083883097072608	-1.4250917427946288	1	5000	5000	277	horde	NA	NA	nobound	790	all	10_10	selection	all	4_4	0.1970403946953634	BOW
horde.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.4027268241546843	0.8484353461477774	1	FOC	422	277	horde	NA	NA	nobound	790	all	10_10	selection	nav	4_4	0.15338387554093816	BOW
horde.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.4157025297734445	0.8265290675824771	1	FOC	790	277	horde	NA	NA	nobound	790	all	10_10	selection	all	4_4	0.15266312024047282	BOW
horde.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.29103042253234185	1.9587970864109834	1	5000	5000	278	horde	NA	NA	nobound	1723	all	10_10	no	nav	4_4	0.2377710946853806	BOW
horde.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	-1.1993799068033395	2.255717780749069	1	5000	5000	278	horde	NA	NA	nobound	1723	all	10_10	no	all	4_4	0.19215457211216158	BOW
horde.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.6127592358487709	1.6517062643150284	1	FOC	894	278	horde	NA	NA	nobound	1723	all	10_10	no	nav	4_4	0.19089667924799877	BOW
horde.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.7265879472226143	1.6895623680617722	1	FOC	1723	278	horde	NA	NA	nobound	1723	all	10_10	no	all	4_4	0.1739093371177075	BOW
horde.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.8526796605951631	-0.26035602335199226	1	5000	5000	264	horde	NA	NA	nobound	453	lex	5_5	weight	nav	4_4	0.18654145424968083	BOW
horde.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.6754907155337236	-1.1289421230251482	1	5000	5000	264	horde	NA	NA	nobound	453	lex	5_5	weight	all	4_4	0.18531890273282348	BOW
horde.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.8378920949046632	-8.771901730355382e-4	1	FOC	330	264	horde	NA	NA	nobound	453	lex	5_5	weight	nav	4_4	0.17668663387535638	BOW
horde.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.8105803913402513	-0.02981412890282798	1	FOC	453	264	horde	NA	NA	nobound	453	lex	5_5	weight	all	4_4	0.17443067367419401	BOW
horde.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.9369997050958425	-0.2541890031261254	1	5000	5000	264	horde	NA	NA	nobound	453	lex	5_5	selection	nav	4_4	0.19365112261370773	BOW
horde.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.7404471738109181	-1.054819692690731	1	5000	5000	264	horde	NA	NA	nobound	453	lex	5_5	selection	all	4_4	0.18690204120010703	BOW
horde.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.7705949093802565	0.02693283360184497	1	FOC	330	264	horde	NA	NA	nobound	453	lex	5_5	selection	nav	4_4	0.17498322057449955	BOW
horde.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.7546006348807043	-0.007247380038978079	1	FOC	453	264	horde	NA	NA	nobound	453	lex	5_5	selection	all	4_4	0.17149902010261053	BOW
horde.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	-1.4709543187527183	-0.011805304359396385	1	5000	5000	274	horde	NA	NA	nobound	669	lex	5_5	no	nav	4_4	0.20429710942235313	BOW
horde.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	-1.2016212871897611	-1.3463253780866078	1	5000	5000	274	horde	NA	NA	nobound	669	lex	5_5	no	all	4_4	0.20193896274307405	BOW
horde.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.0956629748762035	0.22341365679950553	1	FOC	494	274	horde	NA	NA	nobound	669	lex	5_5	no	nav	4_4	0.16637277068917414	BOW
