pmi	cw
1.4746108	authenticiteit/noun
1.9609083	auto_DIM/noun
2.364273	auto_concern/noun
3.9377906	auto_liefhebber/noun
1.7589507	auto_sleutel/noun
6.6156216	auto_stoet/noun
4.6817436	auto_tentoonstelling/noun
3.0170991	autoband/noun
1.0255547	autobiografisch/adj
0.8668359	autochtoon/adj
1.8509858	autochtoon/noun
0.40576872	autonoom/adj
1.4610938	averechts/adj
0.015181481	avond/noun
4.454171	avond_land/noun
4.8161397	avond_licht/noun
1.671159	avonturier/noun
1.2305291	avontuur/noun
0.565208	b/noun
0.72299963	baan/noun
1.4347266	baan/verb
0.8854461	baan_DIM/noun
4.000435	baan_ronde/noun
2.8302696	baar_op/verb
4.34999	baba/noun
1.6273109	babbel/noun
1.5895095	babbel/verb
0.62455225	baby/noun
4.5567384	backpackers/noun
0.18941893	bacterie/noun
6.530938	bacterie_spoor/noun
1.2897115	bad_plaats/noun
3.5635967	badges/noun
0.61313635	bak/noun
5.4209943	bak_vis_DIM/noun
1.0408005	bal_DIM/noun
1.0623734	balans/noun
4.854561	baleinen/noun
0.9713585	balie/noun
1.7826117	balk/noun
0.80276895	ballet/noun
4.1690364	ballet_danseres/noun
0.8175299	ballon/noun
0.26594582	ban/noun
2.5009422	bandbreedte/noun
3.1759489	bank_tegoed/noun
0.48393995	bankier/noun
0.8455142	bankrekening/noun
0.62430215	bar/noun
4.541009	barbaar/noun
3.5784793	barbaars/adj
3.752358	barbarij/noun
3.049041	barkruk/noun
3.2374785	barmhartig/adj
1.5674363	barok/adj
2.7098503	barones/noun
1.7403175	barricade/noun
3.0754037	barricadeer/verb
2.0689676	barrière/noun
3.0670738	barst_DIM/noun
1.1673415	barst_uit/verb
1.6978155	basiliek/noun
0.26152232	basis_school/noun
2.0564706	basis_vorming/noun
3.0642679	bazaar/noun
1.3213587	bbp/noun
0.9576799	beaam/verb
3.3067772	beachvolleybal/noun
2.8538806	beambte/noun
1.8449367	becommentarieer/verb
1.8315463	bed_DIM/noun
2.0507402	bedachtzaam/adj
