_model	model.x	model.y	foc_length	foc_minimum_features	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_part_of_speech	soc_window	tokens	type	stress
horde.foc10.all.ppmi_weight.bound.min1.soc10.nav.10000	-0.14078296172231727	-0.1029955871694358	720	1	all	bound	ppmi_weight	10_10	10000	1e4	nav	10_10	280	horde	0.21245938283872465
horde.foc10.all.ppmi_weight.bound.min1.soc10.nav.foc	-0.1129384933748436	-0.11205491109117809	720	1	all	bound	ppmi_weight	10_10	foc	720	nav	10_10	280	horde	0.2261696870160543
horde.foc10.all.ppmi_weight.bound.min1.soc4.all.5000	-0.12780025504530834	-0.09610282913801439	720	1	all	bound	ppmi_weight	10_10	5000	5e3	all	4_4	280	horde	0.2087734112611303
horde.foc10.all.ppmi_weight.bound.min1.soc4.all.10000	-0.14343727365733092	-0.12320338364618263	720	1	all	bound	ppmi_weight	10_10	10000	1e4	all	4_4	280	horde	0.21748279925672692
horde.foc10.all.ppmi_weight.bound.min1.soc4.all.foc	-0.12450414102678159	-0.1174472339317264	720	1	all	bound	ppmi_weight	10_10	foc	720	all	4_4	280	horde	0.2350387799979451
horde.foc10.all.ppmi_weight.bound.min1.soc10.all.5000	-0.11628929394733449	-0.07495829847102503	720	1	all	bound	ppmi_weight	10_10	5000	5e3	all	10_10	280	horde	0.2069028268783329
horde.foc10.all.ppmi_weight.bound.min1.soc10.all.10000	-0.12435548053484662	-0.08868609002219927	720	1	all	bound	ppmi_weight	10_10	10000	1e4	all	10_10	280	horde	0.20739682093387674
horde.foc10.all.ppmi_weight.bound.min1.soc10.all.foc	-0.11293849337479926	-0.11205491109093699	720	1	all	bound	ppmi_weight	10_10	foc	720	all	10_10	280	horde	0.2261696870160543
horde.foc10.all.ppmi_sel.bound.min1.soc4.nav.5000	0.3390177993669986	-0.13364792023245314	720	1	all	bound	ppmi_sel	10_10	5000	5e3	nav	4_4	280	horde	0.16065429378899543
horde.foc10.all.ppmi_sel.bound.min1.soc4.nav.10000	0.35789745691057784	-0.14833312409442465	720	1	all	bound	ppmi_sel	10_10	10000	1e4	nav	4_4	280	horde	0.17179259010739867
horde.foc10.all.ppmi_sel.bound.min1.soc4.nav.foc	0.21691319092413575	-0.1108862969179525	720	1	all	bound	ppmi_sel	10_10	foc	720	nav	4_4	280	horde	0.21412830428725899
horde.foc10.all.ppmi_sel.bound.min1.soc10.nav.5000	0.22781824546503485	-0.060461680725021484	720	1	all	bound	ppmi_sel	10_10	5000	5e3	nav	10_10	280	horde	0.173548619792081
horde.foc10.all.ppmi_sel.bound.min1.soc10.nav.10000	0.24494791959478984	-0.08059273541677235	720	1	all	bound	ppmi_sel	10_10	10000	1e4	nav	10_10	280	horde	0.17272509387312918
horde.foc10.all.ppmi_sel.bound.min1.soc10.nav.foc	0.1540421191657679	-0.06641668230080741	720	1	all	bound	ppmi_sel	10_10	foc	720	nav	10_10	280	horde	0.20853203714714325
horde.foc10.all.ppmi_sel.bound.min1.soc4.all.5000	0.3233761433726394	-0.12127713979211617	720	1	all	bound	ppmi_sel	10_10	5000	5e3	all	4_4	280	horde	0.14640262925897002
horde.foc10.all.ppmi_sel.bound.min1.soc4.all.10000	0.3454896435501648	-0.1354130786046904	720	1	all	bound	ppmi_sel	10_10	10000	1e4	all	4_4	280	horde	0.1642138992889964
horde.foc10.all.ppmi_sel.bound.min1.soc4.all.foc	0.21691319092428737	-0.11088629691788927	720	1	all	bound	ppmi_sel	10_10	foc	720	all	4_4	280	horde	0.21412830428725899
