_id	_cws.hoopvol.foc10.nav.weight.bound	_count.hoopvol.foc10.nav.weight.bound	_cws.hoopvol.foc10.nav.selection.bound	_count.hoopvol.foc10.nav.selection.bound	_cws.hoopvol.foc10.nav.no.bound	_count.hoopvol.foc10.nav.no.bound	_cws.hoopvol.foc10.all.weight.bound	_count.hoopvol.foc10.all.weight.bound	_cws.hoopvol.foc10.all.selection.bound	_count.hoopvol.foc10.all.selection.bound	_cws.hoopvol.foc10.all.no.bound	_count.hoopvol.foc10.all.no.bound	_cws.hoopvol.foc5.nav.weight.bound	_count.hoopvol.foc5.nav.weight.bound	_cws.hoopvol.foc5.nav.selection.bound	_count.hoopvol.foc5.nav.selection.bound	_cws.hoopvol.foc5.nav.no.bound	_count.hoopvol.foc5.nav.no.bound	_cws.hoopvol.foc5.all.weight.bound	_count.hoopvol.foc5.all.weight.bound	_cws.hoopvol.foc5.all.selection.bound	_count.hoopvol.foc5.all.selection.bound	_cws.hoopvol.foc5.all.no.bound	_count.hoopvol.foc5.all.no.bound
hoopvol/adj/nrc_handelsblad_20020125_151/821	dogma/noun;einde/noun;gloor/verb;regering/noun;zie/verb	5	dogma/noun;einde/noun;gloor/verb;regering/noun;zie/verb	5	dogma/noun;einde/noun;gloor/verb;regering/noun;zie/verb	5	dogma/noun;een/det;einde/noun;gloor/verb;het/det;regering/noun;zelfs/adv;zie/verb	8	dogma/noun;een/det;einde/noun;gloor/verb;het/det;regering/noun;zelfs/adv;zie/verb	8	dogma/noun;een/det;einde/noun;gloor/verb;het/det;regering/noun;zelfs/adv;zie/verb	8	einde/noun;gloor/verb	2	einde/noun;gloor/verb	2	einde/noun;gloor/verb	2	een/det;einde/noun;gloor/verb;het/det	4	een/det;einde/noun;gloor/verb;het/det	4	een/det;einde/noun;gloor/verb;het/det	4
hoopvol/adj/nrc_handelsblad_20020808_10/234	afgelopen/adj;conventie/noun;duizenden/noun;kom_af/verb;toegang_bewijs/noun	5	afgelopen/adj;conventie/noun;duizenden/noun;kom_af/verb;toegang_bewijs/noun	5	afgelopen/adj;conventie/noun;duizenden/noun;kom_af/verb;toegang_bewijs/noun	5	afgelopen/adj;conventie/noun;de/det;duizenden/noun;kom_af/verb;toegang_bewijs/noun;voor/prep	7	afgelopen/adj;conventie/noun;de/det;duizenden/noun;kom_af/verb;toegang_bewijs/noun;voor/prep	7	afgelopen/adj;conventie/noun;de/det;duizenden/noun;kom_af/verb;toegang_bewijs/noun;voor/prep	7	afgelopen/adj;duizenden/noun;kom_af/verb	3	afgelopen/adj;duizenden/noun;kom_af/verb	3	afgelopen/adj;duizenden/noun;kom_af/verb	3	afgelopen/adj;de/det;duizenden/noun;kom_af/verb	4	afgelopen/adj;de/det;duizenden/noun;kom_af/verb	4	afgelopen/adj;de/det;duizenden/noun;kom_af/verb	4
hoopvol/adj/nrc_handelsblad_20020618_90/996	ben/verb;uiteindelijk/adj;zeg/verb;zie/verb	4	ben/verb;uiteindelijk/adj;zeg/verb;zie/verb	4	ben/verb;uiteindelijk/adj;zeg/verb;zie/verb	4	ben/verb;het/det;uiteindelijk/adj;voor/prep;wat/pron;zeg/verb;zie/verb	7	ben/verb;het/det;uiteindelijk/adj;voor/prep;wat/pron;zeg/verb;zie/verb	7	ben/verb;het/det;uiteindelijk/adj;voor/prep;wat/pron;zeg/verb;zie/verb	7	uiteindelijk/adj;zeg/verb	2	uiteindelijk/adj;zeg/verb	2	uiteindelijk/adj;zeg/verb	2	uiteindelijk/adj;zeg/verb	2	uiteindelijk/adj;zeg/verb	2	uiteindelijk/adj;zeg/verb	2
hoopvol/adj/nrc_handelsblad_20011023_101/570	blik/noun;ei/noun;tolk/noun	3	blik/noun;ei/noun;tolk/noun	3	blik/noun;ei/noun;tolk/noun	3	blik/noun;de/det;een/det;ei/noun;het/det;tolk/noun	6	blik/noun;de/det;een/det;ei/noun;het/det;tolk/noun	6	blik/noun;de/det;een/det;ei/noun;het/det;tolk/noun	6	blik/noun;tolk/noun	2	blik/noun;tolk/noun	2	blik/noun;tolk/noun	2	blik/noun;de/det;een/det;tolk/noun	4	blik/noun;de/det;een/det;tolk/noun	4	blik/noun;de/det;een/det;tolk/noun	4
hoopvol/adj/nrc_handelsblad_20000501_55/881	verleden/noun;zie/verb	2	verleden/noun;zie/verb	2	verleden/noun;zie/verb	2	aldus/prep;genoeg/adv;het/det;verleden/noun;zie/verb	5	aldus/prep;genoeg/adv;het/det;verleden/noun;zie/verb	5	aldus/prep;genoeg/adv;het/det;verleden/noun;zie/verb	5	zie/verb	1	zie/verb	1	zie/verb	1	aldus/prep;zie/verb	2	aldus/prep;zie/verb	2	aldus/prep;zie/verb	2
hoopvol/adj/nrc_handelsblad_20020422_131/94	extreem-rechts/adj;gestemd/adj;overwinnaar/noun	3	extreem-rechts/adj;gestemd/adj;overwinnaar/noun	3	extreem-rechts/adj;gestemd/adj;overwinnaar/noun	3	de/det;extreem-rechts/adj;gestemd/adj;overwinnaar/noun	4	de/det;extreem-rechts/adj;gestemd/adj;overwinnaar/noun	4	de/det;extreem-rechts/adj;gestemd/adj;overwinnaar/noun	4	extreem-rechts/adj;gestemd/adj;overwinnaar/noun	3	extreem-rechts/adj;gestemd/adj;overwinnaar/noun	3	extreem-rechts/adj;gestemd/adj;overwinnaar/noun	3	de/det;extreem-rechts/adj;gestemd/adj;overwinnaar/noun	4	de/det;extreem-rechts/adj;gestemd/adj;overwinnaar/noun	4	de/det;extreem-rechts/adj;gestemd/adj;overwinnaar/noun	4
hoopvol/adj/nrc_handelsblad_20030918_138/338	imposant/adj;sarcastisch/adj;voorschot/noun	3	imposant/adj;sarcastisch/adj;voorschot/noun	3	imposant/adj;sarcastisch/adj;voorschot/noun	3	aldaar/adv;de/det;een/det;imposant/adj;ook/adv;sarcastisch/adj;voorschot/noun	7	aldaar/adv;de/det;een/det;imposant/adj;ook/adv;sarcastisch/adj;voorschot/noun	7	aldaar/adv;de/det;een/det;imposant/adj;ook/adv;sarcastisch/adj;voorschot/noun	7	sarcastisch/adj;voorschot/noun	2	sarcastisch/adj;voorschot/noun	2	sarcastisch/adj;voorschot/noun	2	een/det;ook/adv;sarcastisch/adj;voorschot/noun	4	een/det;ook/adv;sarcastisch/adj;voorschot/noun	4	een/det;ook/adv;sarcastisch/adj;voorschot/noun	4
hoopvol/adj/nrc_handelsblad_20011130_66/340	blijf/verb;ploeg/noun;stem/verb	3	blijf/verb;ploeg/noun;stem/verb	3	blijf/verb;ploeg/noun;stem/verb	3	blijf/verb;hij/pron;ploeg/noun;stem/verb	4	blijf/verb;hij/pron;ploeg/noun;stem/verb	4	blijf/verb;hij/pron;ploeg/noun;stem/verb	4	blijf/verb;stem/verb	2	blijf/verb;stem/verb	2	blijf/verb;stem/verb	2	blijf/verb;hij/pron;stem/verb	3	blijf/verb;hij/pron;stem/verb	3	blijf/verb;hij/pron;stem/verb	3
hoopvol/adj/nrc_handelsblad_20001207_101/647	los_op/verb;zeg/verb	2	los_op/verb;zeg/verb	2	los_op/verb;zeg/verb	2	het/det;los_op/verb;u/pron;zeg/verb	4	het/det;los_op/verb;u/pron;zeg/verb	4	het/det;los_op/verb;u/pron;zeg/verb	4	los_op/verb;zeg/verb	2	los_op/verb;zeg/verb	2	los_op/verb;zeg/verb	2	los_op/verb;zeg/verb	2	los_op/verb;zeg/verb	2	los_op/verb;zeg/verb	2
hoopvol/adj/nrc_handelsblad_19990702_25/2653		0		0		0	de/det;het/det	2	de/det;het/det	2	de/det;het/det	2		0		0		0	de/det;het/det	2	de/det;het/det	2	de/det;het/det	2
hoopvol/adj/nrc_handelsblad_20011203_31/486	doorbraak/noun;punt/noun;toon/verb	3	doorbraak/noun;punt/noun;toon/verb	3	doorbraak/noun;punt/noun;toon/verb	3	al/adv;dit/det;doorbraak/noun;echter/adv;een/det;over/prep;punt/noun;toon/verb	8	al/adv;dit/det;doorbraak/noun;echter/adv;een/det;over/prep;punt/noun;toon/verb	8	al/adv;dit/det;doorbraak/noun;echter/adv;een/det;over/prep;punt/noun;toon/verb	8	doorbraak/noun;toon/verb	2	doorbraak/noun;toon/verb	2	doorbraak/noun;toon/verb	2	al/adv;doorbraak/noun;een/det;over/prep;toon/verb	5	al/adv;doorbraak/noun;een/det;over/prep;toon/verb	5	al/adv;doorbraak/noun;een/det;over/prep;toon/verb	5
hoopvol/adj/nrc_handelsblad_20000812_64/2554	brief/noun;email/noun;honderden/noun;reactie/noun;stem/verb;telefoontje/noun	6	brief/noun;email/noun;honderden/noun;reactie/noun;stem/verb;telefoontje/noun	6	brief/noun;email/noun;honderden/noun;reactie/noun;stem/verb;telefoontje/noun	6	brief/noun;email/noun;honderden/noun;reactie/noun;stem/verb;telefoontje/noun	6	brief/noun;email/noun;honderden/noun;reactie/noun;stem/verb;telefoontje/noun	6	brief/noun;email/noun;honderden/noun;reactie/noun;stem/verb;telefoontje/noun	6	email/noun;stem/verb;telefoontje/noun	3	email/noun;stem/verb;telefoontje/noun	3	email/noun;stem/verb;telefoontje/noun	3	email/noun;stem/verb;telefoontje/noun	3	email/noun;stem/verb;telefoontje/noun	3	email/noun;stem/verb;telefoontje/noun	3
hoopvol/adj/nrc_handelsblad_20031205f_55/180	begin/verb;eindig/verb;perspectief/noun;vermager/verb	4	begin/verb;eindig/verb;perspectief/noun;vermager/verb	4	begin/verb;eindig/verb;perspectief/noun;vermager/verb	4	begin/verb;eindig/verb;het/det;perspectief/noun;vermager/verb;weer/adv	6	begin/verb;eindig/verb;het/det;perspectief/noun;vermager/verb;weer/adv	6	begin/verb;eindig/verb;het/det;perspectief/noun;vermager/verb;weer/adv	6	begin/verb;eindig/verb;perspectief/noun;vermager/verb	4	begin/verb;eindig/verb;perspectief/noun;vermager/verb	4	begin/verb;eindig/verb;perspectief/noun;vermager/verb	4	begin/verb;eindig/verb;het/det;perspectief/noun;vermager/verb	5	begin/verb;eindig/verb;het/det;perspectief/noun;vermager/verb	5	begin/verb;eindig/verb;het/det;perspectief/noun;vermager/verb	5
hoopvol/adj/nrc_handelsblad_20020629_112/1062	kwetsbaar/adj;staat/noun;typeer/verb	3	kwetsbaar/adj;staat/noun;typeer/verb	3	kwetsbaar/adj;staat/noun;typeer/verb	3	de/det;kwetsbaar/adj;staat/noun;typeer/verb	4	de/det;kwetsbaar/adj;staat/noun;typeer/verb	4	de/det;kwetsbaar/adj;staat/noun;typeer/verb	4	kwetsbaar/adj	1	kwetsbaar/adj	1	kwetsbaar/adj	1	kwetsbaar/adj	1	kwetsbaar/adj	1	kwetsbaar/adj	1
hoopvol/adj/nrc_handelsblad_20001129_112/28	gestoken/adj;kijk_aan/verb;pak/noun	3	gestoken/adj;kijk_aan/verb;pak/noun	3	gestoken/adj;kijk_aan/verb;pak/noun	3	een/det;gestoken/adj;kijk_aan/verb;me/pron;pak/noun	5	een/det;gestoken/adj;kijk_aan/verb;me/pron;pak/noun	5	een/det;gestoken/adj;kijk_aan/verb;me/pron;pak/noun	5	gestoken/adj;kijk_aan/verb;pak/noun	3	gestoken/adj;kijk_aan/verb;pak/noun	3	gestoken/adj;kijk_aan/verb;pak/noun	3	gestoken/adj;kijk_aan/verb;me/pron;pak/noun	4	gestoken/adj;kijk_aan/verb;me/pron;pak/noun	4	gestoken/adj;kijk_aan/verb;me/pron;pak/noun	4
hoopvol/adj/volkskrant_20000802_49/588	direct/adj;eredivisie/noun;nieuw/adj;presenteer/verb;seizoen/noun;spreek/verb	6	direct/adj;eredivisie/noun;nieuw/adj;presenteer/verb;seizoen/noun;spreek/verb	6	direct/adj;eredivisie/noun;nieuw/adj;presenteer/verb;seizoen/noun;spreek/verb	6	de/det;direct/adj;dit/det;een/det;eredivisie/noun;naar/prep;nieuw/adj;presenteer/verb;seizoen/noun;spreek/verb;voor/prep	11	de/det;direct/adj;dit/det;een/det;eredivisie/noun;naar/prep;nieuw/adj;presenteer/verb;seizoen/noun;spreek/verb;voor/prep	11	de/det;direct/adj;dit/det;een/det;eredivisie/noun;naar/prep;nieuw/adj;presenteer/verb;seizoen/noun;spreek/verb;voor/prep	11	direct/adj;seizoen/noun;spreek/verb	3	direct/adj;seizoen/noun;spreek/verb	3	direct/adj;seizoen/noun;spreek/verb	3	de/det;direct/adj;dit/det;naar/prep;seizoen/noun;spreek/verb	6	de/det;direct/adj;dit/det;naar/prep;seizoen/noun;spreek/verb	6	de/det;direct/adj;dit/det;naar/prep;seizoen/noun;spreek/verb	6
hoopvol/adj/volkskrant_20010606_42/133	betoon/verb	1	betoon/verb	1	betoon/verb	1	betoon/verb;gisteren/adv	2	betoon/verb;gisteren/adv	2	betoon/verb;gisteren/adv	2	betoon/verb	1	betoon/verb	1	betoon/verb	1	betoon/verb;gisteren/adv	2	betoon/verb;gisteren/adv	2	betoon/verb;gisteren/adv	2
hoopvol/adj/volkskrant_20020913_70/161	geschiedenis/noun;oppositie/noun;stem/verb;weinig/adj	4	geschiedenis/noun;oppositie/noun;stem/verb;weinig/adj	4	geschiedenis/noun;oppositie/noun;stem/verb;weinig/adj	4	de/det;geschiedenis/noun;ook/adv;oppositie/noun;stem/verb;vooraf/adv;weinig/adj	7	de/det;geschiedenis/noun;ook/adv;oppositie/noun;stem/verb;vooraf/adv;weinig/adj	7	de/det;geschiedenis/noun;ook/adv;oppositie/noun;stem/verb;vooraf/adv;weinig/adj	7	oppositie/noun;stem/verb;weinig/adj	3	oppositie/noun;stem/verb;weinig/adj	3	oppositie/noun;stem/verb;weinig/adj	3	de/det;oppositie/noun;stem/verb;vooraf/adv;weinig/adj	5	de/det;oppositie/noun;stem/verb;vooraf/adv;weinig/adj	5	de/det;oppositie/noun;stem/verb;vooraf/adv;weinig/adj	5
hoopvol/adj/volkskrant_20020629_171/57	begin/noun;min/adj;schandaal/noun;toegang_kaart/noun;toenadering/noun;verrassend/adj	6	begin/noun;min/adj;schandaal/noun;toegang_kaart/noun;toenadering/noun;verrassend/adj	6	begin/noun;min/adj;schandaal/noun;toegang_kaart/noun;toenadering/noun;verrassend/adj	6	begin/noun;een/det;het/det;min/adj;over/prep;schandaal/noun;toegang_kaart/noun;toenadering/noun;verrassend/adj	9	begin/noun;een/det;het/det;min/adj;over/prep;schandaal/noun;toegang_kaart/noun;toenadering/noun;verrassend/adj	9	begin/noun;een/det;het/det;min/adj;over/prep;schandaal/noun;toegang_kaart/noun;toenadering/noun;verrassend/adj	9	begin/noun;schandaal/noun;toegang_kaart/noun;toenadering/noun	4	begin/noun;schandaal/noun;toegang_kaart/noun;toenadering/noun	4	begin/noun;schandaal/noun;toegang_kaart/noun;toenadering/noun	4	begin/noun;het/det;over/prep;schandaal/noun;toegang_kaart/noun;toenadering/noun	6	begin/noun;het/det;over/prep;schandaal/noun;toegang_kaart/noun;toenadering/noun	6	begin/noun;het/det;over/prep;schandaal/noun;toegang_kaart/noun;toenadering/noun	6
hoopvol/adj/volkskrant_20010829_69/193	begin/noun;ben/verb;missie/noun	3	begin/noun;ben/verb;missie/noun	3	begin/noun;ben/verb;missie/noun	3	begin/noun;ben/verb;de/det;een/det;missie/noun;nu/adv;zichzelf/pron	7	begin/noun;ben/verb;de/det;een/det;missie/noun;nu/adv;zichzelf/pron	7	begin/noun;ben/verb;de/det;een/det;missie/noun;nu/adv;zichzelf/pron	7	begin/noun;missie/noun	2	begin/noun;missie/noun	2	begin/noun;missie/noun	2	begin/noun;de/det;een/det;missie/noun;zichzelf/pron	5	begin/noun;de/det;een/det;missie/noun;zichzelf/pron	5	begin/noun;de/det;een/det;missie/noun;zichzelf/pron	5
hoopvol/adj/volkskrant_20020207_82/756	mag/verb;ontwikkeling/noun;schuif/verb	3	mag/verb;ontwikkeling/noun;schuif/verb	3	mag/verb;ontwikkeling/noun;schuif/verb	3	deze/det;het/det;mag/verb;ontwikkeling/noun;schuif/verb;terzijde/adv	6	deze/det;het/det;mag/verb;ontwikkeling/noun;schuif/verb;terzijde/adv	6	deze/det;het/det;mag/verb;ontwikkeling/noun;schuif/verb;terzijde/adv	6	mag/verb;ontwikkeling/noun	2	mag/verb;ontwikkeling/noun	2	mag/verb;ontwikkeling/noun	2	deze/det;het/det;mag/verb;ontwikkeling/noun	4	deze/det;het/det;mag/verb;ontwikkeling/noun	4	deze/det;het/det;mag/verb;ontwikkeling/noun	4
hoopvol/adj/volkskrant_20011102_118/41	ben/verb;stem/verb	2	ben/verb;stem/verb	2	ben/verb;stem/verb	2	ben/verb;stem/verb	2	ben/verb;stem/verb	2	ben/verb;stem/verb	2	ben/verb;stem/verb	2	ben/verb;stem/verb	2	ben/verb;stem/verb	2	ben/verb;stem/verb	2	ben/verb;stem/verb	2	ben/verb;stem/verb	2
hoopvol/adj/volkskrant_20041106_168/77	ben/verb;denk/verb;val_af/verb	3	ben/verb;denk/verb;val_af/verb	3	ben/verb;denk/verb;val_af/verb	3	ben/verb;denk/verb;val_af/verb	3	ben/verb;denk/verb;val_af/verb	3	ben/verb;denk/verb;val_af/verb	3	ben/verb;denk/verb;val_af/verb	3	ben/verb;denk/verb;val_af/verb	3	ben/verb;denk/verb;val_af/verb	3	ben/verb;denk/verb;val_af/verb	3	ben/verb;denk/verb;val_af/verb	3	ben/verb;denk/verb;val_af/verb	3
hoopvol/adj/volkskrant_20010503_94/77	gesprek/noun;substantieel/adj;teken/noun;zie/verb	4	gesprek/noun;substantieel/adj;teken/noun;zie/verb	4	gesprek/noun;substantieel/adj;teken/noun;zie/verb	4	een/det;gesprek/noun;substantieel/adj;teken/noun;vandaag/adv;voor/prep;zie/verb	7	een/det;gesprek/noun;substantieel/adj;teken/noun;vandaag/adv;voor/prep;zie/verb	7	een/det;gesprek/noun;substantieel/adj;teken/noun;vandaag/adv;voor/prep;zie/verb	7	gesprek/noun;substantieel/adj;teken/noun;zie/verb	4	gesprek/noun;substantieel/adj;teken/noun;zie/verb	4	gesprek/noun;substantieel/adj;teken/noun;zie/verb	4	een/det;gesprek/noun;substantieel/adj;teken/noun;voor/prep;zie/verb	6	een/det;gesprek/noun;substantieel/adj;teken/noun;voor/prep;zie/verb	6	een/det;gesprek/noun;substantieel/adj;teken/noun;voor/prep;zie/verb	6
hoopvol/adj/volkskrant_19991120_131/110	Gelders/adj;ben/verb;dorp_DIM/noun;zoek_af/verb	4	Gelders/adj;ben/verb;dorp_DIM/noun;zoek_af/verb	4	Gelders/adj;ben/verb;dorp_DIM/noun;zoek_af/verb	4	Gelders/adj;ben/verb;de/det;dorp_DIM/noun;naar/prep;nog/adv;nu/adv;zoek_af/verb	8	Gelders/adj;ben/verb;de/det;dorp_DIM/noun;naar/prep;nog/adv;nu/adv;zoek_af/verb	8	Gelders/adj;ben/verb;de/det;dorp_DIM/noun;naar/prep;nog/adv;nu/adv;zoek_af/verb	8	Gelders/adj;ben/verb;dorp_DIM/noun	3	Gelders/adj;ben/verb;dorp_DIM/noun	3	Gelders/adj;ben/verb;dorp_DIM/noun	3	Gelders/adj;ben/verb;de/det;dorp_DIM/noun;nog/adv;nu/adv	6	Gelders/adj;ben/verb;de/det;dorp_DIM/noun;nog/adv;nu/adv	6	Gelders/adj;ben/verb;de/det;dorp_DIM/noun;nog/adv;nu/adv	6
hoopvol/adj/volkskrant_20010905_68/456	bezegel/verb;gazon/noun;wending/noun	3	bezegel/verb;gazon/noun;wending/noun	3	bezegel/verb;gazon/noun;wending/noun	3	bezegel/verb;gazon/noun;het/det;wending/noun	4	bezegel/verb;gazon/noun;het/det;wending/noun	4	bezegel/verb;gazon/noun;het/det;wending/noun	4	bezegel/verb;wending/noun	2	bezegel/verb;wending/noun	2	bezegel/verb;wending/noun	2	bezegel/verb;het/det;wending/noun	3	bezegel/verb;het/det;wending/noun	3	bezegel/verb;het/det;wending/noun	3
