_model	model.x	model.y	foc_boundaries	foc_foc_pos	foc_foc_win	foc_ppmi	foc_context_words	foc_minimum_features	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
grijs.foc10.all.selection.bound.min1.soc10.nav.FOC	0.17070096814835437	-0.15270228113751944	bound	all	10_10	selection	828	1	FOC	828	nav	10_10	319	grijs	0.22880975723979485
grijs.foc10.all.selection.bound.min1.soc4.all.5000	0.38813378029124257	-0.19833952182350295	bound	all	10_10	selection	828	1	5000	5000	all	4_4	319	grijs	0.2561678023692157
grijs.foc10.all.selection.bound.min1.soc4.all.10000	0.41585226931640795	-0.18323909711561007	bound	all	10_10	selection	828	1	10000	10000	all	4_4	319	grijs	0.24778699721988293
grijs.foc10.all.selection.bound.min1.soc4.all.FOC	0.3166811113446431	-0.1464809618824473	bound	all	10_10	selection	828	1	FOC	828	all	4_4	319	grijs	0.23141147067218093
grijs.foc10.all.selection.bound.min1.soc10.all.5000	0.19373980958298279	-0.21797808756616363	bound	all	10_10	selection	828	1	5000	5000	all	10_10	319	grijs	0.2509912839443986
grijs.foc10.all.selection.bound.min1.soc10.all.10000	0.20546369712224707	-0.1907271677966538	bound	all	10_10	selection	828	1	10000	10000	all	10_10	319	grijs	0.24750740723929446
grijs.foc10.all.selection.bound.min1.soc10.all.FOC	0.17070049144874533	-0.15270323528628624	bound	all	10_10	selection	828	1	FOC	828	all	10_10	319	grijs	0.22880975723979485
grijs.foc10.all.no.bound.min1.soc4.nav.5000	0.3992923104991734	-0.1889493328796432	bound	all	10_10	no	828	1	5000	5000	nav	4_4	319	grijs	0.24880421263265426
grijs.foc10.all.no.bound.min1.soc4.nav.10000	0.4375768926400628	-0.1782028084882526	bound	all	10_10	no	828	1	10000	10000	nav	4_4	319	grijs	0.24046282365238328
grijs.foc10.all.no.bound.min1.soc4.nav.FOC	0.31668129520873795	-0.14648041513986212	bound	all	10_10	no	828	1	FOC	828	nav	4_4	319	grijs	0.23141147067218093
grijs.foc10.all.no.bound.min1.soc10.nav.5000	0.19515064944169144	-0.19370037919005723	bound	all	10_10	no	828	1	5000	5000	nav	10_10	319	grijs	0.24707100449100453
grijs.foc10.all.no.bound.min1.soc10.nav.10000	0.22379480721308698	-0.18255911207663852	bound	all	10_10	no	828	1	10000	10000	nav	10_10	319	grijs	0.24076542952375404
grijs.foc10.all.no.bound.min1.soc10.nav.FOC	0.17070120836146285	-0.15270180033295835	bound	all	10_10	no	828	1	FOC	828	nav	10_10	319	grijs	0.22880975723979485
grijs.foc10.all.no.bound.min1.soc4.all.5000	0.388132858839852	-0.19833902575467102	bound	all	10_10	no	828	1	5000	5000	all	4_4	319	grijs	0.2561678023692157
grijs.foc10.all.no.bound.min1.soc4.all.10000	0.41585262021496655	-0.18323929076531678	bound	all	10_10	no	828	1	10000	10000	all	4_4	319	grijs	0.24778699721988293
grijs.foc10.all.no.bound.min1.soc4.all.FOC	0.3166816579949539	-0.14647933287918927	bound	all	10_10	no	828	1	FOC	828	all	4_4	319	grijs	0.23141147067218093
grijs.foc10.all.no.bound.min1.soc10.all.5000	0.19373993620440838	-0.21797792857390041	bound	all	10_10	no	828	1	5000	5000	all	10_10	319	grijs	0.2509912839443986
grijs.foc10.all.no.bound.min1.soc10.all.10000	0.2054635692293299	-0.1907273945898857	bound	all	10_10	no	828	1	10000	10000	all	10_10	319	grijs	0.24750740723929446
grijs.foc10.all.no.bound.min1.soc10.all.FOC	0.1707007317223375	-0.15270275436097622	bound	all	10_10	no	828	1	FOC	828	all	10_10	319	grijs	0.22880975723979485
grijs.foc5.nav.weight.bound.min1.soc4.nav.5000	-0.18161679485231622	0.15256740296433696	bound	nav	5_5	weight	477	1	5000	5000	nav	4_4	304	grijs	0.2627167019237382
grijs.foc5.nav.weight.bound.min1.soc4.nav.10000	-0.18710453556961135	0.1859209682342919	bound	nav	5_5	weight	477	1	10000	10000	nav	4_4	304	grijs	0.2601212587051142
grijs.foc5.nav.weight.bound.min1.soc4.nav.FOC	-0.1655415870661745	0.19910053382781667	bound	nav	5_5	weight	477	1	FOC	477	nav	4_4	304	grijs	0.2599840008572969
grijs.foc5.nav.weight.bound.min1.soc10.nav.5000	-0.17777695021579207	0.12563196538443708	bound	nav	5_5	weight	477	1	5000	5000	nav	10_10	304	grijs	0.25304904291365415
grijs.foc5.nav.weight.bound.min1.soc10.nav.10000	-0.16396532695884564	0.14369415435796085	bound	nav	5_5	weight	477	1	10000	10000	nav	10_10	304	grijs	0.25136632844366874
grijs.foc5.nav.weight.bound.min1.soc10.nav.FOC	-0.1533323642336476	0.19178079008719062	bound	nav	5_5	weight	477	1	FOC	477	nav	10_10	304	grijs	0.2453090135451102
grijs.foc5.nav.weight.bound.min1.soc4.all.5000	-0.18988821526687194	0.15124046369085634	bound	nav	5_5	weight	477	1	5000	5000	all	4_4	304	grijs	0.2614743390403037
grijs.foc5.nav.weight.bound.min1.soc4.all.10000	-0.17519473048001485	0.17092024491743946	bound	nav	5_5	weight	477	1	10000	10000	all	4_4	304	grijs	0.26122666511145753
grijs.foc5.nav.weight.bound.min1.soc4.all.FOC	-0.16554178431605815	0.19910053428213584	bound	nav	5_5	weight	477	1	FOC	477	all	4_4	304	grijs	0.2599840008572969
grijs.foc5.nav.weight.bound.min1.soc10.all.5000	-0.18736244961703524	0.12878787904059988	bound	nav	5_5	weight	477	1	5000	5000	all	10_10	304	grijs	0.25098443293785094
grijs.foc5.nav.weight.bound.min1.soc10.all.10000	-0.1671949803554427	0.13674018548096542	bound	nav	5_5	weight	477	1	10000	10000	all	10_10	304	grijs	0.2527362587554403
grijs.foc5.nav.weight.bound.min1.soc10.all.FOC	-0.1533325315848768	0.1917808884164058	bound	nav	5_5	weight	477	1	FOC	477	all	10_10	304	grijs	0.2453090135451102
grijs.foc5.nav.selection.bound.min1.soc4.nav.5000	-0.24735564483244074	0.09269288575886547	bound	nav	5_5	selection	477	1	5000	5000	nav	4_4	304	grijs	0.25255348451115966
grijs.foc5.nav.selection.bound.min1.soc4.nav.10000	-0.2551244040626666	0.12189195239899023	bound	nav	5_5	selection	477	1	10000	10000	nav	4_4	304	grijs	0.2481144732539925
grijs.foc5.nav.selection.bound.min1.soc4.nav.FOC	-0.1583487583150432	0.10039843357049716	bound	nav	5_5	selection	477	1	FOC	477	nav	4_4	304	grijs	0.24965909727527844
grijs.foc5.nav.selection.bound.min1.soc10.nav.5000	-0.2272689083909274	0.060948592492134544	bound	nav	5_5	selection	477	1	5000	5000	nav	10_10	304	grijs	0.24674738813651861
