_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
haken.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.2636342856213387	0.07514898864521362	NA	NA	BOW	nobound	463	lex	10_10	1	selection	5000	5000	all	4_4	248	haken	NA
haken.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.2179983810281346	0.13371510435889442	NA	NA	BOW	nobound	463	lex	10_10	1	selection	FOC	319	nav	4_4	248	haken	NA
haken.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.21569423196516824	0.14051734127149704	NA	NA	BOW	nobound	463	lex	10_10	1	selection	FOC	463	all	4_4	248	haken	NA
haken.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.30038906120236225	0.176321682564071	NA	NA	BOW	nobound	1030	lex	10_10	1	no	5000	5000	nav	4_4	250	haken	NA
haken.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.28108578115061533	0.21996082163331737	NA	NA	BOW	nobound	1030	lex	10_10	1	no	5000	5000	all	4_4	250	haken	NA
haken.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.2263053455391069	0.19241220974920228	NA	NA	BOW	nobound	1030	lex	10_10	1	no	FOC	734	nav	4_4	250	haken	NA
haken.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.2251145527436026	0.20215939210475312	NA	NA	BOW	nobound	1030	lex	10_10	1	no	FOC	1030	all	4_4	250	haken	NA
haken.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.0012345214383541	-0.028379609834902505	NA	NA	BOW	nobound	675	all	10_10	1	weight	5000	5000	nav	4_4	251	haken	NA
haken.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.030869333946700068	-0.04027765538498768	NA	NA	BOW	nobound	675	all	10_10	1	weight	5000	5000	all	4_4	251	haken	NA
haken.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.0757556206201562	0.09432434161596107	NA	NA	BOW	nobound	675	all	10_10	1	weight	FOC	319	nav	4_4	251	haken	NA
haken.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.06828169218575328	0.0886084353578961	NA	NA	BOW	nobound	675	all	10_10	1	weight	FOC	675	all	4_4	251	haken	NA
haken.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.0763668222681667	0.2006981852584275	NA	NA	BOW	nobound	675	all	10_10	1	selection	5000	5000	nav	4_4	251	haken	NA
