_id	_cws.geldig.foc10.nav.weight.bound	_count.geldig.foc10.nav.weight.bound	_cws.geldig.foc10.nav.selection.bound	_count.geldig.foc10.nav.selection.bound	_cws.geldig.foc10.nav.no.bound	_count.geldig.foc10.nav.no.bound	_cws.geldig.foc10.all.weight.bound	_count.geldig.foc10.all.weight.bound	_cws.geldig.foc10.all.selection.bound	_count.geldig.foc10.all.selection.bound	_cws.geldig.foc10.all.no.bound	_count.geldig.foc10.all.no.bound	_cws.geldig.foc5.nav.weight.bound	_count.geldig.foc5.nav.weight.bound	_cws.geldig.foc5.nav.selection.bound	_count.geldig.foc5.nav.selection.bound	_cws.geldig.foc5.nav.no.bound	_count.geldig.foc5.nav.no.bound	_cws.geldig.foc5.all.weight.bound	_count.geldig.foc5.all.weight.bound	_cws.geldig.foc5.all.selection.bound	_count.geldig.foc5.all.selection.bound	_cws.geldig.foc5.all.no.bound	_count.geldig.foc5.all.no.bound
geldig/adj/nrc_handelsblad_20040515_258/238	ben/verb;kan/verb;legitimeer/verb;officieel/adj;paspoort/noun;rijbewijs/noun;verplicht/verb	7	ben/verb;kan/verb;legitimeer/verb;officieel/adj;paspoort/noun;rijbewijs/noun;verplicht/verb	7	ben/verb;kan/verb;legitimeer/verb;officieel/adj;paspoort/noun;rijbewijs/noun;verplicht/verb	7	ben/verb;dus/adv;geen/det;kan/verb;legitimeer/verb;niet/adv;officieel/adj;paspoort/noun;rijbewijs/noun;verplicht/verb;volgens/prep	11	ben/verb;dus/adv;geen/det;kan/verb;legitimeer/verb;niet/adv;officieel/adj;paspoort/noun;rijbewijs/noun;verplicht/verb;volgens/prep	11	ben/verb;dus/adv;geen/det;kan/verb;legitimeer/verb;niet/adv;officieel/adj;paspoort/noun;rijbewijs/noun;verplicht/verb;volgens/prep	11	kan/verb;legitimeer/verb;officieel/adj	3	kan/verb;legitimeer/verb;officieel/adj	3	kan/verb;legitimeer/verb;officieel/adj	3	dus/adv;kan/verb;legitimeer/verb;niet/adv;officieel/adj;volgens/prep	6	dus/adv;kan/verb;legitimeer/verb;niet/adv;officieel/adj;volgens/prep	6	dus/adv;kan/verb;legitimeer/verb;niet/adv;officieel/adj;volgens/prep	6
geldig/adj/nrc_handelsblad_20020610_117/110	doelpunt/noun;keur_af/verb;stier/noun;word/verb	4	doelpunt/noun;keur_af/verb;stier/noun;word/verb	4	doelpunt/noun;keur_af/verb;stier/noun;word/verb	4	doelpunt/noun;een/det;keur_af/verb;niet/adv;stier/noun;word/verb	6	doelpunt/noun;een/det;keur_af/verb;niet/adv;stier/noun;word/verb	6	doelpunt/noun;een/det;keur_af/verb;niet/adv;stier/noun;word/verb	6	doelpunt/noun;keur_af/verb;word/verb	3	doelpunt/noun;keur_af/verb;word/verb	3	doelpunt/noun;keur_af/verb;word/verb	3	doelpunt/noun;keur_af/verb;word/verb	3	doelpunt/noun;keur_af/verb;word/verb	3	doelpunt/noun;keur_af/verb;word/verb	3
geldig/adj/nrc_handelsblad_20000918_20/490		0		0		0	niet/adv	1	niet/adv	1	niet/adv	1		0		0		0	niet/adv	1	niet/adv	1	niet/adv	1
geldig/adj/nrc_handelsblad_20031227_152/302	benoeming/noun;blijf/verb;datum/noun	3	benoeming/noun;blijf/verb;datum/noun	3	benoeming/noun;blijf/verb;datum/noun	3	benoeming/noun;blijf/verb;datum/noun;die/det;een/det;voor/prep	6	benoeming/noun;blijf/verb;datum/noun;die/det;een/det;voor/prep	6	benoeming/noun;blijf/verb;datum/noun;die/det;een/det;voor/prep	6	blijf/verb;datum/noun	2	blijf/verb;datum/noun	2	blijf/verb;datum/noun	2	blijf/verb;datum/noun;die/det;voor/prep	4	blijf/verb;datum/noun;die/det;voor/prep	4	blijf/verb;datum/noun;die/det;voor/prep	4
geldig/adj/nrc_handelsblad_20020807_20/218	ben/verb;bij_baan_DIM/noun;gewoon/adj;idioot/adj;kaart/noun;moet/verb;neem/verb	7	ben/verb;bij_baan_DIM/noun;gewoon/adj;idioot/adj;kaart/noun;moet/verb;neem/verb	7	ben/verb;bij_baan_DIM/noun;gewoon/adj;idioot/adj;kaart/noun;moet/verb;neem/verb	7	altijd/adv;ben/verb;bij_baan_DIM/noun;dan/adv;die/det;gewoon/adj;idioot/adj;kaart/noun;moet/verb;neem/verb	10	altijd/adv;ben/verb;bij_baan_DIM/noun;dan/adv;die/det;gewoon/adj;idioot/adj;kaart/noun;moet/verb;neem/verb	10	altijd/adv;ben/verb;bij_baan_DIM/noun;dan/adv;die/det;gewoon/adj;idioot/adj;kaart/noun;moet/verb;neem/verb	10	ben/verb;gewoon/adj;idioot/adj;kaart/noun	4	ben/verb;gewoon/adj;idioot/adj;kaart/noun	4	ben/verb;gewoon/adj;idioot/adj;kaart/noun	4	altijd/adv;ben/verb;die/det;gewoon/adj;idioot/adj;kaart/noun	6	altijd/adv;ben/verb;die/det;gewoon/adj;idioot/adj;kaart/noun	6	altijd/adv;ben/verb;die/det;gewoon/adj;idioot/adj;kaart/noun	6
geldig/adj/nrc_handelsblad_20010426_117/560	ben/verb;dien/verb;heb/verb;legende/noun;mythe/noun;overdreven/adj	6	ben/verb;dien/verb;heb/verb;legende/noun;mythe/noun;overdreven/adj	6	ben/verb;dien/verb;heb/verb;legende/noun;mythe/noun;overdreven/adj	6	ben/verb;dien/verb;geen/det;heb/verb;legende/noun;mythe/noun;niet/adv;overdreven/adj	8	ben/verb;dien/verb;geen/det;heb/verb;legende/noun;mythe/noun;niet/adv;overdreven/adj	8	ben/verb;dien/verb;geen/det;heb/verb;legende/noun;mythe/noun;niet/adv;overdreven/adj	8	ben/verb;legende/noun;mythe/noun;overdreven/adj	4	ben/verb;legende/noun;mythe/noun;overdreven/adj	4	ben/verb;legende/noun;mythe/noun;overdreven/adj	4	ben/verb;geen/det;legende/noun;mythe/noun;overdreven/adj	5	ben/verb;geen/det;legende/noun;mythe/noun;overdreven/adj	5	ben/verb;geen/det;legende/noun;mythe/noun;overdreven/adj	5
geldig/adj/nrc_handelsblad_20030509_73/110	Litouws/adj;ben/verb;electoraat/noun;helft/noun;referendum/noun;stem/verb;wet/noun	7	Litouws/adj;ben/verb;electoraat/noun;helft/noun;referendum/noun;stem/verb;wet/noun	7	Litouws/adj;ben/verb;electoraat/noun;helft/noun;referendum/noun;stem/verb;wet/noun	7	Litouws/adj;ben/verb;electoraat/noun;helft/noun;pas/adv;referendum/noun;stem/verb;wet/noun	8	Litouws/adj;ben/verb;electoraat/noun;helft/noun;pas/adv;referendum/noun;stem/verb;wet/noun	8	Litouws/adj;ben/verb;electoraat/noun;helft/noun;pas/adv;referendum/noun;stem/verb;wet/noun	8	ben/verb;helft/noun;referendum/noun	3	ben/verb;helft/noun;referendum/noun	3	ben/verb;helft/noun;referendum/noun	3	ben/verb;helft/noun;pas/adv;referendum/noun	4	ben/verb;helft/noun;pas/adv;referendum/noun	4	ben/verb;helft/noun;pas/adv;referendum/noun	4
geldig/adj/nrc_handelsblad_20020313_106/21	dag/noun;trein_kaart_DIM/noun	2	dag/noun;trein_kaart_DIM/noun	2	dag/noun;trein_kaart_DIM/noun	2	dag/noun;trein_kaart_DIM/noun	2	dag/noun;trein_kaart_DIM/noun	2	dag/noun;trein_kaart_DIM/noun	2	dag/noun;trein_kaart_DIM/noun	2	dag/noun;trein_kaart_DIM/noun	2	dag/noun;trein_kaart_DIM/noun	2	dag/noun;trein_kaart_DIM/noun	2	dag/noun;trein_kaart_DIM/noun	2	dag/noun;trein_kaart_DIM/noun	2
geldig/adj/nrc_handelsblad_19991209_160/64	ben/verb;dagvaarding/noun;ministerie/noun;ontvankelijk/adj;openbaar/adj;vraag/noun;zal/verb	7	ben/verb;dagvaarding/noun;ministerie/noun;ontvankelijk/adj;openbaar/adj;vraag/noun;zal/verb	7	ben/verb;dagvaarding/noun;ministerie/noun;ontvankelijk/adj;openbaar/adj;vraag/noun;zal/verb	7	ben/verb;dagvaarding/noun;ministerie/noun;ontvankelijk/adj;openbaar/adj;over/prep;vraag/noun;zal/verb	8	ben/verb;dagvaarding/noun;ministerie/noun;ontvankelijk/adj;openbaar/adj;over/prep;vraag/noun;zal/verb	8	ben/verb;dagvaarding/noun;ministerie/noun;ontvankelijk/adj;openbaar/adj;over/prep;vraag/noun;zal/verb	8	dagvaarding/noun;openbaar/adj;vraag/noun	3	dagvaarding/noun;openbaar/adj;vraag/noun	3	dagvaarding/noun;openbaar/adj;vraag/noun	3	dagvaarding/noun;openbaar/adj;vraag/noun	3	dagvaarding/noun;openbaar/adj;vraag/noun	3	dagvaarding/noun;openbaar/adj;vraag/noun	3
geldig/adj/nrc_handelsblad_19991230_103/960	algemeen/adj;ben/verb;besta/verb;neiging/noun;vat_op/verb;waarde/noun	6	algemeen/adj;ben/verb;besta/verb;neiging/noun;vat_op/verb;waarde/noun	6	algemeen/adj;ben/verb;besta/verb;neiging/noun;vat_op/verb;waarde/noun	6	algemeen/adj;ben/verb;besta/verb;die/det;die/pron;diegene/pron;een/det;er/adv;neiging/noun;ook/adv;vat_op/verb;waarde/noun	12	algemeen/adj;ben/verb;besta/verb;die/det;die/pron;diegene/pron;een/det;er/adv;neiging/noun;ook/adv;vat_op/verb;waarde/noun	12	algemeen/adj;ben/verb;besta/verb;die/det;die/pron;diegene/pron;een/det;er/adv;neiging/noun;ook/adv;vat_op/verb;waarde/noun	12	algemeen/adj;vat_op/verb;waarde/noun	3	algemeen/adj;vat_op/verb;waarde/noun	3	algemeen/adj;vat_op/verb;waarde/noun	3	algemeen/adj;die/det;ook/adv;vat_op/verb;waarde/noun	5	algemeen/adj;die/det;ook/adv;vat_op/verb;waarde/noun	5	algemeen/adj;die/det;ook/adv;vat_op/verb;waarde/noun	5
geldig/adj/nrc_handelsblad_20021010_9/159	algemeen/adj;argument/noun;besluit/verb;moreel/adj;prevaleer/verb	5	algemeen/adj;argument/noun;besluit/verb;moreel/adj;prevaleer/verb	5	algemeen/adj;argument/noun;besluit/verb;moreel/adj;prevaleer/verb	5	algemeen/adj;argument/noun;besluit/verb;moreel/adj;prevaleer/verb	5	algemeen/adj;argument/noun;besluit/verb;moreel/adj;prevaleer/verb	5	algemeen/adj;argument/noun;besluit/verb;moreel/adj;prevaleer/verb	5	algemeen/adj;argument/noun;moreel/adj;prevaleer/verb	4	algemeen/adj;argument/noun;moreel/adj;prevaleer/verb	4	algemeen/adj;argument/noun;moreel/adj;prevaleer/verb	4	algemeen/adj;argument/noun;moreel/adj;prevaleer/verb	4	algemeen/adj;argument/noun;moreel/adj;prevaleer/verb	4	algemeen/adj;argument/noun;moreel/adj;prevaleer/verb	4
geldig/adj/nrc_handelsblad_20020625_20/86	Italiaan/noun;doel_kans/noun;doelpunt/noun;keur_af/verb;word/verb	5	Italiaan/noun;doel_kans/noun;doelpunt/noun;keur_af/verb;word/verb	5	Italiaan/noun;doel_kans/noun;doelpunt/noun;keur_af/verb;word/verb	5	Italiaan/noun;doel_kans/noun;doelpunt/noun;een/det;hen/pron;keur_af/verb;nog/adv;ook/adv;wegens/prep;word/verb	10	Italiaan/noun;doel_kans/noun;doelpunt/noun;een/det;hen/pron;keur_af/verb;nog/adv;ook/adv;wegens/prep;word/verb	10	Italiaan/noun;doel_kans/noun;doelpunt/noun;een/det;hen/pron;keur_af/verb;nog/adv;ook/adv;wegens/prep;word/verb	10	doelpunt/noun;keur_af/verb;word/verb	3	doelpunt/noun;keur_af/verb;word/verb	3	doelpunt/noun;keur_af/verb;word/verb	3	doelpunt/noun;hen/pron;keur_af/verb;nog/adv;ook/adv;word/verb	6	doelpunt/noun;hen/pron;keur_af/verb;nog/adv;ook/adv;word/verb	6	doelpunt/noun;hen/pron;keur_af/verb;nog/adv;ook/adv;word/verb	6
geldig/adj/nrc_handelsblad_20011024_1/22	1950/noun;verklaar/verb;vonnis/noun	3	1950/noun;verklaar/verb;vonnis/noun	3	1950/noun;verklaar/verb;vonnis/noun	3	1950/noun;verklaar/verb;vonnis/noun	3	1950/noun;verklaar/verb;vonnis/noun	3	1950/noun;verklaar/verb;vonnis/noun	3	1950/noun;verklaar/verb;vonnis/noun	3	1950/noun;verklaar/verb;vonnis/noun	3	1950/noun;verklaar/verb;vonnis/noun	3	1950/noun;verklaar/verb;vonnis/noun	3	1950/noun;verklaar/verb;vonnis/noun	3	1950/noun;verklaar/verb;vonnis/noun	3
geldig/adj/nrc_handelsblad_20031128_984/123	ben/verb;biljet/noun;gedrukt/adj;maand/noun;oud/adj	5	ben/verb;biljet/noun;gedrukt/adj;maand/noun;oud/adj	5	ben/verb;biljet/noun;gedrukt/adj;maand/noun;oud/adj	5	ben/verb;biljet/noun;er/adv;gedrukt/adj;maand/noun;ook/adv;oud/adj;slechts/adv;voor/prep	9	ben/verb;biljet/noun;er/adv;gedrukt/adj;maand/noun;ook/adv;oud/adj;slechts/adv;voor/prep	9	ben/verb;biljet/noun;er/adv;gedrukt/adj;maand/noun;ook/adv;oud/adj;slechts/adv;voor/prep	9	gedrukt/adj;maand/noun	2	gedrukt/adj;maand/noun	2	gedrukt/adj;maand/noun	2	gedrukt/adj;maand/noun;slechts/adv;voor/prep	4	gedrukt/adj;maand/noun;slechts/adv;voor/prep	4	gedrukt/adj;maand/noun;slechts/adv;voor/prep	4
geldig/adj/nrc_handelsblad_20020329_94/82		0		0		0	een/det;samen/adv	2	een/det;samen/adv	2	een/det;samen/adv	2		0		0		0	een/det	1	een/det	1	een/det	1
geldig/adj/volkskrant_20030512_93/292	Canadees/noun;ben/verb;beslis/verb;treffer/noun	4	Canadees/noun;ben/verb;beslis/verb;treffer/noun	4	Canadees/noun;ben/verb;beslis/verb;treffer/noun	4	Canadees/noun;ben/verb;beslis/verb;die/pron;toen/adv;treffer/noun	6	Canadees/noun;ben/verb;beslis/verb;die/pron;toen/adv;treffer/noun	6	Canadees/noun;ben/verb;beslis/verb;die/pron;toen/adv;treffer/noun	6	Canadees/noun;ben/verb;beslis/verb;treffer/noun	4	Canadees/noun;ben/verb;beslis/verb;treffer/noun	4	Canadees/noun;ben/verb;beslis/verb;treffer/noun	4	Canadees/noun;ben/verb;beslis/verb;toen/adv;treffer/noun	5	Canadees/noun;ben/verb;beslis/verb;toen/adv;treffer/noun	5	Canadees/noun;ben/verb;beslis/verb;toen/adv;treffer/noun	5
geldig/adj/volkskrant_20011101_41/22	Belgisch/adj;bestuur/verb;heb/verb;rijbewijs/noun;vracht_wagen/noun	5	Belgisch/adj;bestuur/verb;heb/verb;rijbewijs/noun;vracht_wagen/noun	5	Belgisch/adj;bestuur/verb;heb/verb;rijbewijs/noun;vracht_wagen/noun	5	Belgisch/adj;bestuur/verb;die/pron;geen/det;heb/verb;rijbewijs/noun;voor/prep;vracht_wagen/noun	8	Belgisch/adj;bestuur/verb;die/pron;geen/det;heb/verb;rijbewijs/noun;voor/prep;vracht_wagen/noun	8	Belgisch/adj;bestuur/verb;die/pron;geen/det;heb/verb;rijbewijs/noun;voor/prep;vracht_wagen/noun	8	Belgisch/adj;heb/verb;rijbewijs/noun;vracht_wagen/noun	4	Belgisch/adj;heb/verb;rijbewijs/noun;vracht_wagen/noun	4	Belgisch/adj;heb/verb;rijbewijs/noun;vracht_wagen/noun	4	Belgisch/adj;geen/det;heb/verb;rijbewijs/noun;voor/prep;vracht_wagen/noun	6	Belgisch/adj;geen/det;heb/verb;rijbewijs/noun;voor/prep;vracht_wagen/noun	6	Belgisch/adj;geen/det;heb/verb;rijbewijs/noun;voor/prep;vracht_wagen/noun	6
geldig/adj/volkskrant_20020330_39/63	arriveer/verb;buitenlander/noun;onmiddellijk/adj;papier/noun;word/verb	5	arriveer/verb;buitenlander/noun;onmiddellijk/adj;papier/noun;word/verb	5	arriveer/verb;buitenlander/noun;onmiddellijk/adj;papier/noun;word/verb	5	arriveer/verb;buitenlander/noun;die/pron;onmiddellijk/adj;papier/noun;word/verb;zonder/prep	7	arriveer/verb;buitenlander/noun;die/pron;onmiddellijk/adj;papier/noun;word/verb;zonder/prep	7	arriveer/verb;buitenlander/noun;die/pron;onmiddellijk/adj;papier/noun;word/verb;zonder/prep	7	arriveer/verb;buitenlander/noun;onmiddellijk/adj;papier/noun;word/verb	5	arriveer/verb;buitenlander/noun;onmiddellijk/adj;papier/noun;word/verb	5	arriveer/verb;buitenlander/noun;onmiddellijk/adj;papier/noun;word/verb	5	arriveer/verb;buitenlander/noun;die/pron;onmiddellijk/adj;papier/noun;word/verb;zonder/prep	7	arriveer/verb;buitenlander/noun;die/pron;onmiddellijk/adj;papier/noun;word/verb;zonder/prep	7	arriveer/verb;buitenlander/noun;die/pron;onmiddellijk/adj;papier/noun;word/verb;zonder/prep	7
geldig/adj/volkskrant_20011027_75/352	1/noun;ben/verb;heb/verb;jaar/noun;januari/noun	5	1/noun;ben/verb;heb/verb;jaar/noun;januari/noun	5	1/noun;ben/verb;heb/verb;jaar/noun;januari/noun	5	1/noun;ben/verb;een/det;heb/verb;jaar/noun;januari/noun;nog/adv;vanaf/prep	8	1/noun;ben/verb;een/det;heb/verb;jaar/noun;januari/noun;nog/adv;vanaf/prep	8	1/noun;ben/verb;een/det;heb/verb;jaar/noun;januari/noun;nog/adv;vanaf/prep	8	jaar/noun;januari/noun	2	jaar/noun;januari/noun	2	jaar/noun;januari/noun	2	een/det;jaar/noun;januari/noun;nog/adv	4	een/det;jaar/noun;januari/noun;nog/adv	4	een/det;jaar/noun;januari/noun;nog/adv	4
