_id	c.model1_semcw.10k_all.10_10.x.x	c.model1_semcw.10k_all.10_10.y.x	c.model1_semcw.10k_all.5_5.x.x	c.model1_semcw.10k_all.5_5.y.x	c.model1_semcw.10k_dvnj.10_10.x.x	c.model1_semcw.10k_dvnj.10_10.y.x	c.model1_semcw.10k_dvnj.5_5.x.x	c.model1_semcw.10k_dvnj.5_5.y.x	s.model1_semcw.10k_all.10_10.x.x	s.model1_semcw.10k_all.10_10.y.x	s.model1_semcw.10k_all.5_5.x.x	s.model1_semcw.10k_all.5_5.y.x	s.model1_semcw.10k_dvnj.10_10.x.x	s.model1_semcw.10k_dvnj.10_10.y.x	s.model1_semcw.10k_dvnj.5_5.x.x	s.model1_semcw.10k_dvnj.5_5.y.x	c.model1_semcw.10k_all.10_10.x.y	c.model1_semcw.10k_all.10_10.y.y	c.model1_semcw.10k_all.5_5.x.y	c.model1_semcw.10k_all.5_5.y.y	c.model1_semcw.10k_dvnj.10_10.x.y	c.model1_semcw.10k_dvnj.10_10.y.y	c.model1_semcw.10k_dvnj.5_5.x.y	c.model1_semcw.10k_dvnj.5_5.y.y	s.model1_semcw.10k_all.10_10.x.y	s.model1_semcw.10k_all.10_10.y.y	s.model1_semcw.10k_all.5_5.x.y	s.model1_semcw.10k_all.5_5.y.y	s.model1_semcw.10k_dvnj.10_10.x.y	s.model1_semcw.10k_dvnj.10_10.y.y	s.model1_semcw.10k_dvnj.5_5.x.y	s.model1_semcw.10k_dvnj.5_5.y.y
sunday/N	-0.0565664459651143	-0.0224735210968651	-0.0683004477177153	0.0410344426671499	-0.0385286325404498	0.0603097002942948	-0.0539784923313674	0.0453925099094842	0.00651064524057068	-0.0699411400701768	-0.0156614567186142	-0.053891499176368	0.0200510332951712	-0.067305453159256	-0.0249860189454335	-0.0534269854892298	-0.0539302503635992	0.0432365528979252	-0.0683004477177153	0.0410344426671499	-0.064208315675676	0.000436201200283881	-0.0539784923313674	0.0453925099094842	0.0112322291533604	-0.0847010013727362	-0.0156614567186142	-0.053891499176368	0.0200510332951712	-0.067305453159256	-0.0249860189454335	-0.0534269854892298
supper/N	-0.167953834412302	-0.0471057722003177	-0.229301009572207	-0.0256288726363896	-0.168652866470959	0.0684114227169604	-0.198948174650929	-0.00163376436042502	-0.0664952961123396	-0.342634671519978	-0.0040049115454957	-0.344247321375024	-0.0700820185254634	-0.343865769457678	-0.00924070290837062	-0.351146651567408	-0.186351973121782	0.0223465312921686	-0.229301009572207	-0.0256288726363896	-0.182166772527357	-0.019324815309127	-0.198948174650929	-0.00163376436042502	-0.0560794015456832	-0.344507416584813	-0.0040049115454957	-0.344247321375024	-0.0700820185254634	-0.343865769457678	-0.00924070290837062	-0.351146651567408
support/V	0.0215875896103467	0.0175327144581446	0.0246490213885368	-0.0112128574642357	0.0273113719759131	0.00457821320497215	0.0212367440777607	-0.0108528707304589	-0.143348543751186	0.143074920597057	0.159814905672573	0.224242143916935	-0.131754157835378	0.150457010271822	0.169232607665521	0.260644901337261	0.0256405522357974	0.00416074344253362	0.0246490213885368	-0.0112128574642357	0.0267642786854828	0.0138120942757515	0.0212367440777607	-0.0108528707304589	-0.105138549792461	0.119897519967268	0.159814905672573	0.224242143916935	-0.131754157835378	0.150457010271822	0.169232607665521	0.260644901337261
surrender/N	0.0346121994750605	0.13625590163862	0.0361144407535088	-0.210483860583333	0.0983740088798367	0.0918862293835987	0.0116208207689498	-0.182736206894878	0.263219675149151	-0.2851612187522	-0.30031812303478	-0.173413983156324	0.156955630634524	-0.452640993466657	-0.3127026789929	-0.196197811570971	0.0243578097874835	-0.150535029626372	0.0361144407535088	-0.210483860583333	0.0204632056662259	-0.139496287439176	0.0116208207689498	-0.182736206894878	0.163333168076796	0.421103031081078	-0.30031812303478	-0.173413983156324	0.156955630634524	-0.452640993466657	-0.3127026789929	-0.196197811570971
symbolism/N	0.192288888976527	-0.0783823754227921	0.173121942169689	-0.245415217309212	0.0990267378625952	-0.198626537369982	0.111067970661186	-0.233653873026312	0.213288708019565	0.38278065538536	-0.32515430663205	0.231368375360022	0.232745115254598	0.406838910564876	-0.351093322984249	0.220736288903553	0.135071709961118	-0.185008115243866	0.173121942169689	-0.245415217309212	0.14633952261708	-0.170429772236999	0.111067970661186	-0.233653873026312	0.234091122585251	0.371654679804378	-0.32515430663205	0.231368375360022	0.232745115254598	0.406838910564876	-0.351093322984249	0.220736288903553
take/V	-0.130624566124692	0.000387184271349792	-0.126893067562215	-0.0650353761361308	-0.127217298300666	0.016230944078962	-0.110991168853148	-0.0392178633748529	-0.168575484975351	-0.0573659102496018	0.287257386592437	-0.0479293036444459	-0.173954073674726	-0.0550890272506875	0.299504699659403	-0.0391153320333573	-0.139123022969305	-0.0188846248847966	-0.126893067562215	-0.0650353761361308	-0.127939027308512	0.0094466645816499	-0.110991168853148	-0.0392178633748529	-0.168133601687772	-0.0597799788314543	0.287257386592437	-0.0479293036444459	-0.173954073674726	-0.0550890272506875	0.299504699659403	-0.0391153320333573
teaching/N	0.0721420289341452	-0.0194296459554718	0.0979377609834709	-0.0527880437214887	0.076348382391719	-0.0326730450294596	0.0850406561172916	-0.0408756114070097	0.0138112212154478	0.239264455899032	-0.0125733272795934	0.300547449910439	0.00768429290870312	0.254907509012014	-0.0285998141303203	0.31362649875836	0.0761156142059319	-0.0402351023710609	0.0979377609834709	-0.0527880437214887	0.0703567630674252	-0.0466264470822881	0.0850406561172916	-0.0408756114070097	0.00527819817245493	0.241624576453544	-0.0125733272795934	0.300547449910439	0.00768429290870312	0.254907509012014	-0.0285998141303203	0.31362649875836
tell/V	-0.172916917057107	-0.0871154403849484	-0.193831480834367	-0.0967192978210597	-0.194962854733675	0.00402212862479299	-0.172146903395463	-0.0521276895902115	-0.174972317886695	-0.139210515314797	0.332728750311114	-0.120140634837543	-0.192015767451075	-0.136598687718747	0.367913796792425	-0.103563533841895	-0.205286108134661	-0.0572371623772047	-0.193831480834367	-0.0967192978210597	-0.186449582032855	-0.0568588754833831	-0.172146903395463	-0.0521276895902115	-0.17560020162376	-0.141033448219558	0.332728750311114	-0.120140634837543	-0.192015767451075	-0.136598687718747	0.367913796792425	-0.103563533841895
temple/N	-0.0887825560949851	-0.034173449281048	-0.126032733622918	0.0455619824608648	-0.076335714830355	0.0783179305960241	-0.107017232736498	0.05514572750862	0.149581825227574	-0.274062385680679	-0.156445019140516	-0.325959570873372	0.160988246467793	-0.25468234714089	-0.14731297462394	-0.343437245240369	-0.0934857756743498	0.0472400137652558	-0.126032733622918	0.0455619824608648	-0.105152193665273	0.00111750774677797	-0.107017232736498	0.05514572750862	0.145217140024202	-0.280979156622852	-0.156445019140516	-0.325959570873372	0.160988246467793	-0.25468234714089	-0.14731297462394	-0.343437245240369
th/N	0.0051439689888257	-0.1034850170919	0.00765715038314387	0.122857411224912	-0.0352377450919342	-0.11976631100272	0.0435383471338209	0.0943234138033213	-0.268772171009594	-0.131636568180519	0.210148587196863	-0.264959796531576	-0.0735551085070397	-0.188553858041566	0.166610736655382	-0.272170077309026	0.001021122196278	0.11476409650872	0.00765715038314387	0.122857411224912	-0.0204053359379373	-0.117216851578367	0.0435383471338209	0.0943234138033213	-0.0839155877038219	-0.202431957854695	0.210148587196863	-0.264959796531576	-0.0735551085070397	-0.188553858041566	0.166610736655382	-0.272170077309026
the/D	-0.00543736896862386	0.0111884201669243	-0.0130856844316761	-0.00901414159937734	-0.00392423522952254	0.0057771287642131	-0.0123138308552639	-0.00600116397245146	-0.094557359939295	-0.00146839058691336	0.523104249348288	-0.0651207127656972	-0.0894478536278466	-0.00214078309822242	0.513307240026888	-0.0414520262188744	-0.00444114063370068	0.000523510678286321	-0.0130856844316761	-0.00901414159937734	-0.00462507036914674	0.00868096271358717	-0.0123138308552639	-0.00600116397245146	-0.0929566436169389	-0.00586159766010774	0.523104249348288	-0.0651207127656972	-0.0894478536278466	-0.00214078309822242	0.513307240026888	-0.0414520262188744
