_id	model.x	model.y	pos	cwfreq	ppmi_S	noncue	cue	a1	a2	b	b1	c1	c2	c3	d	other	a1_cue	a2_cue	b_cue	b1_cue	c1_cue	c2_cue	c3_cue	d_cue	other_cue
apprentice/N	0.05521404570986628	0.35990945935729013	N	1	2.287779	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
area/N	-0.13200736329881257	0.04910461678856986	N	3	0.65574145	1	2	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
artificial/J	-0.05732618872557459	0.41774873414347974	J	1	2.2077365	1	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ask/V	-0.13583230404056557	-0.08280724109971264	V	1	0.34317943	1	0	0	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
assail/V	0.2740564214761379	-0.33809342141474946	V	1	3.163248	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
assembly/N	0.06165528579562549	-0.0019025590398857634	N	3	2.2549894	2	1	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
association/N	-0.026767641245419513	0.02736942815783913	N	1	1.0788189	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
atlanta/N	0.13833369694224318	-0.1366625843388402	N	1	2.1699963	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
attack/V	0.006829262019801423	-0.1749879627041365	V	1	2.1336286	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
attend/V	0.029143650946668466	-0.014193364606571853	V	3	1.3714885	1	2	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0
autonomy/N	0.19867456171627884	0.3257502696115665	N	1	2.6932442	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
back/N	-0.327802207976215	-0.20317509168328124	N	1	0.5747323	1	0	0	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
baptist/N	0.3492285192536083	-0.018609306905313615	N	1	4.3207006	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
baptize/V	0.4149264024879765	-0.11119984686493764	V	1	2.6932442	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
be/V	-0.1780100839392641	0.032794283074718586	V	74	0	73	1	5	24	14	1	22	2	6	0	0	0	0	0	0	0	0	1	0	0
become/V	-0.13414797428521708	0.017824208995558644	V	1	0	1	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
believe/V	-0.13192783513758155	0.041838676350831806	V	2	0	2	0	1	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
believer/N	0.31561114273732704	0.21930912313701784	N	1	2.9809263	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
benefit/V	-0.19580722375343274	0.3011634428303935	V	1	1.6816434	1	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
bernadine/N	0.4946276649162538	-0.12301798065245653	N	1	4.772686	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
better/J	-0.22334594672039473	-0.04177377401360492	J	2	0.63060987	2	0	0	0	1	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
bible/N	0.10907496385769899	0.04891807065132239	N	1	1.5145893	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
biblical/J	0.022393161551720105	0.3909318020002853	J	1	2.0646358	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
big/J	-0.20854986483808985	-0.12432835701895915	J	1	0	1	0	0	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
birmingham/N	0.26506345103478013	-0.27640057543805857	N	1	2.4701009	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
birth/N	0.05582063457459306	0.11211703611686188	N	1	1.594632	1	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
bishop/N	0.22325362599593798	-0.21627233748317864	N	1	3.1361194	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
blanket/N	-0.26064027766393116	-0.33620759871833317	N	1	1.4404813	1	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
box/N	-0.23647476671183335	-0.27054174638062223	N	1	0.66674215	1	0	0	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
brazil/N	0.35368891891154197	0.2989818913613681	N	1	3.3863914	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
break/V	-0.23899694497646226	-0.11681872435874881	V	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
bring/V	-0.1647681805521265	-0.043146981510522917	V	1	0	1	0	1	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
budget/N	-0.08540123271929649	0.2303858005622908	N	1	0.8214421	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
build/V	-0.20660853641830212	-0.015558123005214681	V	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
building/N	-0.16059703995467248	-0.1305483854204628	N	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
bury/V	-0.13896474143725412	-0.4208499571930805	V	1	2.1336286	1	0	0	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
bus/N	-0.10073905877002588	-0.2949624311990493	N	1	1.252225	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
businesslike/J	0.4609633639847935	0.028975298041574702	J	1	5.465833	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
cafe/N	-0.10017781904652495	-0.4141379498343098	N	1	1.7769536	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
captivity/N	0.5382685951884627	-0.006844828879426938	N	1	4.079539	1	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
car/N	-0.26702970882328747	-0.14463099697933599	N	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
carlson/N	0.40273623824757837	-0.21653476674384595	N	1	3.6740735	1	0	0	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
catch/V	-0.30360707839608986	-0.17760992520423186	V	1	0.15213457	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
catholic/J	0.1295183158543648	0.053621737839775044	J	3	3.971908	0	3	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0
catholic/N	0.06090273319069438	0.0966291812117239	N	2	1.9853625	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0
catt/N	0.42743499310333116	-0.2710735744489467	N	1	3.3863914	1	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
center/N	-0.14169152114482964	-0.05931851262797391	N	3	0.7790829	1	2	0	0	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0
century/N	-0.05764392728826275	0.057439156640743054	N	1	0.9088032	1	0	0	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ceremony/N	0.17257508678475855	-0.1415842767693481	N	2	2.6524224	0	2	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
certain/J	-0.169647557349038	0.10481489206268278	J	1	0.020821294	1	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
change/V	-0.22285743383633907	0.06465537203723574	V	1	0	1	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
characteristic/J	-0.21005271567500602	0.31266063819468776	J	1	1.3386986	1	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
child/N	-0.17459502179684813	-0.007597974558412686	N	1	0	1	0	0	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
christ/N	0.10405860781214264	-0.007656288109012298	N	2	2.16507	0	2	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
christian/J	0.09777141251517141	0.1771130429196357	J	1	3.0086892	1	0	0	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
christian/N	0.053435138783034866	0.0824063086182083	N	3	2.8997009	0	3	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
church-state/N	0.4452679372865037	0.14519843921994413	N	1	4.079539	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
church/N	0.03808914721563733	0.005788993134903028	N	16	3.1745977	11	5	0	11	2	0	3	0	0	0	0	0	4	1	0	0	0	0	0	0
circle/N	-0.20323642464353486	-0.22346178454504004	N	1	0.84086025	1	0	1	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
civil/J	0.00956471268841681	0.10992862651548803	J	1	0.53424096	1	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
claimant/N	0.08204464651509008	0.49482222343840543	N	1	2.4701009	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
class/N	-0.08107443966195585	0.06841164695842696	N	1	0.6571779	1	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
classical/J	-0.1759964471649235	0.33523054652696277	J	1	1.594632	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
clergyman/N	0.2603162990948538	0.11429615965071764	N	1	2.6326196	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
climb/V	-0.240179417230587	-0.33254009973347254	V	2	1.7281634	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0
co-optation/N	0.27990910723322293	0.33245251364652706	N	1	4.3026824	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
cognizance/N	0.5026119827571075	0.10171346548870304	N	1	4.079539	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
collapse/V	-0.06321430788894328	-0.447032719315824	V	1	2.2077365	1	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
come/V	-0.19604230788589913	-0.11704936584957974	V	1	0	1	0	0	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
commitment/N	0.17659744666236457	0.13672455243065038	N	1	2.5453632	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
committee/N	0.006447023151147932	0.005301217275130709	N	1	1.3143995	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
communion/N	0.30541805240771774	0.2619370693379459	N	1	2.5754614	1	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
complete/J	-0.24928393280537814	0.09465762592622022	J	1	0	1	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
complete/V	0.011306786524568218	-0.05353979249534879	V	1	1.3549591	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
concern/N	-0.10602648287687623	0.17477073623181483	N	2	1.0963852	0	2	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
conclave/N	0.4706916165224827	-0.12007688231026577	N	1	4.079539	1	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
condemn/V	0.22939132272892965	0.19400656596265253	V	2	2.381632	0	2	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
condition/N	-0.1783082359591338	0.1101562101967105	N	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
conduct/N	0.1280145017067703	0.23050711634876653	N	1	2.4236944	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
confine/V	0.07271297122836926	0.41750909426130517	V	1	2.287779	1	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
conformity/N	0.23959573498552111	0.3133908742541304	N	1	3.6740735	1	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
confusion/N	0.01580856688480267	-0.22023601177872043	N	1	1.2463254	1	0	1	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
consider/V	-0.13882188102139215	0.10380721173531046	V	1	0.022333663	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
constantine/N	0.3404425911779435	-0.20565695117383626	N	1	3.6740735	1	0	0	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
constitutional/J	-0.008269167655977109	0.32520931153709853	J	1	1.8282468	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
contact/N	-0.023667707053601553	0.17670388413875343	N	1	2.000097	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
contemporary/J	-0.1953094111499563	0.2581069855747589	J	1	1.0114857	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
continence/N	0.5321454951941553	0.05083762255015881	N	1	4.772686	1	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
contraception/N	0.41383818638654424	0.1745073313913418	N	1	4.079539	1	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
conviction/N	0.10526487400229852	0.14359426398627143	N	1	1.7522609	1	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
corner/N	-0.26435308370604493	-0.19578578954209142	N	1	1.2269073	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
council/N	0.011407022140378342	0.06848072160624272	N	4	1.594632	0	4	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
country/N	-0.09927380775781464	0.037291635260356434	N	1	0	1	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
county/N	-0.047174917194597085	-0.03546254476319227	N	2	0.43408877	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0
creature/N	0.051557567317985255	-0.30280005898641355	N	2	2.6524224	2	0	1	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
crossroads/N	0.22833594346870828	-0.32034268513585673	N	1	2.5754614	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
d.-/N	0.06021624468093098	-0.10585799102159471	N	1	0.652836	1	0	0	0	0	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
dark/J	-0.29186736105403177	-0.22635709752064673	J	1	0.177566	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
david/N	-0.09311489935608916	-0.26690168126597796	N	1	1.0627791	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
deacon/N	0.3746889692440599	-0.2860445386346397	N	1	4.5495424	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
decay/N	-0.10308436142800677	0.4505749118014103	N	1	2.4701009	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
declare/V	0.026783569974298847	0.09465222481405594	V	1	1.2317265	1	0	0	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
decry/V	0.43710876582576785	0.11201695373191856	V	1	3.3863914	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
dedication/N	0.11223474624215435	0.20216234183977175	N	1	1.8823141	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
deem/V	0.13704800882073226	0.31481067418882847	V	1	2.3747907	1	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
defense/N	-0.0752819103766477	0.10347100148647367	N	1	0.80428255	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
delhi/N	0.4697365476544202	0.10943286897013196	N	1	3.8563952	1	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
demolish/V	0.4721406443911314	0.049870805283735116	V	1	4.079539	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
denomination/N	0.14917651432717915	0.21097642608652448	N	1	2.9809263	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
denominational/J	0.21951870947629018	0.34319636926227887	J	2	3.6740735	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
depict/V	0.0885936645096555	0.31865539547934607	V	1	2.757783	1	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
derive/V	-0.2670942622753555	0.27823770272095744	V	1	0.9660234	1	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
desire/V	0.14102756739858896	0.13364825338121383	V	1	2.2077365	1	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
development/N	-0.10585723398703074	0.11173521727146037	N	1	0.002849051	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
devoted/J	0.1614334046306327	-0.1893981249487061	J	1	1.8282468	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
devotion/N	0.12452979524964408	0.24849833974890423	N	2	2.5754614	0	2	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
die/V	-0.1449802058906719	-0.15266394456329416	V	1	0.5396669	1	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
different/J	-0.17894707966538484	0.10684243355808795	J	1	0.81044513	1	0	0	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
difficult/J	-0.21760417461866138	0.1332913303801601	J	1	1.1368556	1	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
discipline/N	0.01747374295193874	0.41810135463373593	N	1	2.757783	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
discussion/N	-0.09170623588528852	0.16428625150204146	N	1	0.298194	1	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
dispense/V	0.4729943411561547	0.18337577967671415	V	1	3.3863914	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
dissenter/N	0.5255229611605875	-0.0447087753593824	N	1	4.772686	1	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
distance/N	-0.3165380032434461	-0.057809633399131234	N	1	0.28404948	1	0	0	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
distinction/N	-0.04772666856306714	0.3034662042451931	N	1	1.9176534	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
do/V	-0.22992917303614202	-0.05432372722397624	V	4	0	4	0	1	0	1	0	0	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
doctor/N	-0.2995025436099646	-0.038487425171080135	N	1	0.05062192	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
door/N	-0.2741145975158783	-0.19051504079888126	N	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
draw/N	0.0497417427015488	-0.4447995699945063	N	2	3.8171744	2	0	0	0	0	0	2	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
drop/V	-0.30124685986382854	-0.1477374197838192	V	1	0.08547496	1	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
duty/N	0.0017120262244656982	0.02205576305557338	N	1	2.095095	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
early/J	-0.10870501617470951	-0.0012510853484185146	J	1	1.1423628	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
eastern/J	0.03026777266929667	0.3304089314093878	J	1	1.7769536	1	0	0	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
easy/J	-0.2669730580580569	-0.019188952260534367	J	1	0.6087375	1	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
economic/J	-0.05488408617908794	0.13707677487419653	J	1	0.8573351	1	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
effective/J	-0.068560748002303315	0.13436488197112495	J	1	1.3344069	1	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
empire/N	0.2226983667334756	-0.14429995830631628	N	1	2.521394	1	0	0	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
empty/V	0.04777776801638296	-0.43042450681227823	V	1	2.4701009	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
encourage/V	-0.11598492774092027	0.19147156417095204	V	1	1.2611405	1	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
england/N	0.04618648808305192	-0.0013886702338084692	N	12	3.0363834	4	8	0	10	1	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0
enter/V	-0.14221807032356276	-0.07564305042351986	V	1	0.51707315	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
enthral/J	0.46922358686468446	-0.013921117465319285	J	1	4.772686	1	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
entire/J	-0.25535229611675037	0.05491530765451344	J	1	0.20055553	1	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
entrance/N	-0.19955689052736264	-0.31126395137830953	N	1	0.974952	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
environs/N	0.39602428527940337	0.23136407493791888	N	1	3.6740735	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
evangelism/N	0.2595076827776555	0.22684155743391782	N	1	3.6740735	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
every/D	-0.15411954708339193	-0.022836508800543883	D	1	0.28217858	1	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
everybody/N	-0.17011665874983228	-0.23085930170730637	N	1	0.661812	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
