_id	_cws.spoor.foc10.nav.ppmi_weight.bound	_count.spoor.foc10.nav.ppmi_weight.bound	_cws.spoor.foc10.nav.ppmi_sel.bound	_count.spoor.foc10.nav.ppmi_sel.bound	_cws.spoor.foc10.nav.no_ppmi.bound	_count.spoor.foc10.nav.no_ppmi.bound	_cws.spoor.foc10.all.ppmi_weight.bound	_count.spoor.foc10.all.ppmi_weight.bound	_cws.spoor.foc10.all.ppmi_sel.bound	_count.spoor.foc10.all.ppmi_sel.bound	_cws.spoor.foc10.all.no_ppmi.bound	_count.spoor.foc10.all.no_ppmi.bound	_cws.spoor.foc5.nav.ppmi_weight.bound	_count.spoor.foc5.nav.ppmi_weight.bound	_cws.spoor.foc5.nav.ppmi_sel.bound	_count.spoor.foc5.nav.ppmi_sel.bound	_cws.spoor.foc5.nav.no_ppmi.bound	_count.spoor.foc5.nav.no_ppmi.bound	_cws.spoor.foc5.all.ppmi_weight.bound	_count.spoor.foc5.all.ppmi_weight.bound	_cws.spoor.foc5.all.ppmi_sel.bound	_count.spoor.foc5.all.ppmi_sel.bound	_cws.spoor.foc5.all.no_ppmi.bound	_count.spoor.foc5.all.no_ppmi.bound
spoor/noun/de_morgen_20040712_01_71/247	demarreer/verb;gevolgd/adj	2	demarreer/verb;gevolgd/adj	2	demarreer/verb;gevolgd/adj	2	demarreer/verb;door/prep;gevolgd/adj;in/prep;zijn/det	5	demarreer/verb;door/prep;gevolgd/adj;in/prep;zijn/det	5	demarreer/verb;door/prep;eerst/adv;gevolgd/adj;in/prep;zijn/det	6	demarreer/verb;gevolgd/adj	2	demarreer/verb;gevolgd/adj	2	demarreer/verb;gevolgd/adj	2	demarreer/verb;door/prep;gevolgd/adj;in/prep;zijn/det	5	demarreer/verb;door/prep;gevolgd/adj;in/prep;zijn/det	5	demarreer/verb;door/prep;gevolgd/adj;in/prep;zijn/det	5
spoor/noun/de_morgen_20000115_01_89/203	bijt_vast/verb;materiaal/noun;voorlopig/adj	3	bijt_vast/verb;materiaal/noun;voorlopig/adj	3	bijt_vast/verb;groep/noun;leuk/adj;materiaal/noun;voorlopig/adj	5	bijt_vast/verb;de/det;geen/det;in/prep;materiaal/noun;op/prep;van/prep;vast/part;voorlopig/adj	9	bijt_vast/verb;de/det;geen/det;in/prep;materiaal/noun;op/prep;van/prep;vast/part;voorlopig/adj	9	bijt_vast/verb;de/det;geen/det;groep/noun;in/prep;leuk/adj;materiaal/noun;op/prep;van/prep;vast/part;voorlopig/adj;zich/pron	12	bijt_vast/verb;voorlopig/adj	2	bijt_vast/verb;voorlopig/adj	2	bijt_vast/verb;groep/noun;voorlopig/adj	3	bijt_vast/verb;de/det;geen/det;voorlopig/adj	4	bijt_vast/verb;de/det;geen/det;voorlopig/adj	4	bijt_vast/verb;de/det;geen/det;groep/noun;voorlopig/adj;zich/pron	6
spoor/noun/de_morgen_20040202_01_90/199	blijf/verb	1	blijf/verb	1	autoritair/adj;bezoeker/noun;blijf/verb;minuut/noun;neem/verb	5	blijf/verb;de/det;het/det;in/prep	4	blijf/verb;de/det;het/det;in/prep	4	autoritair/adj;bezoeker/noun;blijf/verb;dan/adv;de/det;het/det;in/prep;minuut/noun;neem/verb	9	blijf/verb	1	blijf/verb	1	blijf/verb;minuut/noun	2	blijf/verb;in/prep	2	blijf/verb;in/prep	2	blijf/verb;dan/adv;in/prep;minuut/noun	4
spoor/noun/de_morgen_20021115_01_29/402	ben/verb;gering/adj	2	ben/verb;gering/adj	2	ben/verb;betekenis/noun;gering/adj	3	ben/verb;de/det;gering/adj;het/det;van/prep	5	ben/verb;de/det;gering/adj;het/det;van/prep	5	ben/verb;betekenis/noun;de/det;gering/adj;het/det;niet/adv;van/prep;voor/prep	8	ben/verb;gering/adj	2	ben/verb;gering/adj	2	ben/verb;betekenis/noun;gering/adj	3	ben/verb;gering/adj;het/det;van/prep	4	ben/verb;gering/adj;het/det;van/prep	4	ben/verb;betekenis/noun;gering/adj;het/det;niet/adv;van/prep;voor/prep	7
spoor/noun/de_morgen_19990619_01_127/44	concreet/adj;pak_DIM_dienst/noun	2	concreet/adj;pak_DIM_dienst/noun	2	breng_onder/verb;concreet/adj;pak_DIM_dienst/noun;zal/verb	4	concreet/adj;de/det;het/det;pak_DIM_dienst/noun;van/prep	5	concreet/adj;de/det;het/det;pak_DIM_dienst/noun;van/prep	5	breng_onder/verb;concreet/adj;de/det;het/det;pak_DIM_dienst/noun;van/prep;zal/verb	7	pak_DIM_dienst/noun	1	pak_DIM_dienst/noun	1	pak_DIM_dienst/noun;zal/verb	2	het/det;pak_DIM_dienst/noun;van/prep	3	het/det;pak_DIM_dienst/noun;van/prep	3	het/det;pak_DIM_dienst/noun;van/prep;zal/verb	4
spoor/noun/de_morgen_20030822_01_106/85	ben/verb	1	ben/verb	1	ben/verb;het/noun	2	ben/verb;de/det	2	ben/verb;de/det	2	ben/verb;de/det;die/det;het/noun;met/prep;tegen/prep	6	ben/verb	1	ben/verb	1	ben/verb;het/noun	2	ben/verb	1	ben/verb	1	ben/verb;het/noun	2
spoor/noun/de_morgen_20010203_01_117/383	pak_op/verb;start/verb	2	pak_op/verb;start/verb	2	graag/adj;kan/verb;pak_op/verb;radio/noun;start/verb;zal/verb	6	de/det;het/det;pak_op/verb;start/verb;van/prep;vervolgens/adv;weer/adv	7	de/det;het/det;pak_op/verb;start/verb;van/prep;vervolgens/adv;weer/adv	7	de/det;graag/adj;het/det;ik/pron;kan/verb;pak_op/verb;radio/noun;start/verb;van/prep;vervolgens/adv;weer/adv;zal/verb	12	pak_op/verb	1	pak_op/verb	1	graag/adj;pak_op/verb;zal/verb	3	het/det;pak_op/verb;van/prep;vervolgens/adv;weer/adv	5	het/det;pak_op/verb;van/prep;vervolgens/adv;weer/adv	5	graag/adj;het/det;ik/pron;pak_op/verb;van/prep;vervolgens/adv;weer/adv;zal/verb	8
spoor/noun/de_morgen_20001118_01_8/1677	ben/verb;element/noun;vals/adj	3	ben/verb;element/noun;vals/adj	3	ben/verb;element/noun;ga/verb;raar/adj;vals/adj;veel/adj;zeg/verb	7	ben/verb;element/noun;er/adv;het/det;vals/adj	5	ben/verb;element/noun;er/adv;het/det;vals/adj	5	ben/verb;element/noun;er/adv;ga/verb;het/det;hier/adv;ik/pron;niet/adv;om/prep;raar/adj;toch/adv;vals/adj;veel/adj;wel/adv;zeg/verb	15	ben/verb;vals/adj	2	ben/verb;vals/adj	2	ben/verb;ga/verb;vals/adj	3	ben/verb;er/adv;het/det;vals/adj	4	ben/verb;er/adv;het/det;vals/adj	4	ben/verb;er/adv;ga/verb;het/det;hier/adv;om/prep;vals/adj	7
spoor/noun/de_morgen_20040522_01_140/144	eenzaamheid/noun;modern/adj;op/adj;vernuft/noun;zoek/adj	5	eenzaamheid/noun;modern/adj;op/adj;vernuft/noun;zoek/adj	5	eenzaamheid/noun;ga/verb;militair/adj;modern/adj;op/adj;vernuft/noun;zoek/adj	7	de/det;eenzaamheid/noun;het/det;in/prep;modern/adj;naar/prep;op/adj;van/prep;vernuft/noun;zoek/adj	10	de/det;eenzaamheid/noun;het/det;in/prep;modern/adj;naar/prep;op/adj;van/prep;vernuft/noun;zoek/adj	10	de/det;eenzaamheid/noun;ga/verb;het/det;in/prep;militair/adj;modern/adj;naar/prep;op/adj;van/prep;vernuft/noun;zoek/adj	12	modern/adj;op/adj;zoek/adj	3	modern/adj;op/adj;zoek/adj	3	ga/verb;modern/adj;op/adj;zoek/adj	4	de/det;het/det;in/prep;modern/adj;naar/prep;op/adj;van/prep;zoek/adj	8	de/det;het/det;in/prep;modern/adj;naar/prep;op/adj;van/prep;zoek/adj	8	de/det;ga/verb;het/det;in/prep;modern/adj;naar/prep;op/adj;van/prep;zoek/adj	9
spoor/noun/de_morgen_20030610_01_84/405	juist/adj;middag/noun;pronostiek/noun;zit/verb	4	juist/adj;middag/noun;pronostiek/noun;zit/verb	4	juist/adj;middag/noun;pronostiek/noun;zit/verb	4	het/det;juist/adj;middag/noun;op/prep;pronostiek/noun;zijn/det;zit/verb	7	het/det;juist/adj;middag/noun;op/prep;pronostiek/noun;zijn/det;zit/verb	7	die/det;het/det;iedereen/pron;juist/adj;met/prep;middag/noun;op/prep;pronostiek/noun;zijn/det;zit/verb	10	juist/adj;pronostiek/noun	2	juist/adj;pronostiek/noun	2	juist/adj;pronostiek/noun	2	het/det;juist/adj;op/prep;pronostiek/noun;zijn/det	5	het/det;juist/adj;op/prep;pronostiek/noun;zijn/det	5	het/det;juist/adj;op/prep;pronostiek/noun;zijn/det	5
