_model	model.x	model.y	foc_part_of_speech	foc_weighting	foc_window	focc_sent_bound	soc_length_param	soc_window	socc_length	tokens	type	stress
zwart.foc10.nav.noweight.nobound.soc10.focc	-0.1104122129883228	0.1752738514764684	nav	noweight	10	nobound	focc	10	640	277	zwart	0.23095168131568325
zwart.foc10.all.weight.nobound.soc4.5000	0.19709778786150853	-0.22829366797704992	all	weight	10	nobound	5000	4	5000	298	zwart	0.22708580449043592
zwart.foc10.all.weight.nobound.soc4.10000	0.19765691511295214	-0.22850682552750107	all	weight	10	nobound	10000	4	10000	298	zwart	0.22477492770830046
zwart.foc10.all.weight.nobound.soc4.focc	0.33142813247860475	0.25627647785649077	all	weight	10	nobound	focc	4	793	298	zwart	0.20085686943734468
zwart.foc10.all.weight.nobound.soc10.5000	0.10103470613910971	-0.17038873885843495	all	weight	10	nobound	5000	10	5000	298	zwart	0.2218212707097501
zwart.foc10.all.weight.nobound.soc10.10000	0.0936777302844679	-0.16814116304399296	all	weight	10	nobound	10000	10	10000	298	zwart	0.21932227844991467
zwart.foc10.all.weight.nobound.soc10.focc	0.3027499802111199	0.16524563144513205	all	weight	10	nobound	focc	10	793	298	zwart	0.19306682526677935
zwart.foc10.all.selection.nobound.soc4.5000	0.19709778786150853	-0.22829366797704992	all	selection	10	nobound	5000	4	5000	298	zwart	0.22708580449043592
zwart.foc10.all.selection.nobound.soc4.10000	0.19765691511295214	-0.22850682552750107	all	selection	10	nobound	10000	4	10000	298	zwart	0.22477492770830046
zwart.foc10.all.selection.nobound.soc4.focc	0.33142813247860475	0.25627647785649077	all	selection	10	nobound	focc	4	793	298	zwart	0.20085686943734468
zwart.foc10.all.selection.nobound.soc10.5000	0.10103470613910971	-0.17038873885843495	all	selection	10	nobound	5000	10	5000	298	zwart	0.2218212707097501
zwart.foc10.all.selection.nobound.soc10.10000	0.0936777302844679	-0.16814116304399296	all	selection	10	nobound	10000	10	10000	298	zwart	0.21932227844991467
zwart.foc10.all.selection.nobound.soc10.focc	0.3027499802111199	0.16524563144513205	all	selection	10	nobound	focc	10	793	298	zwart	0.19306682526677935
zwart.foc10.all.noweight.nobound.soc4.5000	0.19709778786150853	-0.22829366797704992	all	noweight	10	nobound	5000	4	5000	298	zwart	0.22708580449043592
zwart.foc10.all.noweight.nobound.soc4.10000	0.19765691511295214	-0.22850682552750107	all	noweight	10	nobound	10000	4	10000	298	zwart	0.22477492770830046
zwart.foc10.all.noweight.nobound.soc4.focc	0.33142813247860475	0.25627647785649077	all	noweight	10	nobound	focc	4	793	298	zwart	0.20085686943734468
zwart.foc10.all.noweight.nobound.soc10.5000	0.10103470613910971	-0.17038873885843495	all	noweight	10	nobound	5000	10	5000	298	zwart	0.2218212707097501
zwart.foc10.all.noweight.nobound.soc10.10000	0.0936777302844679	-0.16814116304399296	all	noweight	10	nobound	10000	10	10000	298	zwart	0.21932227844991467
zwart.foc10.all.noweight.nobound.soc10.focc	0.3027499802111199	0.16524563144513205	all	noweight	10	nobound	focc	10	793	298	zwart	0.19306682526677935
