_model	model.x	model.y	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
goedkoop.foc10.all.selection.bound.min1.soc4.all.10000	0.30156394019251037	-0.011393690812648601	bound	725	all	10_10	1	selection	10000	10000	all	4_4	319	goedkoop	0.2560613106960984
goedkoop.foc10.all.selection.bound.min1.soc4.all.FOC	0.2241138380765258	-0.07290399361106417	bound	725	all	10_10	1	selection	FOC	725	all	4_4	319	goedkoop	0.2538633846052256
goedkoop.foc10.all.selection.bound.min1.soc10.all.5000	0.20474466189108156	-0.057682174577457064	bound	725	all	10_10	1	selection	5000	5000	all	10_10	319	goedkoop	0.244486149433773
goedkoop.foc10.all.selection.bound.min1.soc10.all.10000	0.19773459411255356	-0.049994786377064976	bound	725	all	10_10	1	selection	10000	10000	all	10_10	319	goedkoop	0.24886393274123478
goedkoop.foc10.all.selection.bound.min1.soc10.all.FOC	0.1612948730801614	-0.09693249999854037	bound	725	all	10_10	1	selection	FOC	725	all	10_10	319	goedkoop	0.25737656120607416
goedkoop.foc10.all.no.bound.min1.soc4.nav.5000	0.5132325292346807	-0.046863610469431896	bound	1136	all	10_10	1	no	5000	5000	nav	4_4	320	goedkoop	0.24768579414808065
goedkoop.foc10.all.no.bound.min1.soc4.nav.10000	0.5486429069145984	-0.04505264152022644	bound	1136	all	10_10	1	no	10000	10000	nav	4_4	320	goedkoop	0.24339420117122146
goedkoop.foc10.all.no.bound.min1.soc4.nav.FOC	0.420759921965446	-0.08528876764159996	bound	1136	all	10_10	1	no	FOC	1136	nav	4_4	320	goedkoop	0.24595801602893022
goedkoop.foc10.all.no.bound.min1.soc10.nav.5000	0.3941761555066131	-0.11159472742579618	bound	1136	all	10_10	1	no	5000	5000	nav	10_10	320	goedkoop	0.2447334428269002
goedkoop.foc10.all.no.bound.min1.soc10.nav.10000	0.4176286640919909	-0.10981247210259515	bound	1136	all	10_10	1	no	10000	10000	nav	10_10	320	goedkoop	0.24579498179403486
goedkoop.foc10.all.no.bound.min1.soc10.nav.FOC	0.3063533696117901	-0.14521679667281642	bound	1136	all	10_10	1	no	FOC	1136	nav	10_10	320	goedkoop	0.24605521382412002
goedkoop.foc10.all.no.bound.min1.soc4.all.5000	0.5007409698251111	-0.052827161038254106	bound	1136	all	10_10	1	no	5000	5000	all	4_4	320	goedkoop	0.24655896551180942
goedkoop.foc10.all.no.bound.min1.soc4.all.10000	0.5227633114379225	-0.04847018059780965	bound	1136	all	10_10	1	no	10000	10000	all	4_4	320	goedkoop	0.24552075402095108
goedkoop.foc10.all.no.bound.min1.soc4.all.FOC	0.42075950774821486	-0.08528872795295321	bound	1136	all	10_10	1	no	FOC	1136	all	4_4	320	goedkoop	0.24595801602893022
goedkoop.foc10.all.no.bound.min1.soc10.all.5000	0.3954063352381923	-0.11004590060076282	bound	1136	all	10_10	1	no	5000	5000	all	10_10	320	goedkoop	0.23963277076630662
goedkoop.foc10.all.no.bound.min1.soc10.all.10000	0.4015542314049569	-0.11021763411128535	bound	1136	all	10_10	1	no	10000	10000	all	10_10	320	goedkoop	0.24296739095387246
goedkoop.foc10.all.no.bound.min1.soc10.all.FOC	0.30635332381200847	-0.14521692053173701	bound	1136	all	10_10	1	no	FOC	1136	all	10_10	320	goedkoop	0.24605521382412002
goedkoop.foc5.nav.weight.bound.min1.soc4.nav.5000	-0.26413562438962224	0.09062326457031779	bound	452	nav	5_5	1	weight	5000	5000	nav	4_4	314	goedkoop	0.2622350180650856
goedkoop.foc5.nav.weight.bound.min1.soc4.nav.10000	-0.2923524851952607	0.10287442249401005	bound	452	nav	5_5	1	weight	10000	10000	nav	4_4	314	goedkoop	0.2609594751350005
goedkoop.foc5.nav.weight.bound.min1.soc4.nav.FOC	-0.3057934126897158	0.04613210262650716	bound	452	nav	5_5	1	weight	FOC	452	nav	4_4	314	goedkoop	0.2774058981786554
goedkoop.foc5.nav.weight.bound.min1.soc10.nav.5000	-0.25846431417959626	0.03729491344073363	bound	452	nav	5_5	1	weight	5000	5000	nav	10_10	314	goedkoop	0.25319773510405374
goedkoop.foc5.nav.weight.bound.min1.soc10.nav.10000	-0.27766313457231195	0.04680415171071157	bound	452	nav	5_5	1	weight	10000	10000	nav	10_10	314	goedkoop	0.25336839771981
goedkoop.foc5.nav.weight.bound.min1.soc10.nav.FOC	-0.3186471530086036	0.006787358838020788	bound	452	nav	5_5	1	weight	FOC	452	nav	10_10	314	goedkoop	0.26148808622297287
goedkoop.foc5.nav.weight.bound.min1.soc4.all.5000	-0.2577241228206227	0.08917312947626214	bound	452	nav	5_5	1	weight	5000	5000	all	4_4	314	goedkoop	0.2611728731332176
goedkoop.foc5.nav.weight.bound.min1.soc4.all.10000	-0.2769087772339128	0.09677902894381289	bound	452	nav	5_5	1	weight	10000	10000	all	4_4	314	goedkoop	0.26040417555198203
goedkoop.foc5.nav.weight.bound.min1.soc4.all.FOC	-0.30579341268925586	0.04613210269855333	bound	452	nav	5_5	1	weight	FOC	452	all	4_4	314	goedkoop	0.2774058981786554
goedkoop.foc5.nav.weight.bound.min1.soc10.all.5000	-0.2540604675848154	0.038946712687820864	bound	452	nav	5_5	1	weight	5000	5000	all	10_10	314	goedkoop	0.24987947514340264
goedkoop.foc5.nav.weight.bound.min1.soc10.all.10000	-0.26532446130284937	0.043965873246302224	bound	452	nav	5_5	1	weight	10000	10000	all	10_10	314	goedkoop	0.25153482885939465
goedkoop.foc5.nav.weight.bound.min1.soc10.all.FOC	-0.3186471530012487	0.006787358773448445	bound	452	nav	5_5	1	weight	FOC	452	all	10_10	314	goedkoop	0.26148808622297287
goedkoop.foc5.nav.selection.bound.min1.soc4.nav.5000	-0.153077733458596	0.22893595415628334	bound	452	nav	5_5	1	selection	5000	5000	nav	4_4	314	goedkoop	0.26030696916456286
goedkoop.foc5.nav.selection.bound.min1.soc4.nav.10000	-0.16305894171508403	0.24716021764133378	bound	452	nav	5_5	1	selection	10000	10000	nav	4_4	314	goedkoop	0.2572091603788997
goedkoop.foc5.nav.selection.bound.min1.soc4.nav.FOC	-0.1801572682032216	0.13993522614703618	bound	452	nav	5_5	1	selection	FOC	452	nav	4_4	314	goedkoop	0.26869686407189536
goedkoop.foc5.nav.selection.bound.min1.soc10.nav.5000	-0.1352048226893692	0.13540155550067384	bound	452	nav	5_5	1	selection	5000	5000	nav	10_10	314	goedkoop	0.2541861602416118
goedkoop.foc5.nav.selection.bound.min1.soc10.nav.10000	-0.1493507158343665	0.1482530288434524	bound	452	nav	5_5	1	selection	10000	10000	nav	10_10	314	goedkoop	0.2558590257752628
goedkoop.foc5.nav.selection.bound.min1.soc10.nav.FOC	-0.18855503563978607	0.08329880980803088	bound	452	nav	5_5	1	selection	FOC	452	nav	10_10	314	goedkoop	0.2616227852740382
goedkoop.foc5.nav.selection.bound.min1.soc4.all.5000	-0.1457950113886004	0.22540064375437338	bound	452	nav	5_5	1	selection	5000	5000	all	4_4	314	goedkoop	0.2616004282964425
goedkoop.foc5.nav.selection.bound.min1.soc4.all.10000	-0.15677559266922347	0.23394390314799288	bound	452	nav	5_5	1	selection	10000	10000	all	4_4	314	goedkoop	0.2618225016693274
goedkoop.foc5.nav.selection.bound.min1.soc4.all.FOC	-0.18015726820394878	0.13993522614235998	bound	452	nav	5_5	1	selection	FOC	452	all	4_4	314	goedkoop	0.26869686407189536
goedkoop.foc5.nav.selection.bound.min1.soc10.all.5000	-0.1299755462607529	0.13656434263112754	bound	452	nav	5_5	1	selection	5000	5000	all	10_10	314	goedkoop	0.2518332677759195
goedkoop.foc5.nav.selection.bound.min1.soc10.all.10000	-0.1410727820131077	0.13912483440595255	bound	452	nav	5_5	1	selection	10000	10000	all	10_10	314	goedkoop	0.2554825822816757
goedkoop.foc5.nav.selection.bound.min1.soc10.all.FOC	-0.18855503575032176	0.0832988187504342	bound	452	nav	5_5	1	selection	FOC	452	all	10_10	314	goedkoop	0.2616227852740382
goedkoop.foc5.nav.no.bound.min1.soc4.nav.5000	-0.07736615337348542	0.199456486331003	bound	631	nav	5_5	1	no	5000	5000	nav	4_4	320	goedkoop	0.263781152381143
goedkoop.foc5.nav.no.bound.min1.soc4.nav.10000	-0.09099657313945302	0.2264463782479676	bound	631	nav	5_5	1	no	10000	10000	nav	4_4	320	goedkoop	0.2596345945804893
goedkoop.foc5.nav.no.bound.min1.soc4.nav.FOC	-0.09658543794138266	0.10465423127292697	bound	631	nav	5_5	1	no	FOC	631	nav	4_4	320	goedkoop	0.26782024015075395
goedkoop.foc5.nav.no.bound.min1.soc10.nav.5000	-0.058997736237508126	0.11206612890140774	bound	631	nav	5_5	1	no	5000	5000	nav	10_10	320	goedkoop	0.256050308082891
