_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
herroepen.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	0.10951708963957252	0.12033811347603975	NA	NA	BOW	bound	414	all	5_5	1	selection	5000	5000	all	4_4	236	herroepen	0.26385586624095203
herroepen.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.08204668447422049	0.07955897709424659	NA	NA	BOW	bound	414	all	5_5	1	selection	FOC	223	nav	4_4	236	herroepen	0.24523739406386716
herroepen.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.08704536703344128	0.0759452625147954	NA	NA	BOW	bound	414	all	5_5	1	selection	FOC	414	all	4_4	236	herroepen	0.2484247574239513
herroepen.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	0.24596583683559206	0.16335251089203537	NA	NA	BOW	bound	562	all	5_5	1	no	5000	5000	nav	4_4	236	herroepen	0.22561197145585019
herroepen.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	0.2616052167967645	0.1897465882081403	NA	NA	BOW	bound	562	all	5_5	1	no	5000	5000	all	4_4	236	herroepen	0.25815897891356887
herroepen.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	0.1388135796714019	0.0797990917496755	NA	NA	BOW	bound	562	all	5_5	1	no	FOC	283	nav	4_4	236	herroepen	0.24686473226260988
herroepen.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	0.15612488601493696	0.08997811096606005	NA	NA	BOW	bound	562	all	5_5	1	no	FOC	562	all	4_4	236	herroepen	0.23813733578169308
herroepen.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.12106465938758044	0.09214123854931901	NA	NA	BOW	bound	224	lex	3_3	1	weight	5000	5000	nav	4_4	226	herroepen	0.25141944953344425
herroepen.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.1660992391469843	0.08500149374951252	NA	NA	BOW	bound	224	lex	3_3	1	weight	5000	5000	all	4_4	226	herroepen	0.26752943439805765
herroepen.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.12544872694963558	0.11327573906332604	NA	NA	BOW	bound	224	lex	3_3	1	weight	FOC	155	nav	4_4	226	herroepen	0.27974943037393496
herroepen.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.11699548260988826	0.09999581523698574	NA	NA	BOW	bound	224	lex	3_3	1	weight	FOC	224	all	4_4	226	herroepen	0.2787803681197018
herroepen.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.11286078593173056	0.14368025630039835	NA	NA	BOW	bound	224	lex	3_3	1	selection	5000	5000	nav	4_4	226	herroepen	0.2540566743324562
herroepen.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	-0.15442164843744222	0.127114176123659	NA	NA	BOW	bound	224	lex	3_3	1	selection	5000	5000	all	4_4	226	herroepen	0.26741192590935015
herroepen.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.11215020415371409	0.1375858277319944	NA	NA	BOW	bound	224	lex	3_3	1	selection	FOC	155	nav	4_4	226	herroepen	0.27267133545274735
herroepen.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.10366284860707507	0.12397179176973716	NA	NA	BOW	bound	224	lex	3_3	1	selection	FOC	224	all	4_4	226	herroepen	0.2719928996287686
herroepen.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	-0.11126045384277444	0.175483402088976	NA	NA	BOW	bound	255	lex	3_3	1	no	5000	5000	nav	4_4	230	herroepen	0.2587111670706456
herroepen.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	-0.1602649992954105	0.1418175337862351	NA	NA	BOW	bound	255	lex	3_3	1	no	5000	5000	all	4_4	230	herroepen	0.2734394647548356
herroepen.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.11097371970680735	0.15891352371648362	NA	NA	BOW	bound	255	lex	3_3	1	no	FOC	175	nav	4_4	230	herroepen	0.27281153127395574
herroepen.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	-0.1063901958561565	0.15097182123350295	NA	NA	BOW	bound	255	lex	3_3	1	no	FOC	255	all	4_4	230	herroepen	0.2694717309397147
