LEMMAPATH	LEMMAREL	_model	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
NA	NA	herinneren.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	BOW	bound	634	all	5_5	1	no	5000	5000	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	BOW	bound	634	all	5_5	1	no	FOC	300	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	BOW	bound	634	all	5_5	1	no	FOC	634	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	BOW	bound	129	lex	3_3	1	weight	5000	5000	nav	4_4	169	herinneren	NA
NA	NA	herinneren.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	BOW	bound	129	lex	3_3	1	weight	5000	5000	all	4_4	169	herinneren	NA
NA	NA	herinneren.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	BOW	bound	129	lex	3_3	1	weight	FOC	86	nav	4_4	169	herinneren	NA
NA	NA	herinneren.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	BOW	bound	129	lex	3_3	1	weight	FOC	129	all	4_4	169	herinneren	NA
NA	NA	herinneren.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	BOW	bound	129	lex	3_3	1	selection	5000	5000	nav	4_4	169	herinneren	NA
NA	NA	herinneren.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	BOW	bound	129	lex	3_3	1	selection	5000	5000	all	4_4	169	herinneren	NA
NA	NA	herinneren.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	BOW	bound	129	lex	3_3	1	selection	FOC	86	nav	4_4	169	herinneren	NA
NA	NA	herinneren.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	BOW	bound	129	lex	3_3	1	selection	FOC	129	all	4_4	169	herinneren	NA
NA	NA	herinneren.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	BOW	bound	239	lex	3_3	1	no	5000	5000	nav	4_4	212	herinneren	NA
NA	NA	herinneren.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	BOW	bound	239	lex	3_3	1	no	5000	5000	all	4_4	212	herinneren	NA
NA	NA	herinneren.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	BOW	bound	239	lex	3_3	1	no	FOC	170	nav	4_4	212	herinneren	NA
NA	NA	herinneren.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	BOW	bound	239	lex	3_3	1	no	FOC	239	all	4_4	212	herinneren	NA
NA	NA	herinneren.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	BOW	bound	226	all	3_3	1	weight	5000	5000	nav	4_4	239	herinneren	NA
NA	NA	herinneren.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	BOW	bound	226	all	3_3	1	weight	5000	5000	all	4_4	239	herinneren	NA
NA	NA	herinneren.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	BOW	bound	226	all	3_3	1	weight	FOC	86	nav	4_4	239	herinneren	NA
NA	NA	herinneren.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	BOW	bound	226	all	3_3	1	weight	FOC	226	all	4_4	239	herinneren	NA
NA	NA	herinneren.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	BOW	bound	226	all	3_3	1	selection	5000	5000	nav	4_4	239	herinneren	NA
