	id	left	target	right	file
217	herstel/verb/het_nieuwsblad_20010210_01_579/11	Aanvezelen en doubleren Beschadigd , gescheurd of aangevreten papier wordt	hersteld	door aanvezeling ( nieuw papier aan oud papier bevestigen ) of doublering ( volledig nieuw	het_nieuwsblad_20010210_01_579
218	herstel/verb/het_nieuwsblad_19990812_01_276/190	de werken aan de verkeerswisselaar E17/E40 in Zwijnaarde zijn gestart . Daar wordt het wegdek	hersteld	. Wie vanuit Brussel naar Antwerpen moet , zal over de pechstrook gevoerd worden .	het_nieuwsblad_19990812_01_276
219	herstel/verb/het_nieuwsblad_20010206_01_163/320	ervaring werd ik tweede . In de laatste ronde kreeg ik krampen , maar ik	herstelde	"snel . 	 	 Geert liep het verstandigst 	 , erkende Jesse Stroobants , de"	het_nieuwsblad_20010206_01_163
220	herstel/verb/het_nieuwsblad_20000718_01_353/255	gutste zo'n twee miljoen liter drinkwater door de leidingen . De scheur is intussen helemaal	hersteld	, de omwonenden hebben niet echt grote hinder ondervonden van de problemen . Zondag hadden	het_nieuwsblad_20000718_01_353
221	herstel/verb/het_nieuwsblad_19991126_01_337/110	de merken Microtex en Roubaix maakten het lijstje compleet . E.W. uit Halle verkocht en	herstelde	fietsen , thuis in de garage van zijn woning achter gesloten deuren . Hij was	het_nieuwsblad_19991126_01_337
222	herstel/verb/het_nieuwsblad_20021216_01_554/80	stadsrivaal en volgende tegenstander Everton . 2 . Leverkusen Bayer Leverkusen kan zich maar niet	herstellen	van zijn slechte competitiestart . Het team van coach Toppmüller greep vorig jaar nog nipt	het_nieuwsblad_20021216_01_554
223	herstel/verb/het_nieuwsblad_20020108_01_279/76	werkkamp voor de jongeren van de JNM , die de waardevolle graslanden van het gebied	herstelden	. Het relatief kleine reservaat herbergt uitzonderlijk hoge natuurwaarden . Eind november verscheen een alarmerend	het_nieuwsblad_20020108_01_279
224	herstel/verb/het_nieuwsblad_20000205_01_119/153	voetbreuk . Bart Van Renterghem en Steven De Pauw zijn geschorst . Brecht De Vriese	herstelt	van een enkelkwetsuur . De kern : Van Hauwaert , Hautekier , Van De Moortele	het_nieuwsblad_20000205_01_119
225	herstel/verb/het_nieuwsblad_20011001_01_310/224	Natuurreservaten Noord-Limburg gaat ook de oude vennen , die dichtgegroeid zijn , weer in ere	herstellen	. Deze vennen verdwenen eind jaren zestig , toen landbouwers gebruik wilden maken van deze	het_nieuwsblad_20011001_01_310
226	herstel/verb/het_nieuwsblad_20020131_01_178/396	en ik zijn geschorst , Kevin Alvarez heeft examens en Nicky Truyens geraakt allicht niet	hersteld	". Opnieuw een moeilijke opdracht dus . 	 Onthoofd Wijgmaal met moeite Wijgmaal , zonder"	het_nieuwsblad_20020131_01_178
227	herstel/verb/het_nieuwsblad_20040710_01_316/177	het geluid mocht niet uit het gebouw ontsnappen en de gevel moest in ere worden	hersteld	". Inspraakrondes 	 We hebben maximale inspraakrondes georganiseerd met de verenigingen , we hebben vergaderd"	het_nieuwsblad_20040710_01_316
228	herstel/verb/het_nieuwsblad_20040204_01_297/128	album van 2003 . Tegelijkertijd is het een ode aan alle mensen die proberen te	herstellen	wat anderen hebben kapotgemaakt . Straffe kost . ( MIC ) 8/10 De boeman Deel	het_nieuwsblad_20040204_01_297
229	herstel/verb/het_nieuwsblad_20010207_01_113/167	minuten waren dan ook volledig voor de bezoekers . Maar daarna konden wij het evenwicht	herstellen	"en zelfs de beste kansen afdwingen . Zonder ze af te maken evenwel . 	"	het_nieuwsblad_20010207_01_113
230	herstel/verb/het_nieuwsblad_19990112_01_93/30	is de geldschieter die het financiële evenwicht in het team van voorzitter Carlos Sierens kan	herstellen	. Maar ondanks deze mentale opkikker slaagden de Gentenaars er niet in een vijfde nederlaag	het_nieuwsblad_19990112_01_93
231	herstel/verb/het_nieuwsblad_20040818_01_91/236	voor de bijl zien gaan . Zo zie ik onze sterke thuisreputatie terug in ere	hersteld	... ( JVB )	het_nieuwsblad_20040818_01_91
232	herstel/verb/het_nieuwsblad_20041115_01_27/264	Even sensatie toch als Heylen de bal pardoes tegen Duerlo aantrapte . De lokale doelman	herstelde	zelf dat foutje . Onmiddellijk na de hervatting moest Raeymaekers zijn doelman op de lijn	het_nieuwsblad_20041115_01_27
233	herstel/verb/het_nieuwsblad_20010127_01_210/546	, Careel , De Grande , Melki , Verhulst . Lommel-Strombeek LOMMEL Zouaoui is volledig	hersteld	en komt terug bij de kern ten koste van Van Ruysseveldt . Kern : Davidts	het_nieuwsblad_20010127_01_210
234	herstel/verb/het_nieuwsblad_19990317_01_563/80	LUBBEEK De wetgeving voorziet dat zandwinningen , na ontginning , in hun oorspronkelijk reliëf dienen	hersteld	. Welke materialen hiervoor in aanmerking komen wordt duidelijk omschreven . In elk geval kunnen	het_nieuwsblad_19990317_01_563
235	herstel/verb/het_nieuwsblad_20031008_01_406/79	Van der Heyden is ijzersterk . Heel de familie stond ervan versteld hoe snel ze	herstelde	"na een valpartij . 	 Afgelopen jaar ben ik gevallen en heb ik mijn heup"	het_nieuwsblad_20031008_01_406
236	herstel/verb/het_nieuwsblad_20000803_01_160/39	zijn wagen , zag dinsdagnacht zijn kans schoon om dat euvel zonder veel kosten te	herstellen	. Net voor het politiecommissariaat van Koksijde stond precies dezelfde wagen . Zonder schroom futselde	het_nieuwsblad_20000803_01_160
237	herstel/verb/het_nieuwsblad_20021028_01_10/706	fruit voorhanden en we hebben de zon al te lang moeten missen . Ook wie	herstelt	van ziekte of er een slecht voedingspatroon op na houdt , kan vitamines best gebruiken	het_nieuwsblad_20021028_01_10
238	herstel/verb/het_nieuwsblad_20010801_01_280/172	. Daarbij zou onder meer de centrale griffie afgebroken worden , zodat de oorspronkelijke wintertuin	hersteld	wordt . Wat er met het huidige Hof van Beroep aan de Waalsekaai gaat gebeuren	het_nieuwsblad_20010801_01_280
239	herstel/verb/het_nieuwsblad_20030116_01_601/142	De eerste twee restauratiefasen , van de in totaal zes fasen , voorzien in het	herstellen	van de hoofd- en zijdaken . Omdat de kerk beschermd is als monument doet het	het_nieuwsblad_20030116_01_601
