	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co
geestig/adj/nrc_handelsblad_20000818_63/2166/R15												
geestig/adj/nrc_handelsblad_20011130_154/298/L0	geestig/adj/nrc_handelsblad_20011130_154/298	L0	en	vg	en/vg	en	True	L	1			
geestig/adj/nrc_handelsblad_20011130_154/298/L1	geestig/adj/nrc_handelsblad_20011130_154/298	L1	krasserig	adj	krasserig/adj	krasserig	True	L	2			
geestig/adj/nrc_handelsblad_20011130_154/298/L2	geestig/adj/nrc_handelsblad_20011130_154/298	L2	,	punct	,/punct	,	True	L	3			
geestig/adj/nrc_handelsblad_20011130_154/298/L3	geestig/adj/nrc_handelsblad_20011130_154/298	L3	schrijf	verb	schrijf/verb	schrijft	True	L	4	1.6023715	160883.0	121.0
geestig/adj/nrc_handelsblad_20011130_154/298/L4	geestig/adj/nrc_handelsblad_20011130_154/298	L4	en	vg	en/vg	en	True	L	5			
geestig/adj/nrc_handelsblad_20011130_154/298/L5	geestig/adj/nrc_handelsblad_20011130_154/298	L5	teken	verb	teken/verb	tekent	True	L	6	0.5384963	38665.0	10.0
geestig/adj/nrc_handelsblad_20011130_154/298/L6	geestig/adj/nrc_handelsblad_20011130_154/298	L6	Janosch	name	Janosch/name	Janosch	True	L	7			
geestig/adj/nrc_handelsblad_20011130_154/298/L7	geestig/adj/nrc_handelsblad_20011130_154/298	L7	sentence_delimiter	none	none	<sentence>	none	L	8			
geestig/adj/nrc_handelsblad_20011130_154/298/L8	geestig/adj/nrc_handelsblad_20011130_154/298	L8	sentence_delimiter	none	none	</sentence>	none	L	9			
geestig/adj/nrc_handelsblad_20011130_154/298/L9	geestig/adj/nrc_handelsblad_20011130_154/298	L9	.	punct	./punct	.	False	L	10			
geestig/adj/nrc_handelsblad_20011130_154/298/L10	geestig/adj/nrc_handelsblad_20011130_154/298	L10	)	punct	)/punct	)	False	L	11			
geestig/adj/nrc_handelsblad_20011130_154/298/L11	geestig/adj/nrc_handelsblad_20011130_154/298	L11	1978	noun	1978/noun	1978	False	L	12			
geestig/adj/nrc_handelsblad_20011130_154/298/L12	geestig/adj/nrc_handelsblad_20011130_154/298	L12	(	punct	(/punct	(	False	L	13			
geestig/adj/nrc_handelsblad_20011130_154/298/L13	geestig/adj/nrc_handelsblad_20011130_154/298	L13	Panama	name	Panama/name	Panama	False	L	14			
geestig/adj/nrc_handelsblad_20011130_154/298/L14	geestig/adj/nrc_handelsblad_20011130_154/298	L14	ben	verb	ben/verb	is	False	L	15	0.38828874	9938754.0	2217.0
geestig/adj/nrc_handelsblad_20011130_154/298/L15												
geestig/adj/nrc_handelsblad_20011130_154/298/R0	geestig/adj/nrc_handelsblad_20011130_154/298	R0	,	punct	,/punct	,	True	R	1			
geestig/adj/nrc_handelsblad_20011130_154/298/R1	geestig/adj/nrc_handelsblad_20011130_154/298	R1	nooit	adv	nooit/adv	nooit	True	R	2	0.20941494	235945.0	44.0
geestig/adj/nrc_handelsblad_20011130_154/298/R2	geestig/adj/nrc_handelsblad_20011130_154/298	R2	zoet	adj	zoet/adj	zoet	True	R	3	-0.10345482	7355.0	1.0
geestig/adj/nrc_handelsblad_20011130_154/298/R3	geestig/adj/nrc_handelsblad_20011130_154/298	R3	,	punct	,/punct	,	True	R	4			
geestig/adj/nrc_handelsblad_20011130_154/298/R4	geestig/adj/nrc_handelsblad_20011130_154/298	R4	nooit	adv	nooit/adv	nooit	True	R	5	0.20941494	235945.0	44.0
geestig/adj/nrc_handelsblad_20011130_154/298/R5	geestig/adj/nrc_handelsblad_20011130_154/298	R5	kinderachtig	adj	kinderachtig/adj	kinderachtig	True	R	6	3.0824127	1516.0	5.0
geestig/adj/nrc_handelsblad_20011130_154/298/R6	geestig/adj/nrc_handelsblad_20011130_154/298	R6	.	punct	./punct	.	True	R	7			
geestig/adj/nrc_handelsblad_20011130_154/298/R7	geestig/adj/nrc_handelsblad_20011130_154/298	R7	sentence_delimiter	none	none	</sentence>	none	R	8			
geestig/adj/nrc_handelsblad_20011130_154/298/R8	geestig/adj/nrc_handelsblad_20011130_154/298	R8	sentence_delimiter	none	none	<sentence>	none	R	9			
geestig/adj/nrc_handelsblad_20011130_154/298/R9	geestig/adj/nrc_handelsblad_20011130_154/298	R9	zijn	det	zijn/det	Zijn	False	R	10	0.45009774	2164588.0	515.0
geestig/adj/nrc_handelsblad_20011130_154/298/R10	geestig/adj/nrc_handelsblad_20011130_154/298	R10	Kleine	name	Kleine/name	Kleine	False	R	11			
geestig/adj/nrc_handelsblad_20011130_154/298/R11	geestig/adj/nrc_handelsblad_20011130_154/298	R11	Beer	name	Beer/name	Beer	False	R	12			
geestig/adj/nrc_handelsblad_20011130_154/298/R12	geestig/adj/nrc_handelsblad_20011130_154/298	R12	en	vg	en/vg	en	False	R	13			
geestig/adj/nrc_handelsblad_20011130_154/298/R13	geestig/adj/nrc_handelsblad_20011130_154/298	R13	Kleine	name	Kleine/name	Kleine	False	R	14			
