_model	model.x	model.y	foc_BOUNDARIES	foc_FOC-POS	foc_FOC-WIN	foc_PPMI	foc_context_words	foc_minimum_features	soc_LENGTH	soc_LENGTH_num	soc_SOC-POS	soc_SOC-WIN	tokens	type	stress
hachelijk.foc10.all.weight.bound.min1.soc4.nav.FOC	-0.15674747317791354	-0.0902532028782796	bound	all	10_10	weight	658	1	FOC	658	nav	4_4	239	hachelijk	0.23781185693891935
hachelijk.foc10.all.weight.bound.min1.soc10.nav.5000	-0.19067562491387016	-0.04980299251343041	bound	all	10_10	weight	658	1	5000	5000	nav	10_10	239	hachelijk	0.22237442305554822
hachelijk.foc10.all.weight.bound.min1.soc10.nav.10000	-0.19959263176682276	-0.05559103423223218	bound	all	10_10	weight	658	1	10000	10000	nav	10_10	239	hachelijk	0.2237457752855673
hachelijk.foc10.all.weight.bound.min1.soc10.nav.FOC	-0.1618801878676167	-0.06921991695096046	bound	all	10_10	weight	658	1	FOC	658	nav	10_10	239	hachelijk	0.226554362595006
hachelijk.foc10.all.weight.bound.min1.soc4.all.5000	-0.1857817074337196	-0.0631073700218445	bound	all	10_10	weight	658	1	5000	5000	all	4_4	239	hachelijk	0.24306104454691474
hachelijk.foc10.all.weight.bound.min1.soc4.all.10000	-0.1899879345133994	-0.07467994751140816	bound	all	10_10	weight	658	1	10000	10000	all	4_4	239	hachelijk	0.23886181054410024
hachelijk.foc10.all.weight.bound.min1.soc4.all.FOC	-0.1567474709811393	-0.09025320228089263	bound	all	10_10	weight	658	1	FOC	658	all	4_4	239	hachelijk	0.23781185693891935
hachelijk.foc10.all.weight.bound.min1.soc10.all.5000	-0.18585255229649056	-0.047001406612383	bound	all	10_10	weight	658	1	5000	5000	all	10_10	239	hachelijk	0.22318375839943427
hachelijk.foc10.all.weight.bound.min1.soc10.all.10000	-0.19727380503582811	-0.04837037666554412	bound	all	10_10	weight	658	1	10000	10000	all	10_10	239	hachelijk	0.2206125652123494
hachelijk.foc10.all.weight.bound.min1.soc10.all.FOC	-0.16188018550483285	-0.0692199162529087	bound	all	10_10	weight	658	1	FOC	658	all	10_10	239	hachelijk	0.226554362595006
hachelijk.foc10.all.selection.bound.min1.soc4.nav.5000	0.41796047888788207	-0.03859498731000755	bound	all	10_10	selection	658	1	5000	5000	nav	4_4	239	hachelijk	0.2223797980583518
hachelijk.foc10.all.selection.bound.min1.soc4.nav.10000	0.4179556480090484	-0.052809534597472216	bound	all	10_10	selection	658	1	10000	10000	nav	4_4	239	hachelijk	0.2180571472942356
