_model	model.x	model.y	foc_context_words	foc_minimum_features	foc_FOC-POS	foc_BOUNDARIES	foc_PPMI	foc_FOC-WIN	soc_LENGTH	soc_LENGTH_num	soc_SOC-POS	soc_SOC-WIN	tokens	type	stress
blik.foc10.all.ppmi_sel.bound.min1.soc4.all.foc	0.3756668197168285	-0.24735838701271182	745	1	all	bound	ppmi_sel	10_10	foc	745	all	4_4	280	blik	0.23680809939344605
blik.foc10.all.ppmi_sel.bound.min1.soc10.all.5000	0.1590959292361223	0.05505030659895459	745	1	all	bound	ppmi_sel	10_10	5000	5000	all	10_10	280	blik	0.24251991650191806
blik.foc10.all.ppmi_sel.bound.min1.soc10.all.10000	0.18945042684060337	0.05278902229195633	745	1	all	bound	ppmi_sel	10_10	10000	10000	all	10_10	280	blik	0.2433208490792774
blik.foc10.all.ppmi_sel.bound.min1.soc10.all.foc	0.2635911087605009	-0.14285881389429897	745	1	all	bound	ppmi_sel	10_10	foc	745	all	10_10	280	blik	0.2378219067885359
blik.foc10.all.no_ppmi.bound.min1.soc4.nav.5000	0.29608512436739964	0.35029087109396273	1101	1	all	bound	no_ppmi	10_10	5000	5000	nav	4_4	280	blik	0.22484343793246
blik.foc10.all.no_ppmi.bound.min1.soc4.nav.10000	0.3247957100492362	0.5350685213579794	1101	1	all	bound	no_ppmi	10_10	10000	10000	nav	4_4	280	blik	0.19077886672360653
blik.foc10.all.no_ppmi.bound.min1.soc4.nav.foc	0.4658880139083001	0.23997911912503192	1101	1	all	bound	no_ppmi	10_10	foc	1101	nav	4_4	280	blik	0.218268535666283
blik.foc10.all.no_ppmi.bound.min1.soc10.nav.5000	0.2014163308700246	0.2362673390833477	1101	1	all	bound	no_ppmi	10_10	5000	5000	nav	10_10	280	blik	0.2276964200403271
blik.foc10.all.no_ppmi.bound.min1.soc10.nav.10000	0.25857107285207137	0.23282305618188695	1101	1	all	bound	no_ppmi	10_10	10000	10000	nav	10_10	280	blik	0.22084913877011964
blik.foc10.all.no_ppmi.bound.min1.soc10.nav.foc	0.29158549593643635	0.28568779139796946	1101	1	all	bound	no_ppmi	10_10	foc	1101	nav	10_10	280	blik	0.22255978469717078
blik.foc10.all.no_ppmi.bound.min1.soc4.all.5000	0.32576867416526384	0.2766133102848583	1101	1	all	bound	no_ppmi	10_10	5000	5000	all	4_4	280	blik	0.22857362553243368
blik.foc10.all.no_ppmi.bound.min1.soc4.all.10000	0.44346881305468167	0.27508039644280385	1101	1	all	bound	no_ppmi	10_10	10000	10000	all	4_4	280	blik	0.21903505666719364
blik.foc10.all.no_ppmi.bound.min1.soc4.all.foc	0.39110298413844524	0.2792115889301336	1101	1	all	bound	no_ppmi	10_10	foc	1101	all	4_4	280	blik	0.2181799696146301
blik.foc10.all.no_ppmi.bound.min1.soc10.all.5000	0.1996773755797802	0.2667329736951358	1101	1	all	bound	no_ppmi	10_10	5000	5000	all	10_10	280	blik	0.22773824040044624
blik.foc10.all.no_ppmi.bound.min1.soc10.all.10000	0.22123329070682982	0.2760122865804795	1101	1	all	bound	no_ppmi	10_10	10000	10000	all	10_10	280	blik	0.22513336126501615
blik.foc10.all.no_ppmi.bound.min1.soc10.all.foc	0.2662392333835611	0.26606147937063007	1101	1	all	bound	no_ppmi	10_10	foc	1101	all	10_10	280	blik	0.22235459413012693
blik.foc5.nav.ppmi_weight.bound.min1.soc4.nav.5000	-0.22559581203763582	-0.12522908298953156	395	1	nav	bound	ppmi_weight	5_5	5000	5000	nav	4_4	261	blik	0.2690536907121536
blik.foc5.nav.ppmi_weight.bound.min1.soc4.nav.10000	-0.3838584485349057	0.04667763170949486	395	1	nav	bound	ppmi_weight	5_5	10000	10000	nav	4_4	261	blik	0.2617067784032847
blik.foc5.nav.ppmi_weight.bound.min1.soc4.nav.foc	-0.1933802973963069	-0.25380207552916956	395	1	nav	bound	ppmi_weight	5_5	foc	395	nav	4_4	261	blik	0.2957458477220392
blik.foc5.nav.ppmi_weight.bound.min1.soc10.nav.5000	-0.3731475801290169	0.0841849552679198	395	1	nav	bound	ppmi_weight	5_5	5000	5000	nav	10_10	261	blik	0.26109942913542467
blik.foc5.nav.ppmi_weight.bound.min1.soc10.nav.10000	-0.4282065031192184	0.11601939932172518	395	1	nav	bound	ppmi_weight	5_5	10000	10000	nav	10_10	261	blik	0.2569608563188045
blik.foc5.nav.ppmi_weight.bound.min1.soc10.nav.foc	-0.2590434474082161	-0.24715897586121255	395	1	nav	bound	ppmi_weight	5_5	foc	395	nav	10_10	261	blik	0.2805651803575457
blik.foc5.nav.ppmi_weight.bound.min1.soc4.all.5000	-0.2375077431693749	-0.12385272192619648	395	1	nav	bound	ppmi_weight	5_5	5000	5000	all	4_4	261	blik	0.2695104705702466
blik.foc5.nav.ppmi_weight.bound.min1.soc4.all.10000	-0.22275146814034053	-0.144919970250915	395	1	nav	bound	ppmi_weight	5_5	10000	10000	all	4_4	261	blik	0.26363721191884437
blik.foc5.nav.ppmi_weight.bound.min1.soc4.all.foc	-0.21351004876172483	-0.26499114918660027	395	1	nav	bound	ppmi_weight	5_5	foc	395	all	4_4	261	blik	0.2960972202929633
blik.foc5.nav.ppmi_weight.bound.min1.soc10.all.5000	-0.21901214392065205	-0.07427226640465112	395	1	nav	bound	ppmi_weight	5_5	5000	5000	all	10_10	261	blik	0.263778923679886
blik.foc5.nav.ppmi_weight.bound.min1.soc10.all.10000	-0.40513820609428836	0.13664228567125808	395	1	nav	bound	ppmi_weight	5_5	10000	10000	all	10_10	261	blik	0.26325315155132234
blik.foc5.nav.ppmi_weight.bound.min1.soc10.all.foc	-0.23856632474384193	-0.2418259868129371	395	1	nav	bound	ppmi_weight	5_5	foc	395	all	10_10	261	blik	0.2820075806957192
blik.foc5.nav.ppmi_sel.bound.min1.soc4.nav.5000	-0.30350801611939626	-0.08245209667135324	395	1	nav	bound	ppmi_sel	5_5	5000	5000	nav	4_4	261	blik	0.2687417406709704
blik.foc5.nav.ppmi_sel.bound.min1.soc4.nav.10000	-0.2872433267657406	-0.09211101643403312	395	1	nav	bound	ppmi_sel	5_5	10000	10000	nav	4_4	261	blik	0.26069309331028107
blik.foc5.nav.ppmi_sel.bound.min1.soc4.nav.foc	-0.23753335629015662	-0.23005651514226738	395	1	nav	bound	ppmi_sel	5_5	foc	395	nav	4_4	261	blik	0.2865573473900563
blik.foc5.nav.ppmi_sel.bound.min1.soc10.nav.5000	-0.3470327530803745	0.07127542530216562	395	1	nav	bound	ppmi_sel	5_5	5000	5000	nav	10_10	261	blik	0.2653350592804572
blik.foc5.nav.ppmi_sel.bound.min1.soc10.nav.10000	-0.43100030004129586	0.021399163584857717	395	1	nav	bound	ppmi_sel	5_5	10000	10000	nav	10_10	261	blik	0.25897870431656705
blik.foc5.nav.ppmi_sel.bound.min1.soc10.nav.foc	-0.2962046313054175	-0.18820328070813233	395	1	nav	bound	ppmi_sel	5_5	foc	395	nav	10_10	261	blik	0.27465553169333695
blik.foc5.nav.ppmi_sel.bound.min1.soc4.all.5000	-0.22857197027146509	-0.060886022689697186	395	1	nav	bound	ppmi_sel	5_5	5000	5000	all	4_4	261	blik	0.26928690528542637
blik.foc5.nav.ppmi_sel.bound.min1.soc4.all.10000	-0.34077152610207484	-0.09698615864929194	395	1	nav	bound	ppmi_sel	5_5	10000	10000	all	4_4	261	blik	0.2641168299114231
blik.foc5.nav.ppmi_sel.bound.min1.soc4.all.foc	-0.2874014068262494	-0.24636117177560649	395	1	nav	bound	ppmi_sel	5_5	foc	395	all	4_4	261	blik	0.2875340775484364
blik.foc5.nav.ppmi_sel.bound.min1.soc10.all.5000	-0.22143114255454557	-0.04825206167079157	395	1	nav	bound	ppmi_sel	5_5	5000	5000	all	10_10	261	blik	0.265537223994881
blik.foc5.nav.ppmi_sel.bound.min1.soc10.all.10000	-0.2963130119680857	-0.05612053339180173	395	1	nav	bound	ppmi_sel	5_5	10000	10000	all	10_10	261	blik	0.2655449353061543
