_id	_cws.heet.foc10.nav.weight.bound	_count.heet.foc10.nav.weight.bound	_cws.heet.foc10.nav.selection.bound	_count.heet.foc10.nav.selection.bound	_cws.heet.foc10.nav.no.bound	_count.heet.foc10.nav.no.bound	_cws.heet.foc10.all.weight.bound	_count.heet.foc10.all.weight.bound	_cws.heet.foc10.all.selection.bound	_count.heet.foc10.all.selection.bound	_cws.heet.foc10.all.no.bound	_count.heet.foc10.all.no.bound	_cws.heet.foc5.nav.weight.bound	_count.heet.foc5.nav.weight.bound	_cws.heet.foc5.nav.selection.bound	_count.heet.foc5.nav.selection.bound	_cws.heet.foc5.nav.no.bound	_count.heet.foc5.nav.no.bound	_cws.heet.foc5.all.weight.bound	_count.heet.foc5.all.weight.bound	_cws.heet.foc5.all.selection.bound	_count.heet.foc5.all.selection.bound	_cws.heet.foc5.all.no.bound	_count.heet.foc5.all.no.bound
heet/adj/de_morgen_20030731_01_81/670	herfst/noun;voorspel/verb	2	herfst/noun;voorspel/verb	2	herfst/noun;veel/adj;voorspel/verb;week/noun	4	dan/adv;een/det;herfst/noun;voorspel/verb	4	dan/adv;een/det;herfst/noun;voorspel/verb	4	aan/part;al/adv;dan/adv;een/det;herfst/noun;ook/adv;veel/adj;voorspel/verb;week/noun	9	herfst/noun;voorspel/verb	2	herfst/noun;voorspel/verb	2	herfst/noun;veel/adj;voorspel/verb	3	een/det;herfst/noun;voorspel/verb	3	een/det;herfst/noun;voorspel/verb	3	een/det;herfst/noun;veel/adj;voorspel/verb	4
heet/adj/de_morgen_19991218_01_4/584	adem/noun;bedrijvigheid/noun;ben/verb;fiscus/noun;lucratief/adj;nek/noun	6	adem/noun;bedrijvigheid/noun;ben/verb;fiscus/noun;lucratief/adj;nek/noun	6	adem/noun;bedrijvigheid/noun;ben/verb;fiscus/noun;lucratief/adj;nek/noun;vraag/noun	7	adem/noun;bedrijvigheid/noun;ben/verb;de/det;fiscus/noun;in/prep;je/det;lucratief/adj;met/prep;nek/noun;wel/adv;zoveel/det	12	adem/noun;bedrijvigheid/noun;ben/verb;de/det;fiscus/noun;in/prep;je/det;lucratief/adj;met/prep;nek/noun;wel/adv;zoveel/det	12	adem/noun;bedrijvigheid/noun;ben/verb;de/det;fiscus/noun;in/prep;je/det;lucratief/adj;met/prep;nek/noun;van/prep;vraag/noun;wel/adv;zoveel/det	14	adem/noun;ben/verb;fiscus/noun;lucratief/adj	4	adem/noun;ben/verb;fiscus/noun;lucratief/adj	4	adem/noun;ben/verb;fiscus/noun;lucratief/adj	4	adem/noun;ben/verb;de/det;fiscus/noun;in/prep;lucratief/adj;met/prep;wel/adv	8	adem/noun;ben/verb;de/det;fiscus/noun;in/prep;lucratief/adj;met/prep;wel/adv	8	adem/noun;ben/verb;de/det;fiscus/noun;in/prep;lucratief/adj;met/prep;van/prep;wel/adv	9
heet/adj/de_morgen_20010113_01_206/676	ben/verb;druppel/noun;plaat/noun	3	ben/verb;druppel/noun;plaat/noun	3	ben/verb;druppel/noun;initiatief/noun;plaat/noun;vraag/noun	5	ben/verb;de/det;druppel/noun;een/det;het/det;hoever/adv;in/prep;op/prep;plaat/noun	9	ben/verb;de/det;druppel/noun;een/det;het/det;hoever/adv;in/prep;op/prep;plaat/noun	9	ben/verb;de/det;druppel/noun;een/det;het/det;hoever/adv;in/prep;initiatief/noun;op/prep;plaat/noun;vraag/noun	11	ben/verb;druppel/noun;plaat/noun	3	ben/verb;druppel/noun;plaat/noun	3	ben/verb;druppel/noun;initiatief/noun;plaat/noun	4	ben/verb;druppel/noun;een/det;op/prep;plaat/noun	5	ben/verb;druppel/noun;een/det;op/prep;plaat/noun	5	ben/verb;druppel/noun;een/det;initiatief/noun;op/prep;plaat/noun	6
heet/adj/de_morgen_20041113_01_70/1151		0		0	angst/noun;terrorist/noun	2	de/det	1	de/det	1	angst/noun;de/det;hij/pron;terrorist/noun;uit/part;voor/prep	6		0		0	terrorist/noun	1	de/det	1	de/det	1	de/det;terrorist/noun;voor/prep	3
heet/adj/de_morgen_20030920_01_126/100	abnormaal/adj;weekeinde/noun;word/verb	3	abnormaal/adj;weekeinde/noun;word/verb	3	abnormaal/adj;weekeinde/noun;word/verb	3	abnormaal/adj;het/det;nog/adv;weekeinde/noun;word/verb	5	abnormaal/adj;het/det;nog/adv;weekeinde/noun;word/verb	5	abnormaal/adj;dit/det;het/det;nog/adv;ook/adv;weekeinde/noun;word/verb	7	abnormaal/adj;word/verb	2	abnormaal/adj;word/verb	2	abnormaal/adj;word/verb	2	abnormaal/adj;het/det;nog/adv;word/verb	4	abnormaal/adj;het/det;nog/adv;word/verb	4	abnormaal/adj;het/det;nog/adv;word/verb	4
heet/adj/de_morgen_20031025_01_58/648	glas/noun;voel_aan/verb	2	glas/noun;voel_aan/verb	2	glas/noun;voel_aan/verb	2	glas/noun;het/det;voel_aan/verb	3	glas/noun;het/det;voel_aan/verb	3	aan/part;glas/noun;het/det;voel_aan/verb	4	glas/noun;voel_aan/verb	2	glas/noun;voel_aan/verb	2	glas/noun;voel_aan/verb	2	glas/noun;het/det;voel_aan/verb	3	glas/noun;het/det;voel_aan/verb	3	aan/part;glas/noun;het/det;voel_aan/verb	4
heet/adj/de_morgen_20010203_01_164/2840	geef_door/verb;word/verb	2	geef_door/verb;word/verb	2	functie/noun;geef_door/verb;wil/verb;word/verb	4	die/det;een/det;geef_door/verb;word/verb	4	die/det;een/det;geef_door/verb;word/verb	4	als/prep;die/det;een/det;functie/noun;geef_door/verb;ik/pron;nu/adv;wil/verb;word/verb	9	geef_door/verb;word/verb	2	geef_door/verb;word/verb	2	functie/noun;geef_door/verb;word/verb	3	die/det;een/det;geef_door/verb;word/verb	4	die/det;een/det;geef_door/verb;word/verb	4	als/prep;die/det;een/det;functie/noun;geef_door/verb;word/verb	6
heet/adj/de_morgen_20010707_01_157/182	beetje/noun;dreig/verb;vlucht/verb;voet/noun;word/verb	5	beetje/noun;dreig/verb;vlucht/verb;voet/noun;word/verb	5	beetje/noun;dreig/verb;vlucht/verb;voet/noun;word/verb	5	beetje/noun;de/det;dreig/verb;een/det;het/det;met/prep;onder/prep;op/prep;telkens/adv;vlucht/verb;voet/noun;word/verb	12	beetje/noun;de/det;dreig/verb;een/det;het/det;met/prep;onder/prep;op/prep;telkens/adv;vlucht/verb;voet/noun;word/verb	12	beetje/noun;de/det;dreig/verb;een/det;het/det;met/prep;onder/prep;op/prep;telkens/adv;vlucht/verb;voet/noun;word/verb	12	beetje/noun;dreig/verb;voet/noun	3	beetje/noun;dreig/verb;voet/noun	3	beetje/noun;dreig/verb;voet/noun	3	beetje/noun;de/det;dreig/verb;een/det;het/det;onder/prep;op/prep;voet/noun	8	beetje/noun;de/det;dreig/verb;een/det;het/det;onder/prep;op/prep;voet/noun	8	beetje/noun;de/det;dreig/verb;een/det;het/det;onder/prep;op/prep;voet/noun	8
heet/adj/de_morgen_20001014_01_45/460	Celsius/noun;graad/noun;melk/noun;versie/noun;verwarm/verb;word/verb	6	Celsius/noun;graad/noun;melk/noun;versie/noun;verwarm/verb;word/verb	6	Celsius/noun;Frans/adj;graad/noun;mag/verb;melk/noun;versie/noun;verwarm/verb;word/verb	8	Celsius/noun;de/det;graad/noun;melk/noun;niet/adv;versie/noun;verwarm/verb;word/verb	8	Celsius/noun;de/det;graad/noun;melk/noun;niet/adv;versie/noun;verwarm/verb;word/verb	8	Celsius/noun;Frans/adj;de/det;graad/noun;mag/verb;melk/noun;niet/adv;versie/noun;verwarm/verb;word/verb	10	Celsius/noun;graad/noun;melk/noun;verwarm/verb	4	Celsius/noun;graad/noun;melk/noun;verwarm/verb	4	Celsius/noun;graad/noun;mag/verb;melk/noun;verwarm/verb	5	Celsius/noun;de/det;graad/noun;melk/noun;niet/adv;verwarm/verb	6	Celsius/noun;de/det;graad/noun;melk/noun;niet/adv;verwarm/verb	6	Celsius/noun;de/det;graad/noun;mag/verb;melk/noun;niet/adv;verwarm/verb	7
heet/adj/de_morgen_19991122_01_20/58	porie/noun;smelt/verb;thee/noun;trek/verb	4	porie/noun;smelt/verb;thee/noun;trek/verb	4	porie/noun;smelt/verb;thee/noun;trek/verb	4	de/det;het/det;in/prep;porie/noun;smelt/verb;thee/noun;trek/verb	7	de/det;het/det;in/prep;porie/noun;smelt/verb;thee/noun;trek/verb	7	Al/det;de/det;het/det;in/prep;porie/noun;smelt/verb;thee/noun;trek/verb;van/prep	9	porie/noun;thee/noun	2	porie/noun;thee/noun	2	porie/noun;thee/noun	2	de/det;in/prep;porie/noun;thee/noun	4	de/det;in/prep;porie/noun;thee/noun	4	Al/det;de/det;in/prep;porie/noun;thee/noun;van/prep	6
