_model	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
heet.foc10.all.selection.bound.min1.soc4.nav.FOC	bound	698	all	10_10	1	selection	FOC	698	nav	4_4	359	heet	0.23196722139322337
heet.foc10.all.selection.bound.min1.soc10.nav.5000	bound	698	all	10_10	1	selection	5000	5000	nav	10_10	359	heet	0.22762181060601122
heet.foc10.all.selection.bound.min1.soc10.nav.10000	bound	698	all	10_10	1	selection	10000	10000	nav	10_10	359	heet	0.22932488675863977
heet.foc10.all.selection.bound.min1.soc10.nav.FOC	bound	698	all	10_10	1	selection	FOC	698	nav	10_10	359	heet	0.2254762373387301
heet.foc10.all.selection.bound.min1.soc4.all.5000	bound	698	all	10_10	1	selection	5000	5000	all	4_4	359	heet	0.24122926784057908
heet.foc10.all.selection.bound.min1.soc4.all.10000	bound	698	all	10_10	1	selection	10000	10000	all	4_4	359	heet	0.2400858387534842
heet.foc10.all.selection.bound.min1.soc4.all.FOC	bound	698	all	10_10	1	selection	FOC	698	all	4_4	359	heet	0.23196722139322337
heet.foc10.all.selection.bound.min1.soc10.all.5000	bound	698	all	10_10	1	selection	5000	5000	all	10_10	359	heet	0.2316810766737688
heet.foc10.all.selection.bound.min1.soc10.all.10000	bound	698	all	10_10	1	selection	10000	10000	all	10_10	359	heet	0.22829165770514184
heet.foc10.all.selection.bound.min1.soc10.all.FOC	bound	698	all	10_10	1	selection	FOC	698	all	10_10	359	heet	0.2254762373387301
heet.foc10.all.no.bound.min1.soc4.nav.5000	bound	1154	all	10_10	1	no	5000	5000	nav	4_4	359	heet	0.2312034638494277
heet.foc10.all.no.bound.min1.soc4.nav.10000	bound	1154	all	10_10	1	no	10000	10000	nav	4_4	359	heet	0.23449318262516256
heet.foc10.all.no.bound.min1.soc4.nav.FOC	bound	1154	all	10_10	1	no	FOC	1154	nav	4_4	359	heet	0.21902051483040819
heet.foc10.all.no.bound.min1.soc10.nav.5000	bound	1154	all	10_10	1	no	5000	5000	nav	10_10	359	heet	0.21918487746509238
heet.foc10.all.no.bound.min1.soc10.nav.10000	bound	1154	all	10_10	1	no	10000	10000	nav	10_10	359	heet	0.21990234343597753
heet.foc10.all.no.bound.min1.soc10.nav.FOC	bound	1154	all	10_10	1	no	FOC	1154	nav	10_10	359	heet	0.20806338239128924
heet.foc10.all.no.bound.min1.soc4.all.5000	bound	1154	all	10_10	1	no	5000	5000	all	4_4	359	heet	0.23280038173737938
heet.foc10.all.no.bound.min1.soc4.all.10000	bound	1154	all	10_10	1	no	10000	10000	all	4_4	359	heet	0.23272989220190748
heet.foc10.all.no.bound.min1.soc4.all.FOC	bound	1154	all	10_10	1	no	FOC	1154	all	4_4	359	heet	0.21902051483040819
heet.foc10.all.no.bound.min1.soc10.all.5000	bound	1154	all	10_10	1	no	5000	5000	all	10_10	359	heet	0.22034752878410138
heet.foc10.all.no.bound.min1.soc10.all.10000	bound	1154	all	10_10	1	no	10000	10000	all	10_10	359	heet	0.2184046025471673
heet.foc10.all.no.bound.min1.soc10.all.FOC	bound	1154	all	10_10	1	no	FOC	1154	all	10_10	359	heet	0.20806338239128924
